所属概念,market_code,所属概念数量,code,股票代码
存储芯片;芯片概念;第三代半导体;汽车电子;BC电池;钙钛矿电池;商业航天;光伏概念;HJT电池;专精特新;TOPCON电池;新能源汽车;深股通;融资融券,33,14,300842,300842.SZ
新型工业化;人工智能;鸿蒙概念;华为概念;信创;融资融券,17,6,688657,688657.SH
存储芯片;PCB概念;芯片概念;第三代半导体;柔性屏(折叠屏);富士康概念;消费电子概念;3D打印;专精特新;比亚迪概念;工业母机;大飞机;新型工业化;机器人概念;高端装备,33,15,300606,300606.SZ
物业管理;沪股通;融资融券;京津冀一体化;养老概念;民营医院;粤港澳大湾区,17,7,600162,600162.SH
高压快充;智能电网;数据中心(AIDC);充电桩;储能;换电概念;汽车电子;军工;新能源汽车;2025年报预增;京津冀一体化;雄安新区,33,12,300491,300491.SZ
算力租赁;5G;腾讯概念;抖音概念(字节概念);阿里巴巴概念;华为概念;百度概念;小米概念;互联网金融,33,9,000889,000889.SZ
跨境电商;C2M概念;鸿蒙概念;人民币贬值受益;智能家居;沪股通,17,6,603313,603313.SH
特钢概念;大飞机;核电;航空发动机;军工;商业航天;沪股通;融资融券,17,8,600399,600399.SH
PET铜箔;PCB概念;固态电池;宁德时代概念;5G;锂电池概念;比亚迪概念;储能;国企改革;深股通;融资融券,33,11,301217,301217.SZ
地下管网;京津冀一体化;水利;土壤修复;雄安新区;PPP概念;PEEK材料;一带一路;股权转让(并购重组),17,9,603616,603616.SH
动物疫苗;广东自贸区;锂电池概念;粤港澳大湾区;创投;独角兽概念;PCB概念;横琴新区;摘帽,33,9,002141,002141.SZ
国企改革;证金持股,33,2,300321,300321.SZ
MicroLED概念;OLED;苹果概念;汽车电子;智能穿戴;消费电子概念;无线耳机;5G;芯片概念;智能音箱;特斯拉概念;人形机器人;沪股通;融资融券,17,14,688001,688001.SH
工业互联网;煤化工概念;阿里巴巴概念;京津冀一体化,33,4,002442,002442.SZ
比亚迪概念;新能源汽车;高端装备;工业互联网;机器人概念;减速器;绿色电力;深股通;高股息精选;融资融券,33,10,002283,002283.SZ
网络安全;智慧政务;AI语料;数据要素;AI智能体;AI应用;虚拟数字人;人工智能;文化传媒概念;DeepSeek概念;互联网金融;创投;京津冀一体化;物业管理;乡村振兴;国企改革;深股通;多模态AI,33,18,000839,000839.SZ
PET铜箔;PCB概念;比亚迪概念;锂电池概念;动物疫苗;腾讯概念;创投;合成生物;融资融券;沪股通,17,10,600226,600226.SH
冰雪产业;旅游概念;露营经济;IP经济(谷子经济);体育产业;文化传媒概念;参股券商;特色小镇;国企改革,33,9,002159,002159.SZ
稀土永磁;小金属概念;固态电池;锂电池概念;核电;牙科医疗;燃料电池;氢能源;深股通;融资融券,33,10,002167,002167.SZ
国企改革;煤炭概念;沪股通;股权转让(并购重组),17,4,600397,600397.SH
减速器;人形机器人;机器人概念;物联网;上海国企改革;雅下水电概念;国企改革;沪股通;融资融券;数据中心(AIDC),17,10,600835,600835.SH
华为汽车;PPP概念;固废处理;海峡两岸,33,4,002674,002674.SZ
AI PC;PCB概念;共封装光学(CPO);AI手机;无线耳机;MiniLED;MicroLED概念;AI眼镜;先进封装;新型烟草(电子烟);智能音箱;汽车电子;消费电子概念;5G;OLED;智能穿戴;WiFi 6;柔性屏(折叠屏);毫米波雷达;6G概念;小米概念;数据中心(AIDC);存储芯片;东数西算(算力);芯片概念;储能;比亚迪概念;海峡两岸;新能源汽车;广东自贸区;无人驾驶;物联网;商业航天;卫星导航;粤港澳大湾区;人形机器人;工业互联网;无人机;机器人概念;军工;低空经济;数字经济;创投;医疗器械概念;军民融合;融资融券;养老概念;深股通,33,48,002579,002579.SZ
华为概念;人民币贬值受益;新型工业化;机器人概念;融资融券;一带一路;AI智能体;西部大开发;DeepSeek概念;新疆振兴,17,10,600545,600545.SH
可控核聚变;食品安全;核电;煤炭概念;新型烟草(电子烟);共封装光学(CPO);PCB概念;商业航天;海工装备;固废处理;军工;航空发动机;东数西算(算力);家用电器;氢能源;农机;高端装备;人工智能;新能源汽车;比亚迪概念;工业互联网;机器视觉;工业母机;新型工业化;特斯拉概念;消费电子概念;沪股通;融资融券,17,28,603011,603011.SH
智慧灯杆;东数西算(算力);数据中心(AIDC);华为概念;华为数字能源;锂电池概念;换电概念;数字孪生;新能源汽车;物联网;储能;充电桩;无人驾驶;卫星导航;智慧城市;腾讯概念;车联网(车路协同);智能家居;低空经济;AI智能体;智慧政务;人工智能;数据要素;DeepSeek概念;虚拟电厂;创投;虚拟数字人;AI应用;西部大开发,17,29,603679,603679.SH
固废处理;碳中和;一带一路;燃料电池;氢能源;充电桩;钠离子电池;超超临界发电,17,8,603177,603177.SH
芯片概念;粤港澳大湾区;人工智能;新型城镇化;国企改革;深股通,33,6,002989,002989.SZ
仿制药一致性评价;医药电商;流感;肝炎概念;创新药;维生素;幽门螺杆菌概念;猴痘概念;减肥药;西部大开发;人工智能;工业互联网;深股通,33,13,002907,002907.SZ
黄金概念;金属铜;小金属概念;金属回收;锂电池概念;一带一路;沪股通;融资融券;国企改革;参股券商;证金持股,17,11,600362,600362.SH
氟化工概念;有机硅概念;天然气;氢能源;芯片概念;专精特新;燃料电池;深股通,33,8,002971,002971.SZ
注册制次新股;小金属概念;牙科医疗;比亚迪概念;新股与次新股;融资融券,17,6,603407,603407.SH
培育钻石;航空发动机;成飞概念;大飞机;商业航天;碳纤维;军民融合;军工;无人机;2026一季报预增;国企改革;融资融券,33,12,002297,002297.SZ
稀土永磁;小金属概念;苹果概念;2025年报预增;西部大开发;国企改革;参股保险;沪股通;融资融券,17,9,600392,600392.SH
工业母机;人形机器人;新型工业化;机器视觉;长安汽车概念;机器人概念;比亚迪概念;高端装备;农机;专精特新;工业互联网;宁德时代概念;智能医疗;光伏概念;养老概念;医疗器械概念;深股通;融资融券,33,18,002747,002747.SZ
西部大开发;长安汽车概念;军工;固废处理;页岩气;3D打印,33,6,001296,001296.SZ
中芯国际概念;光刻胶;先进封装;芯片概念;专精特新;宁德时代概念;华为海思概念股;华为概念,17,8,603324,603324.SH
小金属概念;金属铜;光伏概念,33,3,002842,002842.SZ
PCB概念;PET铜箔;消费电子概念;超导概念;可控核聚变;专精特新;宁德时代概念;固态电池;锂电池概念;一带一路;深股通;融资融券,33,12,002859,002859.SZ
光刻机;第三代半导体;先进封装;可控核聚变;5G;特高压;柔性直流输电;核电;航空发动机;东数西算(算力);无人机;军工;智能电网;2025年报预增;无人驾驶;军民融合;人形机器人;风电;智慧城市;虚拟电厂;信创;西部大开发;DeepSeek概念;沪股通;融资融券,17,25,600353,600353.SH
共封装光学(CPO);光刻机;第三代半导体;6G概念;华为海思概念股;芯片概念;5G;消费电子概念;汽车电子;卫星导航;商业航天;专精特新;比亚迪概念;新能源汽车;华为概念;军工;充电桩;央企国企改革;国企改革;中字头股票;融资融券;深股通,33,22,003031,003031.SZ
3D打印;专精特新;光伏概念;锂电池概念;2025年报预增;硅能源;金属镍;人民币贬值受益;小金属概念;融资融券;沪股通,17,11,605376,605376.SH
算力租赁;东数西算(算力);数据安全;云办公;人脸识别;网络安全;信创;智慧城市;中国AI 50;鸿蒙概念;英伟达概念;安防;ETC;物联网;在线教育;AI PC;机器视觉;车联网(车路协同);人工智能;DeepSeek概念;专精特新;新型工业化;5G;工业互联网;粤港澳大湾区;消费电子概念;机器人概念;芯片概念;智能医疗;智能座舱;人形机器人;深股通,33,32,001339,001339.SZ
新型工业化;机器人概念;数字孪生;智能物流;军工;京津冀一体化;冷链物流;国企改革;央企国企改革;沪股通;融资融券,17,11,603082,603082.SH
