market_code,code,所属概念数量,所属概念,股票代码
33,002350,21,特高压;智能电网;虚拟电厂;风电;高压快充;充电桩;光伏概念;超级电容;储能;绿色电力;光伏建筑一体化;氢能源;燃料电池;中俄贸易概念;高端装备;雄安新区;数据中心;京津冀一体化;俄乌冲突概念;阿里巴巴概念;融资融券,002350.SZ
33,002957,28,新型烟草(电子烟);液冷服务器;共封装光学(CPO);固态电池;宁德时代概念;苹果概念;锂电池概念;比亚迪概念;消费电子概念;芯片概念;2025年报预增;无线耳机;AI眼镜;新型工业化;机器视觉;智能穿戴;人形机器人;机器人概念;华为概念;工业互联网;粤港澳大湾区;虚拟现实;物联网;无人机;低空经济;智能物流;融资融券;深股通,002957.SZ
17,603619,9,俄乌冲突概念;天然气;新疆振兴;回购增持再贷款概念;一带一路;沪股通;海工装备;机器人概念;融资融券,603619.SH
17,600903,7,天然气;页岩气;国企改革;西部大开发;氢能源;沪股通;融资融券,600903.SH
17,603778,11,钙钛矿电池;HJT电池;TOPCON电池;硅能源;固态电池;虚拟电厂;光伏概念;新型城镇化;锂电池概念;储能;PPP概念,603778.SH
17,603053,7,国企改革;西部大开发;碳中和;天然气;氢能源;充电桩;沪股通,603053.SH
33,002952,13,家用电器;智能家居;充电桩;虚拟现实;新能源汽车;电子纸;柔性屏(折叠屏);汽车电子;人民币贬值受益;数字经济;智能穿戴;消费电子概念;数字货币,002952.SZ
17,603727,8,俄乌冲突概念;天然气;海工装备;中俄贸易概念;一带一路;京津冀一体化;锂电池概念;融资融券,603727.SH
17,603353,7,俄乌冲突概念;华为数字能源;高压快充;DeepSeek概念;充电桩;华为概念;芯片概念,603353.SH
17,600028,15,可燃冰;同花顺中特估100;煤化工概念;页岩气;天然气;中字头股票;证金持股;央企国企改革;沪股通;融资融券;国企改革;氢能源;一带一路;回购增持再贷款概念;充电桩,600028.SH
33,002207,6,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;国企改革,002207.SZ
17,600026,14,俄乌冲突概念;天然气;航运概念;央企国企改革;同花顺中特估100;回购增持再贷款概念;一带一路;上海自贸区;国企改革;人民币贬值受益;证金持股;沪股通;融资融券;中字头股票,600026.SH
33,002491,13,光纤概念;数据中心;长三角一体化;5G;储能;独角兽概念;网络安全;专精特新;数字水印;数据安全;固态电池;深股通;融资融券,002491.SZ
17,600722,5,煤化工概念;国企改革;京津冀一体化;风电;融资融券,600722.SH
17,601022,7,航运概念;统一大市场;国企改革;一带一路;共同富裕示范区;融资融券;沪股通,601022.SH
17,603318,7,天然气;氢能源;国企改革;一带一路;专精特新;股权转让(并购重组);融资融券,603318.SH
33,002267,7,天然气;证金持股;地下管网;国企改革;西部大开发;深股通;融资融券,002267.SZ
17,600333,3,天然气;国企改革;融资融券,600333.SH
17,600583,15,天然气;绿色电力;风电;央企国企改革;一带一路;国企改革;海工装备;京津冀一体化;高端装备;沪股通;融资融券;数据中心;机器人概念;数字孪生;DeepSeek概念,600583.SH
17,603616,8,地下管网;土壤修复;PPP概念;雄安新区;水利;一带一路;PEEK材料;股权转让(并购重组),603616.SH
33,000421,12,物业管理;天然气;国企改革;换电概念;网约车;充电桩;旅游概念;创投;动力电池回收;虚拟电厂;互联网金融;文化传媒概念,000421.SZ
17,600759,8,俄乌冲突概念;海南自贸区;土地流转;天然气;一带一路;人民币贬值受益;融资融券;沪股通,600759.SH
17,601975,7,航运概念;央企国企改革;回购增持再贷款概念;国企改革;人民币贬值受益;沪股通;融资融券,601975.SH
17,600798,5,航运概念;国企改革;中俄贸易概念;一带一路;融资融券,600798.SH
33,002700,4,新疆振兴;西部大开发;天然气;摘帽,002700.SZ
33,000407,7,页岩气;俄乌冲突概念;天然气;地下管网;股权转让(并购重组);新型城镇化;合成生物,000407.SZ
17,600917,7,天然气;国企改革;碳交易;西部大开发;央企国企改革;沪股通;融资融券,600917.SH
17,600681,7,天然气;氢能源;京津冀一体化;机器人概念;人形机器人;沪股通;融资融券,600681.SH
17,600968,15,页岩气;天然气;航运概念;国企改革;碳中和;碳交易;绿色电力;氢能源;风电;锂电池概念;储能;卫星导航;机器人概念;沪股通;融资融券,600968.SH
17,600871,13,可燃冰;俄乌冲突概念;页岩气;天然气;国企改革;央企国企改革;碳中和;雄安新区;氢能源;一带一路;海工装备;融资融券;沪股通,600871.SH
17,601919,14,同花顺中特估100;高股息精选;中字头股票;证金持股;航运概念;俄乌冲突概念;央企国企改革;国企改革;沪股通;融资融券;同花顺漂亮100;一带一路;回购增持再贷款概念;人民币贬值受益,601919.SH
17,600428,12,中字头股票;航运概念;央企国企改革;国企改革;回购增持再贷款概念;自由贸易港;人民币贬值受益;沪股通;DeepSeek概念;粤港澳大湾区;比亚迪概念;融资融券,600428.SH
151,920931,2,专精特新;融资融券,920931.BJ
17,600792,4,煤炭概念;煤化工概念;国企改革;西部大开发,600792.SH
17,600956,15,天然气;绿色电力;碳交易;钒电池;国企改革;抽水蓄能;氢能源;风电;储能;光伏概念;京津冀一体化;DeepSeek概念;AI智能体;融资融券;沪股通,600956.SH
151,920087,8,乡村振兴;粮食概念;农业种植;大豆;玉米;融资融券;国企改革;转基因,920087.BJ
17,603393,8,俄乌冲突概念;页岩气;天然气;煤炭概念;新疆振兴;西部大开发;融资融券;沪股通,603393.SH
33,301500,16,黄金概念;金属锌;金属铜;小金属概念;金属镍;金属回收;汽车拆解概念;广东自贸区;固废处理;碳中和;DeepSeek概念;2025年报预增;粤港澳大湾区;比亚迪概念;深股通;融资融券,301500.SZ
33,300335,19,生物质能发电;雄安新区;净水概念;固废处理;绿色电力;生态农业;空气能热泵;家用电器;氢能源;天然气;PM2.5;创投;粤港澳大湾区;智能家居;光伏概念;锂电池概念;工业互联网;物联网;人工智能,300335.SZ
33,001872,9,同花顺中特估100;航运概念;国企改革;央企国企改革;一带一路;回购增持再贷款概念;融资融券;深股通;粤港澳大湾区,001872.SZ
33,300438,23,钠离子电池;固态电池;锂电池概念;新型烟草(电子烟);两轮车;石墨烯;储能;燃料电池;虚拟电厂;新能源汽车;充电桩;长安汽车概念;消费电子概念;无线耳机;粤港澳大湾区;小米概念;机器人概念;无人机;军工;低空经济;独角兽概念;深股通;融资融券,300438.SZ
17,600188,9,煤炭概念;煤化工概念;小金属概念;国企改革;同花顺漂亮100;风电;参股银行;沪股通;融资融券,600188.SH
17,688307,14,光刻机;专精特新;智能穿戴;海峡两岸;机器视觉;机器人概念;智能座舱;无人机;安防;无人驾驶;华为概念;虚拟现实;人工智能;融资融券,688307.SH
