股票代码,code,所属概念数量,market_code,所属概念
002297.SZ,002297,11,33,成飞概念;航空发动机;大飞机;商业航天;军民融合;军工;碳纤维;无人机;国企改革;培育钻石;融资融券
002420.SZ,002420,23,33,广东自贸区;汽车热管理;华为汽车;家用电器;农机;新能源汽车;粤港澳大湾区;充电桩;飞行汽车(eVTOL);医疗器械概念;比亚迪概念;机器人概念;富士康概念;小米概念;人形机器人;储能;低空经济;华为概念;光伏概念;宁德时代概念;锂电池概念;2025年报预增;股权转让(并购重组)
600868.SH,600868,15,17,时空大数据;职业教育;数据要素;水泥概念;智慧城市;水利;小金属概念;绿色电力;氢能源;新型城镇化;粤港澳大湾区;储能;回购增持再贷款概念;融资融券;沪股通
600403.SH,600403,4,17,煤炭概念;国企改革;沪股通;融资融券
002629.SZ,002629,4,33,页岩气;俄乌冲突概念;天然气;光伏概念
002283.SZ,002283,10,33,减速器;新能源汽车;回购增持再贷款概念;机器人概念;绿色电力;比亚迪概念;工业互联网;高端装备;深股通;融资融券
002266.SZ,002266,25,33,可控核聚变;核电;抽水蓄能;雅下水电概念;高端装备;金属回收;金属钴;固废处理;水利;小金属概念;金属铜;金属镍;绿色电力;一带一路;碳中和;汽车拆解概念;黄金概念;金属铅;金属锌;动力电池回收;创投;共同富裕示范区;文化传媒概念;深股通;融资融券
002785.SZ,002785,8,33,盐湖提锂;锂电池概念;俄乌冲突概念;福建自贸区;中俄贸易概念;一带一路;海峡两岸;深股通
000407.SZ,000407,7,33,俄乌冲突概念;页岩气;天然气;新型城镇化;地下管网;合成生物;股权转让(并购重组)
600477.SH,600477,11,17,HJT电池;光伏建筑一体化;装配式建筑;钙钛矿电池;建筑节能;雄安新区;一带一路;工业互联网;储能;沪股通;融资融券
603001.SH,603001,3,17,C2M概念;跨境电商;体育产业
002937.SZ,002937,17,33,液冷服务器;PEEK材料;特斯拉概念;消费电子概念;5G;新能源汽车;汽车电子;毫米波雷达;宁德时代概念;无人驾驶;工业互联网;虚拟现实;智能家居;一带一路;人民币贬值受益;深股通;融资融券
