code,股票代码,所属概念,所属概念数量,market_code
600726,600726.SH,超超临界发电;煤炭概念;绿色电力;风电;国企改革;央企国企改革;黑龙江自贸区;沪股通,8.0,17
603158,603158.SH,汽车热管理;长安汽车概念;空气能热泵;华为汽车;新能源汽车;特斯拉概念;储能;传感器;比亚迪概念;汽车电子;数据中心;专精特新;燃料电池;智能座舱;华为概念;液冷服务器;无线充电;氢能源,18.0,17
000537,000537.SZ,绿色电力;光热发电;风电;新疆振兴;央企国企改革;国企改革;储能;京津冀一体化;深股通;融资融券,10.0,33
600328,600328.SH,小金属概念;回购增持再贷款概念;国企改革;央企国企改革;西部大开发;锂电池概念;核电;DeepSeek概念;股权转让(并购重组);中字头股票;沪股通;融资融券,12.0,17
600409,600409.SH,消毒剂;有机硅概念;国企改革;绿色电力;钠离子电池;光伏概念;京津冀一体化;沪股通;融资融券;华为概念,10.0,17
000839,000839.SZ,文化传媒概念;虚拟数字人;AI语料;智慧政务;数据要素;互联网金融;物业管理;网络安全;AI智能体;人工智能;DeepSeek概念;创投;AI应用;国企改革;深股通,15.0,33
601789,601789.SH,房屋检测;新型城镇化;水利;国资云;PPP概念;区块链;装配式建筑;阿里巴巴概念;腾讯概念;东数西算(算力);数据中心;百度概念;参股券商;国企改革;低空经济;沪股通;融资融券,17.0,17
301281,301281.SZ,数字经济;维生素;仿制药一致性评价;股权转让(并购重组);融资融券,5.0,33
601868,601868.SH,碳交易;生物质能发电;虚拟电厂;土壤修复;水泥概念;超超临界发电;光热发电;绿色电力;柔性直流输电;新型城镇化;水利;雅下水电概念;特高压;风电;国企改革;民爆概念;氢能源;储能;一带一路;燃料电池;央企国企改革;参股保险;核电;证金持股;同花顺中特估100;机器人概念;高端装备;海工装备;数据中心;低空经济;军工;人工智能;华为概念;宁德时代概念;可控核聚变;算力租赁;东数西算(算力);阿里巴巴概念;AI智能体;光纤概念;中字头股票;融资融券;沪股通,43.0,17
920158,920158.BJ,中俄贸易概念;一带一路;海工装备;专精特新;氢能源;天然气;新股与次新股;融资融券,8.0,151
301053,301053.SZ,新型工业化;专精特新;一带一路;融资融券,4.0,33
