股票代码,code,market_code,所属概念数量,所属概念
300772.SZ,300772,33,12,绿色电力;风电;氢能源;碳中和;国企改革;储能;海工装备;DeepSeek概念;云计算;东数西算(算力);融资融券;深股通
000099.SZ,000099,33,15,旅游概念;数字经济;飞行汽车(eVTOL);低空经济;同花顺新质50;国企改革;军工;无人机;华为概念;粤港澳大湾区;卫星导航;风电;融资融券;深股通;中字头股票
300166.SZ,300166,33,51,算力租赁;MLOps概念;华为昇腾;数字水印;东数西算(算力);云计算;华为欧拉;数据安全;华为鲲鹏;信创;多模态AI;智慧政务;电子身份证;Web3.0;数据中心(AIDC);AI手机;时空大数据;AI语料;ChatGPT概念;互联网保险;鸿蒙概念;数据要素;AIGC概念;AI智能体;区块链;5G;虚拟数字人;数字乡村;元宇宙;华为概念;智慧城市;AI应用;物联网;数字孪生;虚拟现实;虚拟电厂;数字经济;DeepSeek概念;机器视觉;互联网金融;人工智能;工业互联网;新型工业化;职业教育;人形机器人;海工装备;京津冀一体化;碳中和;乡村振兴;深股通;融资融券
601677.SH,601677,17,16,金属回收;固态电池;锂电池概念;中韩自贸区;储能;消费电子概念;比亚迪概念;5G;新能源汽车;特高压;机器人概念;军工;数据中心(AIDC);PCB概念;融资融券;沪股通
601900.SH,601900,17,10,IP经济(谷子经济);文化传媒概念;高股息精选;在线教育;参股银行;国企改革;AI应用;人工智能;沪股通;融资融券
600963.SH,600963,17,12,央企国企改革;国企改革;DeepSeek概念;人工智能;雄安新区;污水处理;碳中和;PPP概念;生物质能发电;碳交易;沪股通;融资融券
000065.SZ,000065,33,17,超超临界发电;煤炭概念;水利;绿色电力;虚拟电厂;新型城镇化;同花顺中特估100;央企国企改革;风电;一带一路;国企改革;智能物流;人民币贬值受益;无人机;新能源汽车;深股通;融资融券
600728.SH,600728,17,35,虚拟数字人;ChatGPT概念;AI语料;AIGC概念;AI应用;多模态AI;AI智能体;数据要素;元宇宙;华为鲲鹏;鸿蒙概念;云计算;移动支付;国产操作系统;DeepSeek概念;阿里巴巴概念;信创;数字孪生;华为昇腾;智慧城市;人脸识别;人工智能;空间计算;车联网(车路协同);工业互联网;安防;低空经济;华为概念;粤港澳大湾区;机器视觉;数据中心(AIDC);MR(混合现实);毫米波雷达;融资融券;沪股通
000877.SZ,000877,33,9,水泥概念;央企国企改革;国企改革;西部大开发;新疆振兴;一带一路;绿色电力;深股通;融资融券
000333.SZ,000333,33,25,超级品牌;高股息精选;证金持股;同花顺漂亮100;同花顺出海50;净水概念;空气能热泵;深股通;融资融券;家用电器;一带一路;智能家居;汽车热管理;工业互联网;机器人概念;AI智能体;人形机器人;物联网;储能;华为概念;智能电网;液冷服务器;芯片概念;数据中心(AIDC);MCU芯片
300627.SZ,300627,33,19,卫星导航;商业航天;无人机;低空经济;时空大数据;智慧城市;百度概念;无人驾驶;机器人概念;小米汽车;人形机器人;水利;比亚迪概念;农机;雅下水电概念;芯片概念;长三角一体化;融资融券;深股通
301551.SZ,301551,33,14,短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;在线教育;智能医疗;抖音概念(字节概念);百度概念;人工智能;国企改革;智能音箱;华为概念;深股通;融资融券
300299.SZ,300299,33,17,手机游戏;文化传媒概念;网络游戏;AIGC概念;IP经济(谷子经济);AI应用;数字经济;人工智能;智慧城市;抖音概念(字节概念);数据安全;虚拟现实;福建自贸区;机器人概念;海峡两岸;5G;融资融券
300634.SZ,300634,33,45,云办公;华为昇腾;智谱AI;华为鲲鹏;数据安全;云计算;ChatGPT概念;多模态AI;智慧政务;信创;网络安全;百度概念;抖音概念(字节概念);AIGC概念;鸿蒙概念;阿里巴巴概念;算力租赁;AI智能体;腾讯概念;数据要素;AI应用;虚拟数字人;东数西算(算力);区块链;元宇宙;智慧城市;DeepSeek概念;数据中心(AIDC);车联网(车路协同);数字经济;人工智能;华为概念;虚拟现实;智能医疗;低空经济;5G;无人驾驶;机器人概念;IP经济(谷子经济);6G概念;创投;粤港澳大湾区;飞行汽车(eVTOL);融资融券;深股通
