所属概念,所属概念数量,market_code,股票代码,code
共封装光学(CPO);中国AI 50;WiFi 6;液冷服务器;5G;云办公;东数西算(算力);6G概念;抖音概念(字节概念);快手概念;数据中心;国资云;腾讯概念;网络安全;阿里巴巴概念;信创;百度概念;AI智能体;AIGC概念;蚂蚁集团概念;小米概念;新型工业化;人工智能;工业互联网;智能医疗;数字经济;一带一路;AI应用;国企改革;深股通;融资融券,31,33,301165.SZ,301165
可控核聚变;航空发动机;海工装备;核电;高端装备;风电;大飞机;3D打印;军工;商业航天;核污染防治;无人机;工业互联网;一带一路;参股银行;沪股通;融资融券,17,17,603308.SH,603308
乡村振兴;西部大开发,2,17,605033.SH,605033
可控核聚变;抽水蓄能;核电;光热发电;光伏概念;风电;储能;高端装备;超超临界发电;燃料电池;氢能源;雅下水电概念;新能源汽车;工业互联网;西部大开发;央企国企改革;国企改革;人工智能;ChatGPT概念;DeepSeek概念;乡村振兴;沪股通;融资融券,23,17,600875.SH,600875
AI语料;短剧游戏;ChatGPT概念;AIGC概念;知识产权保护;文化传媒概念;抖音概念(字节概念);AI智能体;数据要素;鸿蒙概念;IP经济(谷子经济);人工智能;独角兽概念;电子纸;华为概念;AI应用;沪股通,17,17,603533.SH,603533
中国AI 50;数据中心;5G;阿里巴巴概念;百度概念;腾讯概念;海工装备;华为概念;核电;高压快充;智能电网;数字孪生;拼多多概念;工业互联网;特高压;储能;虚拟电厂;风电;换电概念;充电桩;新能源汽车;碳中和;水利;两轮车;深股通;融资融券,26,33,002364.SZ,002364
长三角一体化;装配式建筑;智能家居,3,17,605318.SH,605318
存储芯片;富士康概念;PCB概念;苹果概念;2025年报预增;液冷服务器;AI眼镜;芯片概念;消费电子概念;无线耳机;英伟达概念;汽车电子;小米概念;新型烟草(电子烟);5G;毫米波雷达;比亚迪概念;智能座舱;特斯拉概念;工业母机;MR(混合现实);人形机器人;新能源汽车;新型工业化;机器视觉;机器人概念;粤港澳大湾区;减速器;无人驾驶;高端装备;华为概念;虚拟现实;一带一路;横琴新区;人工智能;阿里巴巴概念;腾讯概念;深股通,38,33,002975.SZ,002975
柔性直流输电;特高压;智能电网;抽水蓄能;虚拟电厂;电力物联网;风电;光伏概念;核电;储能;雅下水电概念;氢能源;数据中心;绿色电力;机器人概念;军工;东数西算(算力);数字孪生;阿里巴巴概念;京津冀一体化;人工智能;DeepSeek概念;融资融券;沪股通,24,17,601126.SH,601126
成飞概念;减速器;航空发动机;大飞机;军民融合;工业母机;新型工业化;高端装备;人形机器人;机器人概念;新能源汽车;风电;一带一路;数字经济;共同富裕示范区;人民币贬值受益;深股通;融资融券,18,33,002520.SZ,002520
液冷服务器;英伟达概念;中国AI 50;数据中心;比亚迪概念;新能源汽车;东数西算(算力);储能;华为概念;充电桩;家用电器;粤港澳大湾区;高铁;军工;阿里巴巴概念;抖音概念(字节概念);腾讯概念;冷链物流;融资融券;深股通,20,33,002837.SZ,002837
液冷服务器;比亚迪概念;宁德时代概念;特斯拉概念;工业母机;汽车热管理;高端装备;新能源汽车;新型工业化;小米概念;芯片概念;专精特新;锂电池概念;空气能热泵;氢能源;动力电池回收;国企改革;沪股通;融资融券,19,17,603088.SH,603088
算力租赁;云计算;东数西算(算力);数据中心;融资融券;股权转让(并购重组);沪股通,7,17,600589.SH,600589
共封装光学(CPO);5G;6G概念;储能;军工;医疗器械概念;一带一路;融资融券,8,33,002796.SZ,002796
超级电容;风电;储能;数字经济;蚂蚁集团概念;西部大开发;深股通;摘帽,8,33,002951.SZ,002951
PCB概念;华为手机;苹果概念;消费电子概念;5G;芯片概念;2025年报预增;专精特新;华为概念;海峡两岸;沪股通,11,17,603256.SH,603256
液冷服务器;新能源汽车;燃料电池;储能;空气能热泵;数据中心;专精特新;高端装备;氢能源;核电;海工装备;水利;商业航天;沪股通,14,17,603757.SH,603757
金属铜;小金属概念;光伏概念,3,33,002842.SZ,002842
液冷服务器;2025年报预增;数据中心;新能源汽车;储能;锂电池概念;人民币贬值受益;牙科医疗;农机;数据要素;氢能源;风电;碳中和;乡村振兴;煤化工概念,15,17,603090.SH,603090
智能电网;风电;光伏概念;储能;雅下水电概念;充电桩;水利;一带一路;PPP概念;特钢概念;西部大开发;数据中心;高铁;工业互联网;专精特新;东数西算(算力);沪股通;融资融券,18,17,603191.SH,603191
液冷服务器;2025年报预增;宁德时代概念;光伏概念;锂电池概念;比亚迪概念;储能;数据中心;充电桩;风电;东数西算(算力);一带一路;粤港澳大湾区;阿里巴巴概念;抖音概念(字节概念);人工智能;深股通;融资融券;智能医疗,19,33,002518.SZ,002518
虚拟现实;短剧游戏;AI应用;文化传媒概念;装配式建筑;光伏建筑一体化;新型城镇化;回购增持再贷款概念;乡村振兴;Sora概念(文生视频);AIGC概念,11,17,605287.SH,605287
煤炭概念;国企改革;沪股通;股权转让(并购重组),4,17,600397.SH,600397
PCB概念;固态电池;宁德时代概念;锂电池概念;2025年报预增;5G;6G概念;新能源汽车;氢能源;燃料电池;一带一路;海工装备;风电;污水处理;无人机;深股通;军工;央企国企改革;国企改革;商业航天;中字头股票;融资融券,22,33,002080.SZ,002080
小金属概念;超导概念;超级电容;可控核聚变;核电;航空发动机;商业航天;3D打印;央企国企改革;西部大开发;芯片概念;国企改革;深股通,13,33,000962.SZ,000962
磷化工;化肥;TOPCON电池;锂电池概念;光伏概念;2025三季报预增;农业种植;西部大开发;乡村振兴;2025年报预增;国企改革;广东自贸区;粤港澳大湾区;深股通,14,33,000833.SZ,000833
金属铜;小金属概念;2025年报预增;工业母机;深股通;融资融券;军工,7,33,002378.SZ,002378
上海自贸区;天然气;俄乌冲突概念;央企国企改革;航运概念;回购增持再贷款概念;一带一路;国企改革;融资融券;海峡两岸;沪股通,11,17,601872.SH,601872
F5G概念;光纤概念;深圳国企改革;国资云;算力租赁;共封装光学(CPO);5G;6G概念;抖音概念(字节概念);东数西算(算力);信创;阿里巴巴概念;智慧灯杆;百度概念;腾讯概念;军工信息化;成飞概念;华为概念;数据中心;智慧城市;卫星导航;无人机;人工智能;军工;低空经济;大飞机;创投;粤港澳大湾区;传感器;物业管理;一带一路;高铁;国企改革;光伏概念;特高压;智能电网;绿色电力;深股通;摘帽,39,33,000070.SZ,000070
俄乌冲突概念;天然气;央企国企改革;航运概念;同花顺中特估100;上海自贸区;回购增持再贷款概念;一带一路;国企改革;人民币贬值受益;证金持股;沪股通;融资融券;中字头股票,14,17,600026.SH,600026
汽车热管理;新能源汽车;比亚迪概念;储能;宁德时代概念;柔性屏(折叠屏);华为手机;消费电子概念;小米概念;智能家居;华为概念;2025年报预增;三胎概念;深股通;融资融券,15,33,002824.SZ,002824
