code,所属概念,market_code,股票代码,所属概念数量
603200,固态电池;钠离子电池;锂电池概念;低空经济;2025年报预增;华为概念;消毒剂;液冷服务器;数据中心;海工装备;腾讯概念;风电;污水处理;沪股通,17,603200.SH,14
605006,PCB概念;风电;国企改革,17,605006.SH,3
002733,钠离子电池;固态电池;锂电池概念;石墨烯;储能;5G;动力电池回收;燃料电池;新能源汽车;数据中心;专精特新;氢能源;军工;无人机;粤港澳大湾区;人民币贬值受益;一带一路;东数西算(算力);阿里巴巴概念;百度概念;深股通;融资融券,33,002733.SZ,22
600713,医药电商;冷链物流;参股券商;国企改革;回购增持再贷款概念;沪股通,17,600713.SH,6
601010,证金持股;沪股通;融资融券,17,601010.SH,3
605117,光伏概念;储能;同花顺出海50;一带一路;共同富裕示范区;人民币贬值受益;家用电器;2026一季报预增;融资融券;沪股通,17,605117.SH,10
603026,氟化工概念;锂电池概念;宁德时代概念;环氧丙烷;燃料电池;国企改革;新能源汽车;沪股通;融资融券,17,603026.SH,9
600345,光纤概念;卫星导航;商业航天;安防;华为概念;车联网(车路协同);智慧城市;信创;人工智能;数据要素;DeepSeek概念;央企国企改革;国企改革;股权转让(并购重组);沪股通;融资融券,17,600345.SH,16
605255,汽车热管理;长安汽车概念;新能源汽车;燃料电池;沪股通;股权转让(并购重组),17,605255.SH,6
603773,MicroLED概念;MiniLED;光刻机;先进封装;OLED;柔性屏(折叠屏);共封装光学(CPO);钙钛矿电池;6G概念;PET铜箔;存储芯片;汽车电子;芯片概念;消费电子概念;商业航天;智能穿戴;卫星导航;小米概念;华为概念;沪股通,17,603773.SH,20
000534,航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券,33,000534.SZ,8
002364,中国AI 50;数据中心;东数西算(算力);5G;阿里巴巴概念;百度概念;华为概念;腾讯概念;智能电网;高压快充;核电;特高压;工业互联网;数字孪生;虚拟电厂;海工装备;换电概念;储能;充电桩;拼多多概念;风电;新能源汽车;水利;碳中和;两轮车;宁德时代概念;深股通;融资融券,33,002364.SZ,28
600480,飞行汽车(eVTOL);汽车热管理;人形机器人;华为汽车;长安汽车概念;特斯拉概念;小米汽车;新能源汽车;比亚迪概念;传感器;低空经济;小米概念;无人驾驶;水利;宁德时代概念;储能;核电;商业航天;雄安新区;地下管网;回购增持再贷款概念;锂电池概念;京津冀一体化;国企改革;央企国企改革;液冷服务器;沪股通;融资融券,17,600480.SH,28
600105,共封装光学(CPO);光纤概念;商业航天;5G;可控核聚变;3D打印;芯片概念;军工;超导概念;东数西算(算力);数据中心;华为概念;低空经济;网络安全;海工装备;数据安全;专精特新;核电;比亚迪概念;工业互联网;新能源汽车;2025年报预增;华为汽车;长三角一体化;一带一路;风电;沪股通;参股银行;融资融券,17,600105.SH,29
