code,所属概念,所属概念数量,market_code,股票代码
600986,小红书概念;快手概念;短剧游戏;AIGC概念;Web3.0;虚拟数字人;多模态AI;抖音概念(字节概念);文化传媒概念;AI智能体;NFT概念;手机游戏;阿里巴巴概念;百度概念;腾讯概念;元宇宙;蚂蚁集团概念;算力租赁;电子竞技;AI应用;网红经济;DeepSeek概念;人工智能;数字经济;东数西算(算力);独角兽概念;华为概念;小米概念;国企改革;长安汽车概念;沪股通;融资融券,32,17,600986.SH
601212,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;锂电池概念;超导概念;西部大开发;可控核聚变;沪股通;融资融券,12,17,601212.SH
000815,东数西算(算力);云计算;国资云;数据中心;西部大开发;国企改革;央企国企改革;绿色电力;深股通;融资融券,10,33,000815.SZ
603132,金属锌;金属铅;小金属概念;西部大开发;专精特新;沪股通,6,17,603132.SH
601615,钙钛矿电池;HJT电池;光伏概念;阿里巴巴概念;人工智能;光伏建筑一体化;海工装备;风电;芯片概念;氢能源;储能;绿色电力;粤港澳大湾区;融资融券;沪股通,15,17,601615.SH
002524,装配式建筑;地下管网;民营医院;新疆振兴;医美概念;天然气;眼科医疗;创投;智能医疗;西部大开发,10,33,002524.SZ
603331,家用电器;共同富裕示范区;新能源汽车;机器人概念;人形机器人;光伏概念;TOPCON电池,7,17,603331.SH
600589,云计算;算力租赁;东数西算(算力);数据中心;融资融券;股权转让(并购重组);沪股通,7,17,600589.SH
603353,华为数字能源;俄乌冲突概念;充电桩;高压快充;华为概念;DeepSeek概念;芯片概念,7,17,603353.SH
002378,小金属概念;金属铜;工业母机;军工;深股通;融资融券,6,33,002378.SZ
002155,金属铅;金属锌;黄金概念;小金属概念;乡村振兴;2025年报预增;国企改革;深股通;融资融券,9,33,002155.SZ
603895,数字孪生;华为概念;长安汽车概念;新型工业化;工业互联网;机器人概念;专精特新;特斯拉概念;储能;新能源汽车;人形机器人;锂电池概念;固态电池,13,17,603895.SH
603271,宁德时代概念;固态电池;钠离子电池;锂电池概念;比亚迪概念;新能源汽车;消费电子概念;PCB概念;家用电器;注册制次新股;储能;高铁;低空经济;绿色电力;5G;华为概念;数据中心;新股与次新股;融资融券,19,17,603271.SH
000506,黄金概念;金属铜;小金属概念;股权转让(并购重组);一带一路;国企改革;人民币贬值受益;深股通;摘帽,9,33,000506.SZ
002842,金属铜;小金属概念;光伏概念,3,33,002842.SZ
002728,流感;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;医药电商;NMN概念;医美概念;2025年报预增;深股通,9,33,002728.SZ
600078,磷化工;绿色电力,2,17,600078.SH
000657,金属钴;PCB概念;小金属概念;金属铜;海南自贸区;金属回收;光伏概念;工业母机;可控核聚变;高端装备;雅下水电概念;军工;深股通;国企改革;医疗器械概念;创投;乡村振兴;DeepSeek概念;股权转让(并购重组);中字头股票;融资融券,21,33,000657.SZ
001288,中俄贸易概念;雅下水电概念;一带一路;西部大开发;华为概念;机器人概念;人民币贬值受益;减速器;人工智能;DeepSeek概念;深股通,11,33,001288.SZ
003042,供销社;乡村振兴;草甘膦;中俄贸易概念,4,33,003042.SZ
000426,金属铅;金属锌;金属镍;黄金概念;金属铜;小金属概念;金属钴;西部大开发;俄乌冲突概念;深股通;融资融券,11,33,000426.SZ
601869,共封装光学(CPO);铜缆高速连接;光纤概念;第三代半导体;芯片概念;特高压;人形机器人;5G;新能源汽车;专精特新;智能电网;机器人概念;风电;太赫兹;海工装备;量子科技;一带一路;工业互联网;沪股通;创投;抖音概念(字节概念);融资融券,22,17,601869.SH
002237,金属铅;黄金概念;金属锌;金属铜;小金属概念;金属回收;磷化工;化肥;国企改革;深股通;融资融券,11,33,002237.SZ
002201,商业航天;高铁;风电;创投;比亚迪概念;深股通;融资融券,7,33,002201.SZ
001277,农机;煤炭概念;数据中心;新型工业化;融资融券,5,33,001277.SZ
600489,黄金概念;金属铜;小金属概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,8,17,600489.SH
000603,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;文化传媒概念;深股通;融资融券,9,33,000603.SZ
600789,流感;仿制药一致性评价;肝炎概念;毛发医疗;创新药;合成生物;阿尔茨海默概念;宠物经济;消毒剂;国企改革;工业互联网;DeepSeek概念;融资融券;沪股通,14,17,600789.SH
000593,青蒿素;信托概念;股权转让(并购重组);地下管网;碳中和;天然气;西部大开发;氢能源;储能;融资融券,10,33,000593.SZ
603045,BC电池;HJT电池;黄金概念;金属回收;TOPCON电池;2025年报预增;光伏概念;储能;智能电网;数据中心;工业互联网;高铁;充电桩;5G;比亚迪概念;新能源汽车;智能家居;汽车电子;股权转让(并购重组);融资融券,20,17,603045.SH
002667,金属锌;金属铅;小金属概念;锂电池概念;磷化工;储能;垃圾分类;融资融券,8,33,002667.SZ
600759,海南自贸区;俄乌冲突概念;土地流转;天然气;一带一路;人民币贬值受益;融资融券;沪股通,8,17,600759.SH
002623,钙钛矿电池;POE胶膜;光伏建筑一体化;光伏概念;建筑节能;绿色电力;一带一路;特斯拉概念;融资融券,9,33,002623.SZ
601069,黄金概念;金属铜;小金属概念;西部大开发;国企改革;沪股通;融资融券,7,17,601069.SH
001337,黄金概念;西部大开发;国企改革;融资融券;深股通,5,33,001337.SZ
002995,Web3.0;快手概念;小红书概念;短剧游戏;文化传媒概念;AIGC概念;抖音概念(字节概念);虚拟数字人;云办公;腾讯概念;拼多多概念;IP经济(谷子经济);元宇宙;AI智能体;百度概念;阿里巴巴概念;财税数字化;数字经济;人工智能;区块链;DeepSeek概念;虚拟现实;京津冀一体化;预制菜;AI应用,25,33,002995.SZ
601168,金属锌;金属铅;金属铜;金属镍;黄金概念;小金属概念;金属回收;盐湖提锂;锂电池概念;钒电池;西部大开发;沪股通;融资融券;国企改革,14,17,601168.SH
002165,环氧丙烷;水泥概念;建筑节能;医疗器械概念;深股通;融资融券,6,33,002165.SZ
603619,俄乌冲突概念;天然气;新疆振兴;一带一路;回购增持再贷款概念;海工装备;机器人概念;沪股通;融资融券,9,17,603619.SH
603578,共同富裕示范区;光伏概念;专精特新,3,17,603578.SH
601958,小金属概念;OLED;西部大开发;军工;国企改革;沪股通;融资融券,7,17,601958.SH
002009,人形机器人;特斯拉概念;新型工业化;华为汽车;汽车拆解概念;比亚迪概念;新能源汽车;长安汽车概念;机器人概念;动力电池回收;工业互联网;锂电池概念;光伏概念;金属镍;富士康概念;储能;金属回收;风电;智能物流;垃圾分类;小金属概念;车联网(车路协同);金属钴;无人驾驶;腾讯概念;固废处理;无人零售;脑机接口;深股通;融资融券,30,33,002009.SZ
605056,职业教育;特高压;人工智能;无人机;低空经济;机器人概念;军工;高端装备;核电;储能;抽水蓄能;风电;沪股通,13,17,605056.SH
600916,黄金概念;国企改革;回购增持再贷款概念;央企国企改革;培育钻石;同花顺中特估100;中字头股票;沪股通;融资融券,9,17,600916.SH
600531,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;锂电池概念;固废处理;核电;国企改革;沪股通;融资融券,12,17,600531.SH
002716,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;回购增持再贷款概念;国企改革;深股通;融资融券,10,33,002716.SZ
600173,锂电池概念;机器人概念;稀土永磁;储能;氢能源;物业管理;黄金概念;金属铅;金属锌;金属铜;IP经济(谷子经济);风电;绿色电力;网络游戏;手机游戏;沪股通;股权转让(并购重组),17,17,600173.SH
600549,小金属概念;金属钴;稀土永磁;宁德时代概念;固态电池;锂电池概念;动力电池回收;可控核聚变;光伏概念;军工;机器人概念;无人机;商业航天;海峡两岸;福建自贸区;沪股通;融资融券;国企改革,18,17,600549.SH
603958,机器人概念;华为概念;DeepSeek概念;消费电子概念;海峡两岸;3D打印;股权转让(并购重组),7,17,603958.SH
600988,金属铅;黄金概念;金属铜;2025年报预增;稀土永磁;西部大开发;人民币贬值受益;沪股通;融资融券,9,17,600988.SH
002022,流感;肝炎概念;猴痘概念;宠物经济;医疗器械概念;食品安全;智能医疗,7,33,002022.SZ
002575,Sora概念(文生视频);算力租赁;华为昇腾;腾讯概念;区块链;东数西算(算力);DeepSeek概念;创投;物业管理;粤港澳大湾区;深股通;融资融券,12,33,002575.SZ
000751,金属锌;金属铜;小金属概念;黄金概念;金属回收;深股通,6,33,000751.SZ
000078,医药电商;流感;维生素;创新药;仿制药一致性评价;医疗器械概念;冷链物流;粤港澳大湾区;深股通;融资融券,10,33,000078.SZ
600791,国企改革;京津冀一体化,2,17,600791.SH
600547,黄金概念;2025三季报预增;沪股通;融资融券;证金持股;国企改革;数字经济,7,17,600547.SH
000975,金属铅;黄金概念;金属锌;小金属概念;回购增持再贷款概念;西部大开发;国企改革;深股通;融资融券,9,33,000975.SZ
002506,钙钛矿电池;TOPCON电池;HJT电池;BC电池;光伏建筑一体化;光伏概念;储能;碳中和;钒电池;碳交易;华为数字能源;雄安新区;华为概念;长三角一体化;区块链;蚂蚁集团概念;深股通;融资融券,18,33,002506.SZ
601020,金属铅;金属锌;黄金概念;金属铜;小金属概念;人民币贬值受益;西部大开发;一带一路;沪股通;融资融券,10,17,601020.SH
600961,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;央企国企改革;国企改革;融资融券;沪股通,10,17,600961.SH
000960,金属铅;金属锌;金属铜;小金属概念;西部大开发;国企改革;深股通;融资融券,8,33,000960.SZ
601390,中字头股票;同花顺中特估100;证金持股;参股券商;PPP概念;新型城镇化;国企改革;央企国企改革;水利;一带一路;沪股通;融资融券;回购增持再贷款概念;高铁;金属铜;小金属概念;低空经济;金属钴,18,17,601390.SH
600487,光纤概念;特高压;共封装光学(CPO);液冷服务器;小米汽车;柔性直流输电;芯片概念;智能电网;新能源汽车;F5G概念;人形机器人;5G;风电;数据中心;量子科技;机器人概念;长三角一体化;无人驾驶;6G概念;华为概念;海工装备;军工;一带一路;太赫兹;创投;水利;DeepSeek概念;网络安全;智慧城市;沪股通;融资融券,31,17,600487.SH
002731,黄金概念;锂电池概念;三胎概念;IP经济(谷子经济),4,33,002731.SZ
002166,禽流感;工业大麻;代糖概念;合成生物;人民币贬值受益;啤酒概念;农业种植;参股银行;专精特新;乡村振兴;西部大开发;回购增持再贷款概念;股权转让(并购重组);深股通;融资融券,15,33,002166.SZ
600301,金属铅;金属锌;金属铜;小金属概念;DeepSeek概念;西部大开发;国企改革;沪股通,8,17,600301.SH
001280,小金属概念;超导概念;稀土永磁;核电;注册制次新股;央企国企改革;一带一路;军工;深股通;中字头股票;新股与次新股;融资融券,12,33,001280.SZ
000688,金属铅;金属锌;钛白粉概念;金属铜;小金属概念;黄金概念;锂电池概念;2025年报预增;西部大开发;深股通;股权转让(并购重组);融资融券,12,33,000688.SZ
301111,流感;医药电商;幽门螺杆菌概念;创新药;眼科医疗;三胎概念;养老概念;融资融券,8,33,301111.SZ
688289,流感;肝炎概念;猴痘概念;基因测序;创新药;宠物经济;医疗器械概念;智能医疗;人工智能;DeepSeek概念;创投;数字经济;AI智能体;阿里巴巴概念;一带一路;专精特新;沪股通;融资融券,18,17,688289.SH
000510,金属铜;小金属概念;石墨烯;芯片概念;西部大开发;化债概念(AMC概念),6,33,000510.SZ
688717,虚拟电厂;光伏概念;锂电池概念;储能;充电桩;人民币贬值受益;沪股通;融资融券,8,17,688717.SH
300774,金属锌;金属铅;金属铜;盐湖提锂;小金属概念;净水概念;污水处理;PPP概念;DeepSeek概念;京津冀一体化;水利;专精特新;融资融券,13,33,300774.SZ
920088,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,6,151,920088.BJ
300102,商业航天;卫星导航;军工;MicroLED概念;福建自贸区;人脸识别;海峡两岸;光伏概念;MiniLED;第三代半导体;芯片概念;消费电子概念;汽车电子;共封装光学(CPO);家用电器;智能家居;深股通,17,33,300102.SZ
