股票代码,所属概念数量,所属概念,code,market_code
002396.SZ,32,WiFi 6;F5G概念;共封装光学(CPO);5G;数据中心(AIDC);网络安全;物联网;华为概念;信创;车联网(车路协同);机器人概念;智能家居;阿里巴巴概念;抖音概念(字节概念);腾讯概念;海峡两岸;脑机接口;数字货币;移动支付;鸿蒙概念;人工智能;福建自贸区;DeepSeek概念;AIGC概念;AI应用;在线教育;互联网金融;文化传媒概念;国企改革;深股通;融资融券;证金持股,002396,33
000759.SZ,15,免税店;预制菜;IP经济(谷子经济);统一大市场;农业种植;冷链物流;跨境电商;乡村振兴;智能物流;国企改革;一带一路;抖音概念(字节概念);腾讯概念;可降解塑料;深股通,000759,33
002642.SZ,44,国资云;网络安全;智慧政务;数据安全;华为鲲鹏;数字乡村;云计算;华为昇腾;AI智能体;多模态AI;数据要素;AI应用;信创;ChatGPT概念;区块链;智慧城市;电力物联网;腾讯概念;阿里巴巴概念;百度概念;车联网(车路协同);物联网;数字孪生;人工智能;DeepSeek概念;数字经济;智能医疗;星闪概念;互联网金融;虚拟现实;独角兽概念;东数西算(算力);华为概念;京津冀一体化;基因测序;工业互联网;数据中心(AIDC);华为数字能源;碳中和;乡村振兴;新型工业化;国企改革;5G;深股通,002642,33
603789.SH,10,生态农业;乡村振兴;共同富裕示范区;新疆振兴;数据要素;ST板块;农机;无人机;机器人概念;无人驾驶,603789,22
001365.SZ,20,注册制次新股;两轮车;一带一路;长安汽车概念;工业互联网;低空经济;储能;机器人概念;国企改革;比亚迪概念;新能源汽车;无人驾驶;人形机器人;宁德时代概念;智能座舱;汽车电子;无线充电;PCB概念;新股与次新股;融资融券,001365,33
600602.SH,29,算力租赁;云计算;东数西算(算力);信创;智慧政务;国资云;腾讯概念;阿里巴巴概念;数据中心(AIDC);数据要素;区块链;AI智能体;智慧城市;液冷服务器;物联网;数字孪生;数字经济;华为概念;DeepSeek概念;人工智能;职业教育;智能医疗;军工;食品安全;PPP概念;国企改革;上海国企改革;沪股通;融资融券,600602,17
002856.SZ,5,ST板块;新型城镇化;垃圾分类;国企改革;粤港澳大湾区,002856,33
000977.SZ,25,中国AI 50;算力租赁;东数西算(算力);数据中心(AIDC);液冷服务器;云计算;国产操作系统;英伟达概念;国资云;信创;抖音概念(字节概念);百度概念;腾讯概念;智慧城市;车联网(车路协同);元宇宙;AIGC概念;DeepSeek概念;人工智能;无人驾驶;水利;国企改革;深股通;融资融券;2026中报预增,000977,33
002841.SZ,21,AI应用;人工智能;DeepSeek概念;星闪概念;车联网(车路协同);AIGC概念;智能家居;在线教育;家用电器;智慧政务;机器人概念;云办公;智能座舱;小米概念;物业管理;智能穿戴;AI眼镜;汽车电子;深股通;2026中报预增;融资融券,002841,33
603296.SH,35,AI PC;智能音箱;中国AI 50;液冷服务器;无线耳机;英伟达概念;华为手机;数据中心(AIDC);消费电子概念;上海自贸区;星闪概念;AI眼镜;抖音概念(字节概念);智能穿戴;东数西算(算力);小米概念;华为概念;汽车电子;智能家居;阿里巴巴概念;腾讯概念;虚拟现实;医疗器械概念;芯片概念;智能座舱;无人驾驶;毫米波雷达;机器人概念;人形机器人;百度概念;车联网(车路协同);MR(混合现实);5G;沪股通;融资融券,603296,17
603661.SH,7,培育钻石;芯片概念;智能家居;人民币贬值受益;一带一路;跨境电商;沪股通,603661,17
603380.SH,9,机器人概念;新能源汽车;汽车电子;消费电子概念;5G;独角兽概念;数据中心(AIDC);医疗器械概念;沪股通,603380,17
600187.SH,8,ST板块;PPP概念;空气能热泵;污水处理;黑龙江自贸区;独角兽概念;储能;股权转让(并购重组),600187,22
002350.SZ,22,智能电网;数据中心(AIDC);特高压;虚拟电厂;高压快充;充电桩;风电;光伏概念;光伏建筑一体化;超级电容;储能;绿色电力;阿里巴巴概念;高端装备;氢能源;燃料电池;京津冀一体化;雄安新区;中俄贸易概念;俄乌冲突概念;深股通;融资融券,002350,33
600129.SH,26,禽流感;医药电商;仿制药一致性评价;流感;肝炎概念;维生素;创新药;农业种植;减肥药;眼科医疗;超级品牌;医美概念;土地流转;养老概念;乡村振兴;西部大开发;医疗器械概念;国企改革;央企国企改革;人工智能;AI智能体;阿里巴巴概念;百度概念;股权转让(并购重组);沪股通;融资融券,600129,17
000506.SZ,8,黄金概念;金属铜;小金属概念;一带一路;股权转让(并购重组);人民币贬值受益;国企改革;深股通,000506,33
001207.SZ,3,特高压;固态电池;深股通,001207,33
002910.SZ,7,网红经济;乳业;宠物经济;生态农业;乡村振兴;西部大开发;国企改革,002910,33
001208.SZ,22,卫星导航;商业航天;军工;海工装备;核电;高铁;特高压;可控核聚变;水利;高端装备;充电桩;专精特新;工业互联网;机器人概念;风电;比亚迪概念;新能源汽车;光伏概念;人形机器人;新疆振兴;国企改革;深股通,001208,33
000078.SZ,9,医药电商;仿制药一致性评价;维生素;流感;创新药;ST板块;冷链物流;医疗器械概念;粤港澳大湾区,000078,33
002674.SZ,4,华为汽车;PPP概念;固废处理;海峡两岸,002674,33
603496.SH,32,算力租赁;云计算;华为昇腾;国产操作系统;数据安全;华为鲲鹏;网络安全;信创;东数西算(算力);鸿蒙概念;智慧城市;数据中心(AIDC);AI应用;数字孪生;DeepSeek概念;液冷服务器;人工智能;物联网;华为概念;智能医疗;智能电网;军民融合;军工;工业互联网;专精特新;5G;机器人概念;新型工业化;创投;光伏概念;融资融券;沪股通,603496,17
603285.SH,3,锂电池概念;沪股通;融资融券,603285,17
603881.SH,14,算力租赁;云计算;东数西算(算力);中国AI 50;国资云;数据中心(AIDC);腾讯概念;百度概念;阿里巴巴概念;液冷服务器;蚂蚁集团概念;国企改革;沪股通;融资融券,603881,17
001229.SZ,16,军工信息化;智慧城市;智慧政务;商业航天;信创;在线教育;数字经济;智能电网;AI应用;人工智能;车联网(车路协同);安防;粤港澳大湾区;专精特新;光纤概念;芯片概念,001229,33
603137.SH,6,装配式建筑;建筑节能;新型城镇化;光伏建筑一体化;股权转让(并购重组);融资融券,603137,17
002757.SZ,25,算力租赁;云计算;东数西算(算力);网络安全;抖音概念(字节概念);数据中心(AIDC);腾讯概念;阿里巴巴概念;AIGC概念;AI智能体;华为概念;AI应用;数字经济;数字孪生;人工智能;专精特新;新型工业化;粤港澳大湾区;海峡两岸;工业母机;机器人概念;工业互联网;智能家居;中俄贸易概念;深股通,002757,33
600756.SH,18,DRG/DIP;财税数字化;在线教育;AIGC概念;智慧政务;云计算;AI智能体;养老概念;信创;国资云;数字孪生;DeepSeek概念;人工智能;工业互联网;国企改革;同花顺新质50;沪股通;融资融券,600756,17
002951.SZ,7,超级电容;风电;蚂蚁集团概念;储能;数字经济;西部大开发;深股通,002951,33
600749.SH,6,冰雪产业;旅游概念;IP经济(谷子经济);文化传媒概念;露营经济;西部大开发,600749,17
603313.SH,6,跨境电商;C2M概念;鸿蒙概念;人民币贬值受益;智能家居;沪股通,603313,17
300504.SZ,14,F5G概念;WiFi 6;光纤概念;华为海思概念股;5G;AI眼镜;虚拟现实;华为概念;物联网;商业航天;星闪概念;智能家居;鸿蒙概念;西部大开发,300504,33
000838.SZ,6,租售同权;ST板块;固废处理;西部大开发;污水处理;股权转让(并购重组),000838,33
002490.SZ,7,页岩气;天然气;国企改革;氢能源;海工装备;深股通;股权转让(并购重组),002490,33
002542.SZ,14,文化传媒概念;地下管网;特色小镇;旅游概念;新型城镇化;PPP概念;新疆振兴;国企改革;一带一路;云计算;ST板块;低空经济;数据中心(AIDC);芯片概念,002542,33
600094.SH,16,算力租赁;数字经济;旅游概念;物业管理;低空经济;东数西算(算力);无人机;数据中心(AIDC);参股保险;卫星导航;商业航天;5G;6G概念;芯片概念;沪股通;融资融券,600094,17
301277.SZ,9,流感;仿制药一致性评价;合成生物;幽门螺杆菌概念;创新药;CRO概念;减肥药;深股通;融资融券,301277,33
000639.SZ,7,NMN概念;ST板块;网红经济;维生素;体育产业;跨境电商;阿里巴巴概念,000639,33
301397.SZ,19,液冷服务器;数据中心(AIDC);比亚迪概念;华为汽车;汽车热管理;长安汽车概念;飞行汽车(eVTOL);新能源汽车;宁德时代概念;低空经济;燃料电池;储能;充电桩;换电概念;氢能源;两轮车;西部大开发;深股通;融资融券,301397,33
688489.SH,24,物联网;信创;网络安全;车联网(车路协同);鸿蒙概念;量子科技;数据安全;华为鲲鹏;数字货币;智慧政务;华为概念;专精特新;阿里巴巴概念;低空经济;DeepSeek概念;数字经济;区块链;商业航天;数据确权;跨境支付(CIPS);芯片概念;人形机器人;沪股通;融资融券,688489,17
