所属概念数量,股票代码,market_code,code,所属概念
6,920179.BJ,151,920179,股权转让(并购重组);芯片概念;中芯国际概念;光伏概念;融资融券;专精特新
17,300592.SZ,33,300592,AIGC概念;跨境电商;ChatGPT概念;元宇宙;人工智能;AI应用;AI智能体;人民币贬值受益;无人机;华为概念;家用电器;虚拟现实;华为盘古;消费电子概念;智能穿戴;股权转让(并购重组);深股通
7,688233.SH,17,688233,存储芯片;第三代半导体;芯片概念;专精特新;2025年报预增;沪股通;融资融券
11,688020.SH,17,688020,PET铜箔;PCB概念;华为手机;先进封装;消费电子概念;5G;小米概念;稀土永磁;专精特新;华为概念;融资融券
30,301018.SZ,33,301018,富士康概念;液冷服务器;5G;数据中心(AIDC);高压快充;东数西算(算力);可控核聚变;特高压;柔性直流输电;成飞概念;军工;宁德时代概念;华为概念;新能源汽车;储能;核电;2025年报预增;锂电池概念;空气能热泵;抖音概念(字节概念);海工装备;腾讯概念;阿里巴巴概念;百度概念;风电;DeepSeek概念;抽水蓄能;碳中和;深股通;融资融券
7,920402.BJ,151,920402,融资融券;碳中和;国企改革;氢能源;光伏概念;硅能源;芯片概念
17,301196.SZ,33,301196,光纤概念;消费电子概念;新型烟草(电子烟);专精特新;新能源汽车;PEEK材料;海峡两岸;机器人概念;家用电器;储能;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券
3,688625.SH,17,688625,专精特新;沪股通;融资融券
27,688787.SH,17,688787,智谱AI;AI语料;数据安全;抖音概念(字节概念);ChatGPT概念;腾讯概念;阿里巴巴概念;百度概念;AI智能体;AIGC概念;数字水印;虚拟数字人;数据要素;人脸识别;语音技术;中国AI 50;DeepSeek概念;人工智能;车联网(车路协同);华为概念;小米概念;无人驾驶;人形机器人;专精特新;旅游概念;沪股通;融资融券
18,300671.SZ,33,300671,汽车芯片;MCU芯片;第三代半导体;WiFi 6;存储芯片;MiniLED;芯片概念;5G;先进封装;无线耳机;毫米波雷达;新型烟草(电子烟);专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券
17,300806.SZ,33,300806,PCB概念;富士康概念;苹果概念;光刻胶;柔性屏(折叠屏);消费电子概念;汽车电子;无线耳机;专精特新;特斯拉概念;新能源汽车;华为概念;虚拟现实;石墨烯;储能;氢能源;深股通
18,301031.SZ,33,301031,专精特新;高压快充;数据中心(AIDC);光伏概念;宁德时代概念;新能源汽车;小米概念;华为概念;特斯拉概念;储能;充电桩;华为汽车;2025年报预增;小米汽车;风电;西部大开发;深股通;融资融券
14,688388.SH,17,688388,PET铜箔;共封装光学(CPO);PCB概念;固态电池;宁德时代概念;2026一季报预增;锂电池概念;新能源汽车;储能;光伏概念;低空经济;飞行汽车(eVTOL);沪股通;融资融券
9,688234.SH,17,688234,第三代半导体;芯片概念;AI眼镜;专精特新;华为概念;智能电网;新能源汽车;沪股通;融资融券
7,301205.SZ,33,301205,共封装光学(CPO);5G;数据中心(AIDC);芯片概念;人民币贬值受益;深股通;融资融券
7,688006.SH,17,688006,固态电池;锂电池概念;芯片概念;动力电池回收;特斯拉概念;沪股通;融资融券
5,688662.SH,17,688662,共封装光学(CPO);芯片概念;5G;储能;融资融券
11,301607.SZ,33,301607,第三代半导体;小米概念;高压快充;专精特新;比亚迪概念;小米汽车;新能源汽车;2025年报预增;充电桩;深股通;融资融券
2,920206.BJ,151,920206,新股与次新股;融资融券
5,688056.SH,17,688056,光刻胶;食品安全;核污染防治;芯片概念;融资融券
16,300548.SZ,33,300548,F5G概念;光纤概念;共封装光学(CPO);铜缆高速连接;5G;芯片概念;数据中心(AIDC);专精特新;2025年报预增;机器视觉;华为概念;长三角一体化;机器人概念;抖音概念(字节概念);融资融券;深股通
20,688484.SH,17,688484,汽车芯片;MCU芯片;芯片概念;AI手机;AI眼镜;无线充电;消费电子概念;智能穿戴;传感器;汽车电子;智能座舱;液冷服务器;小米概念;机器人概念;储能;阿里巴巴概念;锂电池概念;人民币贬值受益;沪股通;融资融券
26,300145.SZ,33,300145,数据中心(AIDC);液冷服务器;空气能热泵;腾讯概念;智慧城市;专精特新;核电;军工;比亚迪概念;储能;水利;垃圾分类;创投;风电;中俄贸易概念;新型城镇化;净水概念;污水处理;中芯国际概念;土壤修复;金属回收;固废处理;PPP概念;国企改革;深股通;融资融券
5,301176.SZ,33,301176,PCB概念;MiniLED;汽车电子;锂电池概念;融资融券
14,688733.SH,17,688733,PCB概念;先进封装;存储芯片;芯片概念;宁德时代概念;固态电池;专精特新;光伏概念;锂电池概念;华为概念;新能源汽车;钠离子电池;燃料电池;融资融券
8,300816.SZ,33,300816,算力租赁;云计算;专精特新;智能医疗;DeepSeek概念;氢能源;2025年报预增;燃料电池
18,688508.SH,17,688508,国家大基金持股;汽车芯片;中芯国际概念;第三代半导体;芯片概念;数据中心(AIDC);高压快充;智能电网;专精特新;充电桩;人工智能;2025年报预增;DeepSeek概念;无人机;机器人概念;人形机器人;沪股通;融资融券
10,688376.SH,17,688376,光刻机;中芯国际概念;芯片概念;数据中心(AIDC);PM2.5;专精特新;腾讯概念;阿里巴巴概念;沪股通;融资融券
17,300304.SZ,33,300304,汽车电子;芯片概念;传感器;汽车芯片;无人驾驶;比亚迪概念;新能源汽车;专精特新;机器人概念;海峡两岸;横琴新区;充电桩;储能;创投;风电;深股通;绿色电力
13,300398.SZ,33,300398,存储芯片;中芯国际概念;光纤概念;先进封装;第三代半导体;光刻胶;OLED;芯片概念;电子纸;光伏概念;新能源汽车;深股通;融资融券
10,688183.SH,17,688183,PCB概念;共封装光学(CPO);毫米波雷达;5G;汽车电子;2025年报预增;华为概念;工业互联网;沪股通;融资融券
8,688512.SH,17,688512,国家大基金持股;芯片概念;5G;专精特新;物联网;人民币贬值受益;沪股通;融资融券
4,300755.SZ,33,300755,跨境电商;西部大开发;融资融券;深股通
