market_code,所属概念数量,所属概念,股票代码,code
33,30,人形机器人;特斯拉概念;新型工业化;华为汽车;汽车拆解概念;比亚迪概念;新能源汽车;长安汽车概念;机器人概念;动力电池回收;工业互联网;锂电池概念;光伏概念;金属镍;富士康概念;储能;金属回收;风电;智能物流;垃圾分类;小金属概念;车联网(车路协同);金属钴;无人驾驶;腾讯概念;固废处理;无人零售;脑机接口;深股通;融资融券,002009.SZ,002009
17,12,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;锂电池概念;超导概念;西部大开发;可控核聚变;沪股通;融资融券,601212.SH,601212
17,7,光刻胶;注册制次新股;环氧丙烷;专精特新;芯片概念;新股与次新股;融资融券,603120.SH,603120
33,6,新能源汽车;特斯拉概念;比亚迪概念;一体化压铸;机器人概念;深股通,001311.SZ,001311
33,9,福建自贸区;海峡两岸;旅游概念;民营医院;乡村振兴;化肥;合成生物;深股通;融资融券,000592.SZ,000592
33,10,光伏概念;储能;风电;充电桩;一带一路;农机;人民币贬值受益;乡村振兴;深股通;融资融券,002150.SZ,002150
17,25,6G概念;卫星导航;商业航天;数据要素;无人机;WiFi 6;毫米波雷达;5G;星闪概念;无线充电;传感器;光伏概念;西部大开发;长安汽车概念;储能;央企国企改革;芯片概念;汽车电子;消费电子概念;回购增持再贷款概念;MCU芯片;国企改革;汽车芯片;沪股通;融资融券,600877.SH,600877
33,9,黄金概念;金属铜;小金属概念;股权转让(并购重组);一带一路;国企改革;人民币贬值受益;深股通;摘帽,000506.SZ,000506
17,11,光伏建筑一体化;光伏概念;金属回收;储能;专精特新;比亚迪概念;机器人概念;人形机器人;液冷服务器;沪股通;融资融券,603381.SH,603381
33,16,流感;肝炎概念;猴痘概念;辅助生殖;幽门螺杆菌概念;基因测序;禽流感;医疗器械概念;智能医疗;食品安全;创投;人工智能;国企改革;互联网金融;融资融券;深股通,002030.SZ,002030
17,8,培育钻石;物业管理;第三代半导体;国企改革;旅游概念;回购增持再贷款概念;沪股通;融资融券,600172.SH,600172
17,28,光伏概念;光伏建筑一体化;信托概念;数字孪生;硅能源;数据中心;华为概念;氢能源;专精特新;化债概念(AMC概念);智慧城市;数字经济;一带一路;碳交易;碳中和;绿色电力;土壤修复;污水处理;乡村振兴;PPP概念;建筑节能;国企改革;固废处理;生物质能发电;垃圾分类;参股券商;沪股通;融资融券,600475.SH,600475
33,8,共封装光学(CPO);铜缆高速连接;污水处理;土壤修复;新型城镇化;乡村振兴;深股通;股权转让(并购重组),001267.SZ,001267
17,12,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;锂电池概念;固废处理;核电;国企改革;沪股通;融资融券,600531.SH,600531
17,6,金属锌;金属铅;小金属概念;西部大开发;专精特新;沪股通,603132.SH,603132
33,17,钙钛矿电池;POE胶膜;HJT电池;硅能源;光伏建筑一体化;光伏概念;商业航天;卫星导航;绿色电力;华为概念;储能;充电桩;粤港澳大湾区;芯片概念;新能源汽车;深股通;融资融券,002218.SZ,002218
33,12,国产航母;大飞机;航空发动机;军民融合;商业航天;央企国企改革;军工;无人机;高端装备;国企改革;深股通;融资融券,000738.SZ,000738
33,17,先进封装;国家大基金持股;存储芯片;华为海思概念股;芯片概念;汽车电子;共封装光学(CPO);智能座舱;传感器;毫米波雷达;5G;机器人概念;无人驾驶;华为概念;西部大开发;深股通;融资融券,002185.SZ,002185
17,10,建筑节能;雅下水电概念;房屋检测;水利;抽水蓄能;风电;核电;可控核聚变;AI应用;融资融券,603916.SH,603916
33,20,军工信息化;6G概念;太赫兹;卫星导航;商业航天;军民融合;车联网(车路协同);军工;毫米波雷达;华为概念;5G;物联网;无人驾驶;芯片概念;汽车电子;粤港澳大湾区;回购增持再贷款概念;智能电网;深股通;融资融券,002446.SZ,002446
17,3,军工信息化;虚拟现实;军工,603488.SH,603488
17,9,黄金概念;国企改革;回购增持再贷款概念;央企国企改革;培育钻石;同花顺中特估100;中字头股票;沪股通;融资融券,600916.SH,600916
33,20,小红书概念;短剧游戏;快手概念;虚拟数字人;文化传媒概念;Web3.0;NFT概念;抖音概念(字节概念);网红经济;数据要素;广东自贸区;数字经济;人工智能;跨境电商;虚拟现实;乡村振兴;粤港澳大湾区;AI应用;深股通;融资融券,002291.SZ,002291
33,18,数字孪生;数据要素;数字经济;机器视觉;DeepSeek概念;人工智能;物联网;工业互联网;新型工业化;智能物流;机器人概念;专精特新;新能源汽车;比亚迪概念;统一大市场;宁德时代概念;深股通;股权转让(并购重组),300486.SZ,300486
17,7,土壤修复;净水概念;碳中和;固废处理;绿色电力;污水处理;融资融券,688679.SH,688679
33,8,创投;2025年报预增;有机硅概念;专精特新;参股银行;参股券商;合成生物;融资融券,002054.SZ,002054
17,13,BC电池;钙钛矿电池;TOPCON电池;光伏概念;固态电池;高端装备;芯片概念;锂电池概念;储能;机器视觉;共封装光学(CPO);沪股通;融资融券,688516.SH,688516
17,21,汽车芯片;第三代半导体;中芯国际概念;MCU芯片;芯片概念;比亚迪概念;消费电子概念;传感器;新能源汽车;AI眼镜;5G;机器人概念;储能;光伏概念;充电桩;无人驾驶;数据中心;特高压;智能电网;沪股通;融资融券,688469.SH,688469
33,36,存储芯片;共封装光学(CPO);EDR概念;英伟达概念;AI眼镜;芯片概念;消费电子概念;智能穿戴;小米概念;汽车电子;智能音箱;人形机器人;数据中心;东数西算(算力);云游戏;安防;云计算;车联网(车路协同);AI智能体;机器人概念;算力租赁;腾讯概念;物联网;人脸识别;人工智能;人民币贬值受益;DeepSeek概念;粤港澳大湾区;网络游戏;短剧游戏;智能家居;家用电器;净水概念;跨境电商;融资融券;深股通,300857.SZ,300857
17,8,芯片概念;消费电子概念;专精特新;英伟达概念;传感器;机器人概念;沪股通;融资融券,688661.SH,688661
33,29,AI应用;拼多多概念;光纤概念;WiFi 6;F5G概念;阿里巴巴概念;AIGC概念;5G;短剧游戏;数据中心;MiniLED;MicroLED概念;鸿蒙概念;小米概念;第三代半导体;共封装光学(CPO);汽车芯片;芯片概念;富士康概念;消费电子概念;智能音箱;粤港澳大湾区;PCB概念;智能家居;人民币贬值受益;深圳国企改革;国企改革;深股通;融资融券,002429.SZ,002429
33,23,卫星导航;商业航天;时空大数据;低空经济;飞行汽车(eVTOL);人脸识别;智慧城市;数据要素;东数西算(算力);人工智能;安防;横琴新区;数据中心;专精特新;芯片概念;MCU芯片;粤港澳大湾区;汽车芯片;国企改革;地下管网;存储芯片;深股通;融资融券,300053.SZ,300053
17,17,5G;东数西算(算力);液冷服务器;数据中心;芯片概念;人形机器人;机器人概念;专精特新;比亚迪概念;第三代半导体;高压快充;新能源汽车;充电桩;储能;光伏概念;沪股通;融资融券,688261.SH,688261
17,6,光刻胶;专精特新;合成生物;猴痘概念;重组蛋白;融资融券,688179.SH,688179
33,8,航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券,000534.SZ,000534
17,9,科创次新股;国家大基金持股;存储芯片;MCU芯片;注册制次新股;芯片概念;西部大开发;新股与次新股;融资融券,688783.SH,688783
17,15,共封装光学(CPO);汽车芯片;MCU芯片;芯片概念;传感器;智能座舱;5G;人形机器人;专精特新;机器人概念;储能;安防;股权转让(并购重组);沪股通;融资融券,688536.SH,688536
