股票代码,market_code,所属概念,所属概念数量,code
002929.SZ,33,算力租赁;华为昇腾;云办公;东数西算(算力);数据安全;信创;多模态AI;数据中心;阿里巴巴概念;空间计算;百度概念;AI智能体;虚拟数字人;数字乡村;华为数字能源;数据要素;电力物联网;元宇宙;AI应用;智慧城市;智慧灯杆;MR(混合现实);DeepSeek概念;数字孪生;5G;华为概念;虚拟电厂;虚拟现实;智能电网;人工智能;工业互联网;充电桩;低空经济;无人机;机器人概念;储能;军工;光伏概念;雄安新区;乡村振兴;一带一路;跨境电商;西部大开发;融资融券;深股通,45,002929
603698.SH,17,军民融合;军工;核电;高端装备;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券,10,603698
002181.SZ,33,短剧游戏;文化传媒概念;足球概念;网红经济;IP经济(谷子经济);虚拟数字人;广东自贸区;AIGC概念;体育产业;旅游概念;职业教育;AI应用;智慧政务;独角兽概念;数字经济;互联网金融;人工智能;粤港澳大湾区;创投;国企改革;参股券商;融资融券;深股通,23,002181
000628.SZ,33,智慧政务;汽车芯片;数据要素;芯片概念;智慧城市;物联网;数字孪生;2025年报预增;新能源汽车;创投;储能;虚拟电厂;新型城镇化;PPP概念;西部大开发;国企改革;融资融券;深股通,18,000628
603178.SH,17,飞行汽车(eVTOL);汽车热管理;低空经济;无人驾驶;新能源汽车;减速器;华为汽车;比亚迪概念;机器人概念;长安汽车概念;共同富裕示范区;数字经济;融资融券;沪股通,14,603178
002870.SZ,33,华为汽车;长安汽车概念;人形机器人;智能座舱;机器人概念;汽车电子;特斯拉概念;低空经济;新能源汽车;信创;比亚迪概念;飞行汽车(eVTOL);高压快充;人工智能;充电桩;数字经济;芯片概念;人民币贬值受益;跨境电商;三胎概念;回购增持再贷款概念,21,002870
600714.SH,17,小金属概念;西部大开发;国企改革;央企国企改革,4,600714
603726.SH,17,空气能热泵;家用电器;先进封装;机器人概念;创投,5,603726
001316.SZ,33,大飞机;航空发动机;商业航天;低空经济;海峡两岸;AI眼镜;2025年报预增;消毒剂,8,001316
605123.SH,17,航空发动机;大飞机;商业航天;卫星导航;可控核聚变;军工;核电;海工装备;专精特新;风电;沪股通;融资融券,12,605123
002842.SZ,33,金属铜;小金属概念;光伏概念,3,002842
002192.SZ,33,锂电池概念;比亚迪概念;储能;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券,7,002192
002453.SZ,33,光刻胶;深股通;融资融券,3,002453
000553.SZ,33,草甘膦;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券,6,000553
000007.SZ,33,粤港澳大湾区;物业管理,2,000007
002591.SZ,33,垃圾分类;智慧城市;拼多多概念;专精特新;文化传媒概念;数据要素;腾讯概念;抖音概念(字节概念);锂电池概念;阿里巴巴概念;军工;百度概念;军民融合;固态电池;钠离子电池;绿色电力;超超临界发电,17,002591
603360.SH,17,机器人概念;人民币贬值受益;芯片概念;存储芯片;光刻机;消毒剂;沪股通,7,603360
001215.SZ,33,预制菜;三胎概念;海峡两岸;回购增持再贷款概念,4,001215
603897.SH,17,工业互联网;比亚迪概念;新能源汽车;机器人概念;一带一路;高股息精选;沪股通;融资融券,8,603897
002158.SZ,33,第三代半导体;芯片概念;专精特新;光伏概念;数据中心;燃料电池;空气能热泵;工业互联网;海峡两岸;氢能源;雄安新区;冷链物流;深股通;融资融券,14,002158
600433.SH,17,可降解塑料;烟草;国企改革;氢能源;燃料电池;军工;央企国企改革;融资融券;沪股通,9,600433
603119.SH,17,减速器;人形机器人;汽车热管理;特斯拉概念;新能源汽车;无人驾驶;机器人概念;宁德时代概念;专精特新;人民币贬值受益;共同富裕示范区;长三角一体化;一带一路;储能;沪股通;融资融券,16,603119
605376.SH,17,金属镍;小金属概念;硅能源;3D打印;2025年报预增;锂电池概念;光伏概念;专精特新;人民币贬值受益;融资融券;沪股通,11,605376
002785.SZ,33,盐湖提锂;小金属概念;锂电池概念;福建自贸区;海峡两岸;一带一路;核电;中俄贸易概念;俄乌冲突概念;深股通,10,002785
605099.SH,17,足球概念;体育产业;人民币贬值受益;沪股通,4,605099
002240.SZ,33,盐湖提锂;固态电池;小金属概念;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券,10,002240
001268.SZ,33,成飞概念;粤港澳大湾区,2,001268
603629.SH,17,算力租赁;东数西算(算力);液冷服务器;英伟达概念;云计算;腾讯概念;华为概念;消费电子概念;芯片概念;OLED;军工;小米概念;2025年报预增;沪股通,14,603629
002149.SZ,33,航空发动机;商业航天;卫星导航;可控核聚变;超导概念;军工;核电;海工装备;5G;柔性屏(折叠屏);专精特新;小金属概念;西部大开发;医疗器械概念;燃料电池;氢能源;国企改革;俄乌冲突概念;深股通;融资融券,20,002149
001218.SZ,33,消毒剂,1,001218
002990.SZ,33,华为昇腾;人脸识别;信创;多模态AI;安防;存储芯片;鸿蒙概念;网络安全;智慧政务;车联网(车路协同);华为概念;芯片概念;物联网;传感器;无人驾驶;AI智能体;语音技术;人形机器人;智慧城市;核污染防治;AIGC概念;DeepSeek概念;机器人概念;机器视觉;人工智能;数字经济;冷链物流;一带一路;深股通,29,002990
605299.SH,17,足球概念;冰雪产业;体育产业;跨境电商;养老概念;海峡两岸;人工智能;AIGC概念;DeepSeek概念;鸿蒙概念;华为概念,11,605299
603045.SH,17,汽车电子;5G;HJT电池;数据中心;比亚迪概念;BC电池;智能电网;新能源汽车;2025年报预增;TOPCON电池;工业互联网;金属回收;充电桩;储能;智能家居;高铁;黄金概念;股权转让(并购重组);融资融券,19,603045
603375.SH,17,传感器;芯片概念;汽车芯片;专精特新;比亚迪概念;机器人概念;存储芯片;低空经济;回购增持再贷款概念;PVDF概念;民爆概念;融资融券,12,603375
000066.SZ,33,AI PC;中国AI 50;东数西算(算力);国产操作系统;数据安全;网络安全;信创;华为鲲鹏;数据中心;百度概念;量子科技;区块链;智慧城市;液冷服务器;车联网(车路协同);华为概念;智能电网;5G;DeepSeek概念;人工智能;数字经济;芯片概念;消费电子概念;粤港澳大湾区;商业航天;军工;卫星导航;海工装备;汽车电子;军民融合;锂电池概念;央企国企改革;国企改革;钠离子电池;深股通;中字头股票;融资融券,37,000066
603687.SH,17,钙钛矿电池;烟草;数字水印;光伏概念;AIGC概念;共同富裕示范区;数字孪生;DeepSeek概念;工业互联网;ChatGPT概念;锂电池概念;人工智能;物联网;芯片概念,14,603687
002645.SZ,33,稀土永磁;金属钴;金属铜;金属回收;汽车拆解概念;消费电子概念;新能源汽车;机器人概念;高端装备;固废处理;垃圾分类;深股通;融资融券,13,002645
000833.SZ,33,化肥;磷化工;土地流转;锂电池概念;农业种植;西部大开发;2026一季报预增;广东自贸区;国企改革;TOPCON电池;乡村振兴;光伏概念;粤港澳大湾区;2025年报预增;融资融券;深股通,16,000833
603399.SH,17,小金属概念;固态电池;锂电池概念;股权转让(并购重组);专精特新;沪股通;融资融券,7,603399
002685.SZ,33,高端装备;新型工业化;专精特新;军工;传感器;一带一路;芯片概念;DeepSeek概念;信创;航运概念;深股通;股权转让(并购重组);融资融券,13,002685
601086.SH,17,IP经济(谷子经济);参股券商;家用电器;西部大开发;沪股通,5,601086
