code,market_code,股票代码,所属概念数量,所属概念
002983,33,002983.SZ,10,MicroLED概念;MiniLED;汽车芯片;AI眼镜;消费电子概念;汽车电子;小米概念;专精特新;智能家居;华为概念
003009,33,003009.SZ,12,军民融合;商业航天;军工;可控核聚变;无人机;专精特新;央企国企改革;光伏概念;西部大开发;国企改革;中字头股票;深股通
600776,17,600776.SH,13,卫星导航;商业航天;5G;华为概念;网络安全;信创;2025年报预增;AI智能体;数字经济;央企国企改革;国企改革;融资融券;沪股通
003036,33,003036.SZ,7,固态电池;锂电池概念;新型工业化;机器人概念;共同富裕示范区;高端装备;参股银行
603078,17,603078.SH,14,存储芯片;中芯国际概念;光刻胶;先进封装;OLED;芯片概念;第三代半导体;专精特新;氟化工概念;锂电池概念;国企改革;股权转让(并购重组);沪股通;融资融券
001400,33,001400.SZ,9,商业航天;液冷服务器;3D打印;高铁;专精特新;汽车热管理;新能源汽车;风电;融资融券
002896,33,002896.SZ,9,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;共同富裕示范区;长三角一体化;融资融券;深股通
603020,17,603020.SH,1,烟草
600516,17,600516.SH,14,可控核聚变;核电;石墨电极;石墨烯;碳纤维;钠离子电池;锂电池概念;固态电池;工业互联网;西部大开发;人工智能;参股银行;沪股通;融资融券
603048,17,603048.SH,6,共同富裕示范区;长安汽车概念;专精特新;数字孪生;新能源汽车;比亚迪概念
600403,17,600403.SH,5,煤炭概念;国企改革;新疆振兴;沪股通;融资融券
603992,17,603992.SH,9,C2M概念;养老概念;智能家居;人形机器人;福建自贸区;人民币贬值受益;机器人概念;2026一季报预增;沪股通
603888,17,603888.SH,28,AI语料;AI视频;知识产权保护;虚拟数字人;AIGC概念;文化传媒概念;数据确权;AI应用;Web3.0;多模态AI;在线教育;AI智能体;区块链;数据要素;阿里巴巴概念;数据安全;元宇宙;云计算;DeepSeek概念;数字经济;网络安全;人工智能;京津冀一体化;创投;乡村振兴;国企改革;沪股通;融资融券
603578,17,603578.SH,3,光伏概念;共同富裕示范区;专精特新
600293,17,600293.SH,5,硅能源;回购增持再贷款概念;国企改革;参股银行;融资融券
