股票代码,所属概念数量,code,market_code,所属概念
688296.SH,13,688296,17,数字孪生;数据要素;人工智能;物联网;净水概念;DeepSeek概念;水利;污水处理;华为概念;地下管网;专精特新;数据中心(AIDC);融资融券
688699.SH,6,688699,17,先进封装;芯片概念;MiniLED;专精特新;沪股通;融资融券
688191.SH,17,688191,17,特高压;智能电网;专精特新;机器视觉;华为昇腾;无人机;华为概念;风电;水利;数字孪生;多模态AI;人工智能;AI智能体;DeepSeek概念;鸿蒙概念;沪股通;融资融券
688170.SH,27,688170,17,MicroLED概念;先进封装;共封装光学(CPO);第三代半导体;OLED;存储芯片;华为海思概念股;柔性屏(折叠屏);光纤概念;PCB概念;芯片概念;BC电池;PET铜箔;钙钛矿电池;3D打印;商业航天;专精特新;光伏概念;华为概念;高端装备;碳纤维;宁德时代概念;固态电池;锂电池概念;玻璃基板;沪股通;融资融券
301047.SZ,13,301047,33,细胞免疫治疗;肝炎概念;猴痘概念;流感;重组蛋白;合成生物;CRO概念;智能医疗;京津冀一体化;人民币贬值受益;人工智能;深股通;融资融券
002512.SZ,24,002512,33,智慧政务;华为鲲鹏;在线教育;虚拟数字人;智慧城市;鸿蒙概念;数字乡村;数字经济;互联网金融;卫星导航;物联网;人工智能;DeepSeek概念;机器人概念;ST板块;商业航天;福建自贸区;乡村振兴;小米概念;海峡两岸;一带一路;5G;消费电子概念;6G概念
300591.SZ,9,300591,33,网红经济;跨境电商;露营经济;三胎概念;人工智能;粤港澳大湾区;军民融合;军工;腾讯概念
688807.SH,11,688807,17,共封装光学(CPO);科创次新股;汽车芯片;5G;MCU芯片;芯片概念;数据中心(AIDC);注册制次新股;海峡两岸;新股与次新股;融资融券
688669.SH,6,688669,17,光刻胶;石墨烯;可降解塑料;磷化工;钙钛矿电池;融资融券
300548.SZ,16,300548,33,光纤概念;共封装光学(CPO);F5G概念;铜缆高速连接;5G;芯片概念;数据中心(AIDC);专精特新;机器视觉;华为概念;机器人概念;长三角一体化;抖音概念(字节概念);2026中报预增;融资融券;深股通
300154.SZ,5,300154,33,专精特新;比亚迪概念;机器人概念;芯片概念;创投
600522.SH,45,600522,17,光纤概念;共封装光学(CPO);铜缆高速连接;6G概念;PCB概念;PET铜箔;超级电容;5G;液冷服务器;芯片概念;特高压;超导概念;柔性直流输电;可控核聚变;汽车电子;商业航天;数据中心(AIDC);量子科技;东数西算(算力);钙钛矿电池;光伏概念;新能源汽车;华为概念;智能电网;海工装备;机器人概念;低空经济;固态电池;核电;储能;风电;工业互联网;锂电池概念;阿里巴巴概念;数据要素;数字经济;氢能源;DeepSeek概念;碳中和;一带一路;沪股通;融资融券;绿色电力;证金持股;2026中报预增
603890.SH,20,603890,17,AI PC;F5G概念;富士康概念;数据中心(AIDC);小米汽车;华为概念;5G;特斯拉概念;AI眼镜;机器人概念;华为汽车;消费电子概念;汽车电子;新能源汽车;人民币贬值受益;人形机器人;比亚迪概念;液冷服务器;沪股通;融资融券
688589.SH,19,688589,17,MCU芯片;芯片概念;5G;传感器;专精特新;卫星导航;光伏概念;物联网;智慧灯杆;中芯国际概念;电力物联网;智能电网;粤港澳大湾区;智能家居;阿里巴巴概念;智慧城市;人工智能;高铁;融资融券
300705.SZ,9,300705,33,医药电商;创新药;流感;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;维生素;CRO概念;深股通
300570.SZ,11,300570,33,共封装光学(CPO);光纤概念;F5G概念;铜缆高速连接;芯片概念;5G;传感器;数据中心(AIDC);人民币贬值受益;融资融券;深股通
300345.SZ,13,300345,33,HJT电池;TOPCON电池;BC电池;硅能源;光伏概念;碳中和;储能;军民融合;军工;智能电网;机器人概念;华为概念;智慧城市
688549.SH,8,688549,17,中芯国际概念;国家大基金持股;存储芯片;氟化工概念;先进封装;芯片概念;沪股通;融资融券
300835.SZ,8,300835,33,消费电子概念;稀土永磁;数据中心(AIDC);光伏概念;专精特新;新能源汽车;融资融券;深股通
688790.SH,15,688790,17,科创次新股;WiFi 6;汽车芯片;芯片概念;注册制次新股;AI眼镜;卫星导航;智能穿戴;6G概念;5G;商业航天;小米概念;华为概念;新股与次新股;融资融券
300467.SZ,8,300467,33,手机游戏;网络游戏;文化传媒概念;腾讯概念;鸿蒙概念;华为概念;西部大开发;深股通
300901.SZ,9,300901,33,人民币贬值受益;新疆振兴;英伟达概念;三胎概念;虚拟数字人;多模态AI;AIGC概念;东数西算(算力);融资融券
603800.SH,14,603800,17,PET铜箔;PCB概念;先进封装;光刻机;芯片概念;机器视觉;锂电池概念;固态电池;海工装备;页岩气;天然气;玻璃基板;沪股通;融资融券
688115.SH,12,688115,17,芯片概念;WiFi 6;苹果概念;机器视觉;新型工业化;军工;虚拟现实;华为概念;工业互联网;数字孪生;股权转让(并购重组);融资融券
002080.SZ,21,002080,33,PCB概念;6G概念;5G;固态电池;宁德时代概念;锂电池概念;商业航天;新能源汽车;无人机;军工;燃料电池;风电;海工装备;氢能源;深股通;一带一路;污水处理;央企国企改革;国企改革;中字头股票;融资融券
300951.SZ,14,300951,33,苹果概念;富士康概念;汽车电子;消费电子概念;智能穿戴;智能座舱;虚拟现实;专精特新;新能源汽车;新型烟草(电子烟);低空经济;锂电池概念;深股通;融资融券
301680.SZ,14,301680,33,注册制次新股;柔性直流输电;核电;特高压;智能电网;宁德时代概念;汽车热管理;储能;新能源汽车;锂电池概念;专精特新;深股通;新股与次新股;融资融券
688766.SH,9,688766,17,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;2026中报预增;融资融券;沪股通
300052.SZ,24,300052,33,云游戏;电子竞技;元宇宙;数字孪生;云计算;虚拟数字人;手机游戏;NFT概念;网络安全;算力租赁;网络游戏;虚拟现实;阿里巴巴概念;腾讯概念;区块链;数字经济;DeepSeek概念;东数西算(算力);华为概念;互联网金融;粤港澳大湾区;数据中心(AIDC);旅游概念;摘帽
301158.SZ,11,301158,33,可燃冰;俄乌冲突概念;页岩气;天然气;新疆振兴;中俄贸易概念;一带一路;海工装备;高端装备;专精特新;融资融券
300738.SZ,22,300738,33,算力租赁;云计算;东数西算(算力);智谱AI;快手概念;网络安全;腾讯概念;数据中心(AIDC);阿里巴巴概念;百度概念;数据要素;华为概念;DeepSeek概念;人工智能;粤港澳大湾区;芯片概念;光伏概念;创投;一带一路;绿色电力;融资融券;深股通
601579.SH,4,601579,17,白酒概念;共同富裕示范区;沪股通;融资融券
688025.SH,19,688025,17,共封装光学(CPO);PCB概念;光纤概念;苹果概念;芯片概念;MR(混合现实);3D打印;钙钛矿电池;机器视觉;比亚迪概念;专精特新;TOPCON电池;虚拟现实;宁德时代概念;固态电池;光伏概念;华为概念;沪股通;融资融券
301013.SZ,31,301013,33,PCB概念;存储芯片;共封装光学(CPO);OLED;富士康概念;柔性屏(折叠屏);芯片概念;消费电子概念;液冷服务器;5G;无线耳机;智能座舱;比亚迪概念;数据中心(AIDC);专精特新;人形机器人;机器视觉;新能源汽车;华为概念;华为数字能源;华为汽车;新型工业化;华为昇腾;机器人概念;储能;充电桩;高端装备;医疗器械概念;MLCC概念;深股通;融资融券
300828.SZ,16,300828,33,汽车热管理;比亚迪概念;新能源汽车;光伏概念;液冷服务器;机器人概念;数据中心(AIDC);5G;医疗器械概念;一带一路;储能;充电桩;京津冀一体化;风电;国企改革;股权转让(并购重组)
300382.SZ,13,300382,33,人形机器人;新能源汽车;专精特新;宁德时代概念;储能;机器人概念;C2M概念;工业互联网;锂电池概念;减速器;绿色电力;融资融券;深股通
601890.SH,8,601890,17,国产航母;军民融合;海工装备;军工;高端装备;风电;沪股通;融资融券
300369.SZ,29,300369,33,数据安全;网络安全;MLOps概念;云计算;华为鲲鹏;华为欧拉;信创;智慧政务;国产操作系统;AI语料;数字水印;数据确权;腾讯概念;东数西算(算力);阿里巴巴概念;AI智能体;数据要素;区块链;AI应用;车联网(车路协同);DeepSeek概念;数据中心(AIDC);人工智能;独角兽概念;华为概念;工业互联网;京津冀一体化;深股通;融资融券
301321.SZ,8,301321,33,MiniLED;消费电子概念;OLED;MicroLED概念;汽车电子;华为概念;虚拟现实;融资融券
688548.SH,12,688548,17,存储芯片;芯片概念;氢能源;商业航天;专精特新;粤港澳大湾区;华为概念;国企改革;数字孪生;2026中报预增;沪股通;融资融券
688733.SH,15,688733,17,存储芯片;PCB概念;先进封装;芯片概念;固态电池;宁德时代概念;光伏概念;锂电池概念;专精特新;华为概念;新能源汽车;钠离子电池;燃料电池;沪股通;融资融券
688247.SH,9,688247,17,流感;维生素;仿制药一致性评价;创新药;CRO概念;上海国企改革;国企改革;沪股通;融资融券
300004.SZ,8,300004,33,3D打印;专精特新;核电;PM2.5;粤港澳大湾区;一带一路;国企改革;深股通
002515.SZ,8,002515,33,共封装光学(CPO);芯片概念;数据中心(AIDC);人造肉;共同富裕示范区;深股通;网红经济;预制菜
002138.SZ,26,002138,33,PCB概念;共封装光学(CPO);6G概念;无线充电;5G;汽车电子;AI眼镜;消费电子概念;芯片概念;智能穿戴;传感器;小米概念;数据中心(AIDC);华为概念;新能源汽车;无人机;光伏概念;机器人概念;物联网;储能;固态电池;移动支付;燃料电池;创投;深股通;融资融券
002190.SZ,17,002190,33,成飞概念;大飞机;军工;国企改革;西部大开发;低空经济;航空发动机;无人机;长安汽车概念;储能;商业航天;锂电池概念;专精特新;新能源汽车;华为汽车;融资融券;深股通
301015.SZ,9,301015,33,医药电商;阿尔茨海默概念;创新药;医疗器械概念;跨境电商;人工智能;机器人概念;深股通;融资融券
601666.SH,6,601666,17,煤炭概念;煤化工概念;证金持股;国企改革;沪股通;融资融券
002824.SZ,15,002824,33,华为手机;柔性屏(折叠屏);消费电子概念;比亚迪概念;宁德时代概念;小米概念;汽车热管理;新能源汽车;华为概念;储能;三胎概念;智能家居;2026中报预增;深股通;融资融券
603226.SH,3,603226,17,智能家居;沪股通;股权转让(并购重组)
920505.BJ,4,920505,151,专精特新;稀土永磁;融资融券;风电
600985.SH,9,600985,17,煤炭概念;煤化工概念;超超临界发电;绿色电力;国企改革;民爆概念;华为概念;融资融券;沪股通
301459.SZ,16,301459,33,汽车热管理;长安汽车概念;人形机器人;安防;机器人概念;低空经济;农机;无人机;专精特新;新能源汽车;比亚迪概念;中俄贸易概念;人民币贬值受益;共同富裕示范区;俄乌冲突概念;融资融券
