code,market_code,所属概念,股票代码,所属概念数量
300811,33,共封装光学(CPO);存储芯片;芯片概念;英伟达概念;比亚迪概念;专精特新;新能源汽车;光伏概念;数据中心;华为概念;储能;充电桩;东数西算(算力);融资融券;深股通,300811.SZ,15
300236,33,中芯国际概念;光刻胶;存储芯片;先进封装;芯片概念;专精特新;2025年报预增;深股通;融资融券,300236.SZ,9
688403,17,存储芯片;先进封装;OLED;芯片概念;专精特新;人民币贬值受益;沪股通;融资融券,688403.SH,8
688171,17,量子科技;智能电网;军工信息化;电力物联网;网络安全;工业互联网;信创;数据安全;数据要素;虚拟电厂;融资融券,688171.SH,11
301323,33,核污染防治;芯片概念;消费电子概念;稀土永磁;传感器;专精特新;安防;新能源汽车;华为概念;机器人概念;智能家居;粤港澳大湾区;食品安全;医疗器械概念;人民币贬值受益;建筑节能;一带一路;中俄贸易概念;三胎概念;锂电池概念;俄乌冲突概念;深股通;股权转让(并购重组);融资融券,301323.SZ,24
688570,17,人工智能;国企改革;DeepSeek概念;一带一路;鸿蒙概念;机器人概念;新型工业化;高端装备;央企国企改革;华为概念;传感器;绿色电力;数据中心;煤炭概念;沪股通;融资融券,688570.SH,16
301067,33,粤港澳大湾区;无人机;低空经济;机器人概念;消费电子概念;卫星导航;无线充电;AI眼镜;铜缆高速连接;融资融券,301067.SZ,10
301362,33,PCB概念;专精特新;人民币贬值受益;C2M概念;一带一路;生态农业;高股息精选;融资融券,301362.SZ,8
301231,33,AI视频;ChatGPT概念;短剧游戏;阿里巴巴概念;AI智能体;AI应用;在线教育;文化传媒概念;人工智能;DeepSeek概念;IP经济(谷子经济);跨境电商;三胎概念;回购增持再贷款概念;西部大开发;融资融券,301231.SZ,16
688372,17,存储芯片;先进封装;汽车芯片;MCU芯片;芯片概念;消费电子概念;2025年报预增;沪股通;融资融券,688372.SH,9
300373,33,第三代半导体;中芯国际概念;芯片概念;汽车芯片;英伟达概念;AI眼镜;高压快充;5G;数据中心;宁德时代概念;固态电池;光伏概念;小米概念;比亚迪概念;华为概念;新能源汽车;无人机;储能;特斯拉概念;充电桩;小米汽车;人形机器人;低空经济;华为汽车;回购增持再贷款概念;深股通;融资融券,300373.SZ,27
000926,33,装配式建筑;新型城镇化;文化传媒概念;碳中和;华为概念;碳交易;融资融券,000926.SZ,7
688143,17,共封装光学(CPO);光纤概念;芯片概念;专精特新;汽车热管理;特高压;商业航天;军工;海工装备;DeepSeek概念;沪股通;融资融券,688143.SH,12
688711,17,第三代半导体;汽车芯片;芯片概念;数据中心;光伏概念;专精特新;华为概念;可控核聚变;比亚迪概念;充电桩;储能;新能源汽车;机器人概念;人形机器人;回购增持再贷款概念;华为汽车;沪股通;融资融券,688711.SH,18
600395,17,煤炭概念;超超临界发电;绿色电力;风电;国企改革;参股券商;西部大开发;回购增持再贷款概念;沪股通;融资融券;2025年报预增,600395.SH,11
002421,33,液冷服务器;数字孪生;云计算;抖音概念(字节概念);东数西算(算力);人脸识别;信创;华为鲲鹏;小米概念;数据中心;物联网;宁德时代概念;华为概念;腾讯概念;AI智能体;机器人概念;工业互联网;AI应用;鸿蒙概念;智慧城市;人工智能;粤港澳大湾区;数字经济;DeepSeek概念;建筑节能;碳中和;雄安新区;智能医疗;PPP概念;养老概念;深股通;融资融券,002421.SZ,32
000980,33,百度概念;新能源汽车;中俄贸易概念;一带一路;深股通;融资融券,000980.SZ,6
002613,33,建筑节能;装配式建筑;高铁;一带一路;光伏概念;高端装备;钙钛矿电池;苹果概念,002613.SZ,8
600996,17,云计算;算力租赁;数字乡村;文化传媒概念;DeepSeek概念;物联网;智能医疗;人工智能;华为概念;数据中心;旅游概念;5G;智能家居;国企改革;西部大开发;沪股通;融资融券,600996.SH,17
