code,所属概念,所属概念数量,股票代码,market_code
603012,长三角一体化;华为概念;新能源汽车;工业互联网;高端装备;人工智能;AIGC概念;中俄贸易概念;煤炭概念;融资融券,10,603012.SH,17
600130,卫星导航;人脸识别;汽车电子;消费电子概念;摘帽,5,600130.SH,17
002629,页岩气;俄乌冲突概念;天然气;光伏概念,4,002629.SZ,33
002965,汽车热管理;华为汽车;智能座舱;小米汽车;飞行汽车(eVTOL);新型工业化;机器视觉;比亚迪概念;新能源汽车;特斯拉概念;小米概念;无人驾驶;人形机器人;5G;机器人概念;液冷服务器;华为概念;数据中心;粤港澳大湾区;低空经济;宁德时代概念;一体化压铸;充电桩;储能;光伏概念;创投;信创;华为数字能源;融资融券;深股通,30,002965.SZ,33
002930,东数西算(算力);粤港澳大湾区;智能物流;统一大市场;融资融券;深股通,6,002930.SZ,33
603373,安防;职业教育;无人机;低空经济;阿里巴巴概念;国企改革;沪股通;融资融券,8,603373.SH,17
002866,PCB概念;钠离子电池;固态电池;富士康概念;消费电子概念;专精特新;人民币贬值受益;小米概念;储能;华为概念;深股通,11,002866.SZ,33
600855,军工信息化;军民融合;商业航天;军工;无人机;低空经济;安防;信创;车联网(车路协同);数据中心;ETC;物联网;智慧城市;人工智能;医疗器械概念;央企国企改革;储能;国企改革;融资融券;沪股通,20,600855.SH,17
002491,光纤概念;5G;数据中心;储能;专精特新;长三角一体化;数字水印;独角兽概念;网络安全;数据安全;固态电池;深股通;融资融券,13,002491.SZ,33
000710,基因测序;辅助生殖;三胎概念;智能医疗;医疗器械概念;AI应用;人工智能;京津冀一体化;数据要素;DeepSeek概念;AI智能体;西部大开发;腾讯概念;海峡两岸;AI语料;智谱AI,16,000710.SZ,33
605566,染料;POE胶膜;2025年报预增;光伏概念;HJT电池,5,605566.SH,17
600783,创投;国企改革;代糖概念;参股券商;融资融券;沪股通,6,600783.SH,17
000547,军工信息化;军民融合;商业航天;卫星导航;军工;无人机;低空经济;海工装备;安防;多模态AI;5G;网络安全;信创;MR(混合现实);人工智能;芯片概念;华为概念;海峡两岸;数据安全;华为鲲鹏;智慧政务;数字经济;元宇宙;虚拟现实;福建自贸区;华为欧拉;DeepSeek概念;风电;央企国企改革;乡村振兴;国企改革;深股通;融资融券,33,000547.SZ,33
603400,汽车电子;消费电子概念;新能源汽车;充电桩;机器人概念;储能;注册制次新股;锂电池概念;人民币贬值受益;智能家居;新股与次新股;融资融券,12,603400.SH,17
600343,大飞机;商业航天;军民融合;军工;高端装备;水利;央企国企改革;西部大开发;国企改革;氢能源;沪股通;融资融券;煤化工概念,13,600343.SH,17
002865,钙钛矿电池;BC电池;TOPCON电池;商业航天;海南自贸区;光伏概念;融资融券;深股通,8,002865.SZ,33
