market_code,股票代码,所属概念,code,所属概念数量
33,300589.SZ,军民融合;军工;海工装备;无人驾驶;专精特新;粤港澳大湾区;燃料电池;一带一路;绿色电力;深股通;融资融券,300589,11
33,301555.SZ,MicroLED概念;比亚迪概念;碳纤维;新能源汽车;MiniLED;PCB概念;低空经济;机器人概念;无人机;海峡两岸;风电;2025年报预增;融资融券,301555,13
17,688563.SH,航空发动机;大飞机;军民融合;商业航天;军工;无人机;机器人概念;核电;央企国企改革;国企改革;沪股通;融资融券,688563,12
33,300100.SZ,人形机器人;华为汽车;PEEK材料;工业母机;长安汽车概念;特斯拉概念;智能座舱;机器人概念;新能源汽车;汽车电子;比亚迪概念;低空经济;工业互联网;深股通;融资融券,300100,15
17,603090.SH,液冷服务器;数据中心;2025年报预增;新能源汽车;储能;锂电池概念;人民币贬值受益;牙科医疗;农机;数据要素;风电;氢能源;碳中和;乡村振兴;煤化工概念,603090,15
33,001210.SZ,2025年报预增;建筑节能;新疆振兴;京津冀一体化;储能;工业互联网;液冷服务器;数据中心,001210,8
33,002988.SZ,建筑节能;华为汽车;比亚迪概念;新能源汽车;智能物流;光伏概念;汽车热管理;储能;商业航天;回购增持再贷款概念;深股通,002988,11
33,301193.SZ,可降解塑料;3D打印;一带一路;跨境电商;人民币贬值受益;融资融券,301193,6
33,000738.SZ,国产航母;航空发动机;大飞机;军民融合;商业航天;军工;无人机;高端装备;央企国企改革;国企改革;深股通;融资融券,000738,12
33,301356.SZ,3D打印;人民币贬值受益;参股银行;融资融券,301356,4
17,688767.SH,脑机接口;芬太尼;猴痘概念;医疗器械概念;幽门螺杆菌概念;肝炎概念;流感;人民币贬值受益;沪股通;融资融券,688767,10
17,688510.SH,航空发动机;大飞机;无人机;专精特新;绿色电力;人民币贬值受益;医疗器械概念;沪股通;融资融券,688510,9
17,688533.SH,特斯拉概念;新能源汽车;比亚迪概念;汽车电子;芯片概念;华为概念;沪股通;融资融券,688533,8
17,605255.SH,汽车热管理;长安汽车概念;燃料电池;新能源汽车;沪股通;股权转让(并购重组),605255,6
151,920119.BJ,智能物流;高端装备;固态电池;新股与次新股;融资融券,920119,5
33,301052.SZ,文化传媒概念;AIGC概念;元宇宙;IP经济(谷子经济);数据要素;人工智能;网红经济;数字经济;三胎概念;AI应用;深股通;融资融券,301052,12
33,301051.SZ,智能穿戴;柔性屏(折叠屏);消费电子概念;储能;深股通;融资融券,301051,6
33,300065.SZ,国产航母;军工信息化;商业航天;军工;海工装备;云计算;数据要素;高端装备;人工智能;东数西算(算力);阿里巴巴概念;DeepSeek概念;腾讯概念;算力租赁;京津冀一体化;机器人概念;专精特新;数据中心;传感器;风电;2025年报预增;深股通;融资融券;股权转让(并购重组),300065,24
22,688646.SH,宁德时代概念;动力电池回收;固态电池;锂电池概念;钠离子电池;比亚迪概念;新能源汽车;芯片概念;专精特新;长安汽车概念;储能;智能物流;人形机器人;机器人概念;新型工业化;ST板块;机器视觉;装配式建筑;钙钛矿电池,688646,19
33,000833.SZ,磷化工;锂电池概念;TOPCON电池;化肥;光伏概念;2025三季报预增;2025年报预增;西部大开发;农业种植;乡村振兴;国企改革;粤港澳大湾区;广东自贸区;深股通,000833,14
