market_code,股票代码,所属概念数量,code,所属概念
33,002606.SZ,7,002606,特高压;虚拟电厂;储能;绿色电力;专精特新;一带一路;融资融券
17,600488.SH,6,600488,仿制药一致性评价;创新药;辅助生殖;京津冀一体化;数字经济;沪股通
17,603320.SH,2,603320,空气能热泵;家用电器
17,603331.SH,7,603331,人形机器人;家用电器;机器人概念;共同富裕示范区;新能源汽车;TOPCON电池;光伏概念
33,002498.SZ,17,002498,柔性直流输电;电力物联网;抽水蓄能;特高压;智能电网;风电;核电;充电桩;海工装备;数字经济;无人机;燃料电池;一带一路;氢能源;5G;深股通;融资融券
33,002560.SZ,24,002560,柔性直流输电;特高压;智能电网;成飞概念;海工装备;风电;大飞机;充电桩;军工;数据中心;光伏概念;军民融合;专精特新;医疗器械概念;雅下水电概念;无人机;储能;新能源汽车;机器人概念;一带一路;2025年报预增;碳中和;2026一季报预增;融资融券
17,603037.SH,13,603037,华为汽车;长安汽车概念;专精特新;小米汽车;无人驾驶;同花顺新质50;特斯拉概念;小米概念;新能源汽车;比亚迪概念;储能;氢能源;股权转让(并购重组)
33,002428.SZ,13,002428,光纤概念;第三代半导体;芯片概念;商业航天;卫星导航;小金属概念;光伏概念;军工;华为概念;氟化工概念;西部大开发;深股通;融资融券
33,000006.SZ,8,000006,深圳国企改革;新型城镇化;物业管理;粤港澳大湾区;国企改革;证金持股;深股通;融资融券
17,603186.SH,17,603186,PCB概念;先进封装;消费电子概念;5G;芯片概念;MiniLED;6G概念;毫米波雷达;固态电池;华为概念;石墨烯;锂电池概念;海峡两岸;储能;冷链物流;绿色电力;沪股通
33,001259.SZ,3,001259,净水概念;家用电器;露营经济
33,002552.SZ,9,002552,PCB概念;黄金概念;汽车电子;5G;2026一季报预增;国企改革;互联网金融;股权转让(并购重组);深股通
17,600869.SH,44,600869,光纤概念;PET铜箔;铜缆高速连接;超导概念;液冷服务器;芯片概念;柔性直流输电;特高压;可控核聚变;数据中心;商业航天;智能电网;东数西算(算力);特斯拉概念;华为概念;光伏概念;核电;新能源汽车;高端装备;海工装备;军工;人形机器人;充电桩;宁德时代概念;无人机;固态电池;储能;机器人概念;风电;锂电池概念;军民融合;低空经济;雅下水电概念;独角兽概念;阿里巴巴概念;钠离子电池;人工智能;智慧城市;DeepSeek概念;回购增持再贷款概念;西部大开发;参股银行;沪股通;融资融券
33,002346.SZ,9,002346,2025年报预增;创投;锂电池概念;DeepSeek概念;中芯国际概念;回购增持再贷款概念;参股银行;深股通;融资融券
33,000672.SZ,9,000672,储能;一带一路;创投;西部大开发;水泥概念;绿色电力;高股息精选;深股通;融资融券
33,002787.SZ,8,002787,液冷服务器;锂电池概念;芯片概念;长三角一体化;食品安全;2025年报预增;创投;海峡两岸
33,002491.SZ,13,002491,光纤概念;5G;数据中心;专精特新;储能;长三角一体化;独角兽概念;数字水印;网络安全;数据安全;固态电池;深股通;融资融券
33,002918.SZ,4,002918,创投;智能家居;数据中心;深股通
33,002254.SZ,15,002254,固态电池;锂电池概念;智能穿戴;氢能源;高铁;国企改革;新能源汽车;军工;无人机;机器人概念;东数西算(算力);光纤概念;军民融合;深股通;融资融券
33,000591.SZ,17,000591,虚拟电厂;绿色电力;碳交易;光伏建筑一体化;碳中和;钙钛矿电池;储能;光伏概念;TOPCON电池;央企国企改革;国企改革;工业互联网;西部大开发;DeepSeek概念;机器人概念;深股通;融资融券
33,002522.SZ,10,002522,专精特新;传感器;PVDF概念;华为概念;5G;共同富裕示范区;长三角一体化;光纤概念;国企改革;融资融券
33,300877.SZ,4,300877,创投;2025年报预增;储能;融资融券
33,000767.SZ,9,000767,超超临界发电;绿色电力;碳交易;风电;碳中和;国企改革;2025年报预增;深股通;融资融券
17,688785.SH,6,688785,科创次新股;中芯国际概念;芯片概念;注册制次新股;新股与次新股;融资融券
17,688308.SH,11,688308,PCB概念;工业母机;2026一季报预增;专精特新;2025年报预增;人形机器人;航空发动机;商业航天;机器人概念;光伏概念;融资融券
17,688668.SH,13,688668,英伟达概念;铜缆高速连接;液冷服务器;光纤概念;5G;机器视觉;商业航天;比亚迪概念;新能源汽车;2025年报预增;长安汽车概念;融资融券;沪股通
17,688109.SH,19,688109,雅下水电概念;水利;机器人概念;无人驾驶;共同富裕示范区;物业管理;机器视觉;人工智能;数字经济;智能穿戴;AI眼镜;数字孪生;DeepSeek概念;AIGC概念;数据要素;AI智能体;华为昇腾;沪股通;融资融券
