股票代码,market_code,code,所属概念,所属概念数量
300432.SZ,33,300432,人形机器人;小米概念;长安汽车概念;机器人概念;减速器;华为概念;比亚迪概念;宁德时代概念;小米汽车;锂电池概念;低空经济;华为汽车;军工;新能源汽车;汽车热管理;储能;盐湖提锂;西部大开发;磷化工;深股通;股权转让(并购重组);融资融券,22
688275.SH,17,688275,钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;储能;碳中和;比亚迪概念;污水处理;充电桩;新能源汽车;专精特新;沪股通;融资融券,14
920405.BJ,151,920405,工业互联网;融资融券;数据中心;固态电池;储能,5
301292.SZ,33,301292,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,8
301358.SZ,33,301358,磷化工;固态电池;动力电池回收;锂电池概念;宁德时代概念;金属铜;储能;比亚迪概念;2025年报预增;新能源汽车;深股通;融资融券,12
301365.SZ,33,301365,AIGC概念;人工智能;创投;新型城镇化;粤港澳大湾区;2025年报预增;融资融券,7
301196.SZ,33,301196,光纤概念;消费电子概念;PEEK材料;新型烟草(电子烟);新能源汽车;专精特新;机器人概念;储能;海峡两岸;家用电器;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券,17
300720.SZ,33,300720,机器人概念;物联网;股权转让(并购重组),3
300308.SZ,33,300308,共封装光学(CPO);F5G概念;液冷服务器;5G;汽车电子;中国AI 50;芯片概念;数据中心;同花顺新质50;2025年报预增;无人驾驶;深股通;人民币贬值受益;创投;融资融券,15
002730.SZ,33,002730,算力租赁;电力物联网;东数西算(算力);鸿蒙概念;物联网;人工智能;数据中心;卫星导航;华为概念;军工;工业互联网;机器人概念;3D打印;新能源汽车;深股通,15
688314.SH,17,688314,牙科医疗;医美概念;医疗器械概念;3D打印;PEEK材料;专精特新;西部大开发;融资融券,8
002460.SZ,33,002460,盐湖提锂;金属钴;小金属概念;动力电池回收;固态电池;锂电池概念;化肥;光伏概念;储能;特斯拉概念;同花顺漂亮100;消费电子概念;无线耳机;新能源汽车;燃料电池;充电桩;长安汽车概念;低空经济;无人机;人形机器人;深股通;融资融券,22
688127.SH,17,688127,光刻机;同花顺果指数;苹果概念;芯片概念;消费电子概念;5G;智能穿戴;华为概念;2025年报预增;人民币贬值受益;沪股通;融资融券,12
300992.SZ,33,300992,空气能热泵;液冷服务器;水利;中俄贸易概念;人民币贬值受益;融资融券,6
000423.SZ,33,000423,超级品牌;预制菜;旅游概念;高股息精选;国企改革;农业种植;乡村振兴;深股通;融资融券;央企国企改革;数字经济;华为概念,12
600750.SH,17,600750,高股息精选;医药电商;证金持股;白酒概念;参股银行;国企改革;沪股通;融资融券;央企国企改革;回购增持再贷款概念;数字经济,11
688147.SH,17,688147,中芯国际概念;存储芯片;先进封装;OLED;第三代半导体;BC电池;汽车芯片;芯片概念;TOPCON电池;钙钛矿电池;HJT电池;专精特新;高端装备;光伏概念;回购增持再贷款概念;沪股通;融资融券,17
920368.BJ,151,920368,一带一路;融资融券;硅能源;光伏概念;第三代半导体;TOPCON电池;BC电池;HJT电池,8
