market_code,股票代码,code,所属概念数量,所属概念
33,000890.SZ,000890,4,净水概念;光纤概念;独角兽概念;污水处理
33,002428.SZ,002428,13,小金属概念;氟化工概念;商业航天;卫星导航;第三代半导体;军工;光伏概念;光纤概念;芯片概念;西部大开发;华为概念;深股通;融资融券
17,603867.SH,603867,9,磷化工;消毒剂;污水处理;动力电池回收;锂电池概念;烟草;盐湖提锂;沪股通;融资融券
33,001209.SZ,001209,5,三胎概念;IP经济(谷子经济);跨境电商;数字经济;粤港澳大湾区
33,002095.SZ,002095,12,AI智能体;虚拟数字人;数据要素;区块链;DeepSeek概念;互联网金融;人工智能;跨境电商;AI应用;统一大市场;深股通;融资融券
33,002843.SZ,002843,15,AI PC;高压快充;军工;数据中心;储能;充电桩;华为概念;苹果概念;商业航天;智能穿戴;光伏概念;消费电子概念;一带一路;深股通;融资融券
17,603267.SH,603267,10,商业航天;卫星导航;军工;芯片概念;汽车电子;专精特新;共封装光学(CPO);京津冀一体化;融资融券;沪股通
17,600522.SH,600522,40,光纤概念;铜缆高速连接;共封装光学(CPO);特高压;超导概念;超级电容;柔性直流输电;液冷服务器;光伏概念;钙钛矿电池;智能电网;风电;储能;5G;可控核聚变;数据中心;海工装备;氢能源;锂电池概念;汽车电子;固态电池;新能源汽车;6G概念;一带一路;绿色电力;东数西算(算力);碳中和;机器人概念;工业互联网;华为概念;量子科技;商业航天;低空经济;阿里巴巴概念;DeepSeek概念;数字经济;数据要素;沪股通;融资融券;证金持股
33,001339.SZ,001339,31,英伟达概念;中国AI 50;AI PC;东数西算(算力);5G;算力租赁;安防;人脸识别;车联网(车路协同);信创;物联网;数据安全;网络安全;智能座舱;机器视觉;消费电子概念;ETC;鸿蒙概念;智慧城市;云办公;人工智能;人形机器人;新型工业化;机器人概念;专精特新;DeepSeek概念;工业互联网;粤港澳大湾区;在线教育;智能医疗;深股通
17,603950.SH,603950,7,汽车电子;飞行汽车(eVTOL);低空经济;比亚迪概念;新能源汽车;2025年报预增;沪股通
17,600410.SH,600410,33,华为鲲鹏;网络安全;云计算;信创;智慧政务;AI智能体;AIGC概念;元宇宙;区块链;抖音概念(字节概念);百度概念;数据要素;阿里巴巴概念;在线教育;腾讯概念;东数西算(算力);时空大数据;DeepSeek概念;人工智能;华为概念;智慧城市;安防;芯片概念;无线耳机;军工;数据中心;工业互联网;京津冀一体化;创投;一带一路;AI应用;沪股通;融资融券
33,001400.SZ,001400,10,商业航天;3D打印;专精特新;风电;汽车热管理;新能源汽车;液冷服务器;注册制次新股;新股与次新股;融资融券
33,002008.SZ,002008,40,PCB概念;先进封装;光刻机;存储芯片;富士康概念;第三代半导体;MiniLED;OLED;苹果概念;MicroLED概念;光纤概念;芯片概念;消费电子概念;AI眼镜;宁德时代概念;工业母机;3D打印;固态电池;比亚迪概念;MR(混合现实);特斯拉概念;光伏概念;锂电池概念;新能源汽车;小米概念;高端装备;储能;TOPCON电池;钙钛矿电池;HJT电池;商业航天;机器视觉;机器人概念;新型工业化;华为概念;减速器;粤港澳大湾区;物联网;深股通;融资融券
17,603163.SH,603163,5,中芯国际概念;富士康概念;芯片概念;海峡两岸;一带一路
33,001389.SZ,001389,19,共封装光学(CPO);PCB概念;富士康概念;AI PC;消费电子概念;5G;汽车电子;数据中心;商业航天;人民币贬值受益;粤港澳大湾区;华为概念;机器人概念;卫星导航;一带一路;安防;人工智能;融资融券;深股通
33,002916.SZ,002916,18,PCB概念;富士康概念;存储芯片;先进封装;苹果概念;国家大基金持股;汽车电子;5G;2025年报预增;芯片概念;新能源汽车;数据中心;粤港澳大湾区;华为概念;深股通;国企改革;央企国企改革;融资融券
33,002141.SZ,002141,10,动物疫苗;广东自贸区;盐湖提锂;横琴新区;粤港澳大湾区;创投;独角兽概念;锂电池概念;PCB概念;摘帽
33,002463.SZ,002463,14,PCB概念;5G;汽车电子;芯片概念;毫米波雷达;数据中心;人民币贬值受益;华为概念;海峡两岸;无人驾驶;污水处理;同花顺出海50;深股通;融资融券
