所属概念数量,market_code,code,股票代码,所属概念
14,33,000601,000601.SZ,生物质能发电;抽水蓄能;绿色电力;东数西算(算力);充电桩;数据中心;储能;回购增持再贷款概念;长安汽车概念;新能源汽车;比亚迪概念;减速器;深股通;融资融券
30,17,600475,600475.SH,光伏建筑一体化;垃圾分类;光伏概念;固废处理;碳交易;智慧城市;建筑节能;化债概念(AMC概念);生物质能发电;土壤修复;氢能源;污水处理;专精特新;绿色电力;碳中和;储能;华为概念;数字经济;数据中心;一带一路;数字孪生;PPP概念;信托概念;硅能源;乡村振兴;抖音概念(字节概念);国企改革;参股券商;沪股通;融资融券
19,33,002658,002658.SZ,核电;航空发动机;雄安新区;固废处理;PM2.5;商业航天;碳中和;氢能源;京津冀一体化;碳交易;专精特新;数字经济;物联网;数据要素;DeepSeek概念;AI智能体;芯片概念;中芯国际概念;深股通
3,33,001259,001259.SZ,净水概念;家用电器;露营经济
20,33,002518,002518.SZ,液冷服务器;数据中心;光伏概念;充电桩;储能;风电;东数西算(算力);比亚迪概念;宁德时代概念;2025年报预增;阿里巴巴概念;锂电池概念;抖音概念(字节概念);一带一路;人工智能;粤港澳大湾区;海峡两岸;智能医疗;深股通;融资融券
18,17,603890,603890.SH,富士康概念;AI PC;F5G概念;AI眼镜;5G;汽车电子;消费电子概念;华为概念;小米汽车;机器人概念;新能源汽车;人形机器人;比亚迪概念;华为汽车;特斯拉概念;人民币贬值受益;沪股通;融资融券
21,17,605168,605168.SH,小红书概念;算力租赁;多模态AI;Web3.0;抖音概念(字节概念);东数西算(算力);腾讯概念;AIGC概念;ChatGPT概念;AI智能体;文化传媒概念;数据要素;AI应用;人工智能;体育产业;低空经济;无人机;西部大开发;参股券商;融资融券;沪股通
7,33,002868,002868.SZ,POE胶膜;光伏概念;海峡两岸;合成生物;宠物经济;摘帽;股权转让(并购重组)
20,33,002885,002885.SZ,数据中心;富士康概念;第三代半导体;高压快充;5G;无线充电;汽车电子;消费电子概念;充电桩;小米概念;OLED;华为概念;光伏概念;储能;比亚迪概念;新能源汽车;2025年报预增;华为汽车;粤港澳大湾区;融资融券
14,17,600379,600379.SH,特高压;虚拟电厂;光热发电;智能电网;燃料电池;氢能源;储能;高铁;西部大开发;国企改革;芯片概念;央企国企改革;军工;融资融券
3,33,002842,002842.SZ,小金属概念;金属铜;光伏概念
11,17,603052,603052.SH,共封装光学(CPO);消费电子概念;传感器;芯片概念;专精特新;新能源汽车;OLED;宁德时代概念;固态电池;锂电池概念;沪股通
14,33,002409,002409.SZ,国家大基金持股;存储芯片;中芯国际概念;OLED;光刻胶;芯片概念;专精特新;氟化工概念;特高压;海工装备;磷化工;深股通;天然气;融资融券
2,17,603285,603285.SH,锂电池概念;融资融券
24,33,003007,003007.SZ,华为昇腾;云办公;算力租赁;东数西算(算力);华为鲲鹏;云计算;6G概念;智慧政务;5G;数据中心;AI智能体;卫星导航;数据要素;华为概念;AI应用;车联网(车路协同);在线教育;物联网;数字孪生;人工智能;数字经济;DeepSeek概念;商业航天;京津冀一体化
40,33,002008,002008.SZ,光纤概念;光刻机;PCB概念;富士康概念;苹果概念;先进封装;第三代半导体;MR(混合现实);OLED;MicroLED概念;工业母机;存储芯片;MiniLED;芯片概念;3D打印;AI眼镜;消费电子概念;商业航天;机器视觉;小米概念;华为概念;新能源汽车;钙钛矿电池;特斯拉概念;比亚迪概念;光伏概念;高端装备;减速器;新型工业化;机器人概念;储能;宁德时代概念;HJT电池;粤港澳大湾区;物联网;TOPCON电池;固态电池;锂电池概念;深股通;融资融券
15,33,002922,002922.SZ,数据中心;高压快充;5G;华为概念;光伏概念;充电桩;华为数字能源;储能;新能源汽车;粤港澳大湾区;智能家居;一带一路;2026一季报预增;深股通;融资融券
9,33,001223,001223.SZ,新型工业化;专精特新;机器人概念;消费电子概念;无人机;锂电池概念;固态电池;PET铜箔;可降解塑料
24,17,601126,601126.SH,柔性直流输电;特高压;智能电网;数据中心;电力物联网;核电;抽水蓄能;东数西算(算力);军工;虚拟电厂;光伏概念;风电;储能;机器人概念;阿里巴巴概念;数字孪生;雅下水电概念;人工智能;DeepSeek概念;氢能源;绿色电力;京津冀一体化;融资融券;沪股通
22,33,002993,002993.SZ,AI PC;数据中心;汽车电子;消费电子概念;华为概念;小米概念;第三代半导体;苹果概念;充电桩;AI眼镜;专精特新;无线充电;新能源汽车;储能;光伏概念;机器人概念;广东自贸区;一带一路;露营经济;跨境电商;网红经济;深股通
