所属概念数量,股票代码,所属概念,market_code,code
7,603608.SH,C2M概念;跨境电商;网红经济;AIGC概念;粤港澳大湾区;抖音概念(字节概念);股权转让(并购重组),17,603608
12,002031.SZ,减速器;工业母机;人形机器人;机器视觉;机器人概念;高端装备;智能物流;航空发动机;人民币贬值受益;冷链物流;深股通;融资融券,33,002031
13,300540.SZ,天然气;氢能源;商业航天;燃料电池;智慧灯杆;专精特新;西部大开发;一带一路;国企改革;储能;充电桩;车联网(车路协同);深股通,33,300540
11,002077.SZ,汽车芯片;存储芯片;先进封装;芯片概念;汽车电子;锂电池概念;创投;固废处理;国企改革;融资融券;深股通,33,002077
6,603313.SH,跨境电商;C2M概念;鸿蒙概念;人民币贬值受益;智能家居;沪股通,17,603313
9,300533.SZ,手机游戏;网络游戏;IP经济(谷子经济);创投;阿里巴巴概念;人民币贬值受益;粤港澳大湾区;新能源汽车;深股通,33,300533
20,301038.SZ,地下管网;深圳国企改革;物业管理;新型城镇化;PPP概念;水利;乡村振兴;雅下水电概念;污水处理;国企改革;数字孪生;DeepSeek概念;抽水蓄能;智慧政务;粤港澳大湾区;物联网;华为概念;光伏概念;深股通;融资融券,33,301038
3,688176.SH,创新药;沪股通;融资融券,17,688176
18,688595.SH,AI PC;汽车芯片;MCU芯片;AI眼镜;星闪概念;消费电子概念;芯片概念;传感器;小米概念;物联网;华为概念;专精特新;无人机;机器人概念;鸿蒙概念;锂电池概念;沪股通;融资融券,17,688595
8,688702.SH,国家大基金持股;芯片概念;5G;中国AI 50;数据中心(AIDC);网络安全;沪股通;融资融券,17,688702
26,300145.SZ,中芯国际概念;空气能热泵;液冷服务器;数据中心(AIDC);专精特新;腾讯概念;智慧城市;比亚迪概念;军工;水利;储能;垃圾分类;净水概念;土壤修复;中俄贸易概念;新型城镇化;核电;创投;风电;污水处理;PPP概念;固废处理;国企改革;金属回收;深股通;融资融券,33,300145
11,688362.SH,先进封装;MCU芯片;芯片概念;消费电子概念;汽车电子;5G;传感器;专精特新;数字货币;沪股通;融资融券,17,688362
3,301045.SZ,小米概念;华为概念;融资融券,33,301045
16,688813.SH,共封装光学(CPO);科创次新股;PCB概念;PET铜箔;注册制次新股;固态电池;锂电池概念;比亚迪概念;核电;军工;华为概念;氢能源;西部大开发;国企改革;新股与次新股;融资融券,17,688813
17,002605.SZ,IP经济(谷子经济);网络游戏;手机游戏;文化传媒概念;短剧游戏;网红经济;体育产业;AIGC概念;AI应用;小红书概念;独角兽概念;细胞免疫治疗;腾讯概念;创投;抖音概念(字节概念);长三角一体化;深股通,33,002605
26,300019.SZ,有机硅概念;硅能源;锂电池概念;MicroLED概念;光伏概念;比亚迪概念;小米概念;新能源汽车;长安汽车概念;无人机;固态电池;军工;宁德时代概念;芯片概念;高铁;商业航天;核电;5G;可控核聚变;装配式建筑;西部大开发;水利;雄安新区;特高压;深股通;融资融券,33,300019
9,688282.SH,卫星导航;商业航天;无人机;军民融合;军工;无人驾驶;专精特新;沪股通;融资融券,17,688282
10,002457.SZ,地下管网;新型城镇化;水利;乡村振兴;参股银行;京津冀一体化;互联网金融;新疆振兴;西部大开发;风电,33,002457
12,688548.SH,存储芯片;芯片概念;氢能源;商业航天;专精特新;粤港澳大湾区;华为概念;国企改革;数字孪生;2026中报预增;沪股通;融资融券,17,688548
7,301539.SZ,低空经济;飞行汽车(eVTOL);专精特新;商业航天;新能源汽车;比亚迪概念;融资融券,33,301539
18,002747.SZ,工业母机;人形机器人;新型工业化;机器视觉;长安汽车概念;机器人概念;比亚迪概念;高端装备;农机;专精特新;工业互联网;宁德时代概念;智能医疗;光伏概念;养老概念;医疗器械概念;深股通;融资融券,33,002747
11,000593.SZ,青蒿素;信托概念;天然气;碳中和;地下管网;氢能源;西部大开发;股权转让(并购重组);储能;深股通;融资融券,33,000593
7,688419.SH,存储芯片;先进封装;芯片概念;高端装备;人民币贬值受益;绿色电力;融资融券,17,688419
