股票代码,所属概念,market_code,code,所属概念数量
600693.SH,免税店;统一大市场;IP经济(谷子经济);物业管理;旅游概念;冷链物流;跨境电商;福建自贸区;数字经济;阿里巴巴概念;海峡两岸;沪股通;融资融券,17,600693,13
605068.SH,新能源汽车;比亚迪概念;华为汽车;长安汽车概念;机器人概念;人形机器人,17,605068,6
002580.SZ,快手概念;新疆振兴;动力电池回收;抖音概念(字节概念);雄安新区;钠离子电池;高铁;鸿蒙概念;阿里巴巴概念;国企改革;创投;东数西算(算力);储能;一带一路;数据中心(AIDC);固态电池;军工;锂电池概念;华为概念;液冷服务器;5G;深股通;融资融券,33,002580,23
001358.SZ,净水概念;碳中和;光刻胶;融资融券,33,001358,4
002558.SZ,电子竞技;云游戏;手机游戏;网络游戏;AIGC概念;虚拟数字人;旅游概念;AI应用;元宇宙;参股保险;ChatGPT概念;互联网金融;DeepSeek概念;人工智能;创投;AI智能体;鸿蒙概念;语音技术;阿里巴巴概念;腾讯概念;百度概念;虚拟现实;西部大开发;华为概念;2026一季报预增;深股通;2026中报预增;融资融券,33,002558,28
002045.SZ,NFT概念;元宇宙;智慧政务;家用电器;人工智能;创投;人民币贬值受益;百度概念;ChatGPT概念;智能家居;智能音箱;虚拟现实;粤港澳大湾区;新能源汽车;无人机;华为概念;储能;锂电池概念;新型烟草(电子烟);宁德时代概念;智能穿戴;固态电池;无线耳机;消费电子概念;AI眼镜;苹果概念;PCB概念;深股通;融资融券,33,002045,29
603178.SH,减速器;汽车热管理;飞行汽车(eVTOL);机器人概念;低空经济;长安汽车概念;共同富裕示范区;数字经济;无人驾驶;华为汽车;新能源汽车;比亚迪概念;融资融券;沪股通,17,603178,14
002286.SZ,代糖概念;三胎概念;合成生物;参股银行;中俄贸易概念,33,002286,5
002112.SZ,智能电网;风电;数据中心(AIDC);核电;储能;光伏概念;国企改革;专精特新;共同富裕示范区;深股通;融资融券,33,002112,11
002037.SZ,土壤修复;汽车拆解概念;民爆概念;水利;新疆振兴;国企改革;西部大开发;一带一路;雅下水电概念;央企国企改革;芯片概念;深股通;融资融券,33,002037,13
600578.SH,超超临界发电;沪股通;融资融券;绿色电力;煤炭概念;风电;储能;蚂蚁集团概念;氢能源;高股息精选;证金持股;京津冀一体化;国企改革,17,600578,13
605016.SH,代糖概念;参股银行;人民币贬值受益;专精特新;海峡两岸;沪股通,17,605016,6
603221.SH,人民币贬值受益,17,603221,1
600499.SH,盐湖提锂;锂电池概念;宁德时代概念;同花顺出海50;人民币贬值受益;储能;一带一路;光伏建筑一体化;高端装备;充电桩;新型工业化;机器人概念;海工装备;沪股通;融资融券;2026中报预增,17,600499,16
603499.SH,烟草;上海自贸区;芯片概念;创投;工业互联网;沪股通,17,603499,6
003032.SZ,机器人概念;人形机器人;华为概念;职业教育;鸿蒙概念;在线教育;阿里巴巴概念;ChatGPT概念;智谱AI;短剧游戏;摘帽,33,003032,11
600236.SH,绿色电力;碳交易;风电;央企国企改革;国企改革;高股息精选;西部大开发;沪股通;融资融券,17,600236,9
605339.SH,乳业;海峡两岸;沪股通,17,605339,3
603696.SH,互联网金融;海峡两岸;融资融券,17,603696,3
600419.SH,乳业;西部大开发;国企改革;新疆振兴,17,600419,4
600733.SH,一体化压铸;华为汽车;网约车;京津冀一体化;车联网(车路协同);DeepSeek概念;无人驾驶;小米汽车;燃料电池;百度概念;国企改革;换电概念;星闪概念;新能源汽车;智能座舱;动力电池回收;华为概念;充电桩;储能;固态电池;高压快充;汽车芯片;沪股通;融资融券,17,600733,24
601086.SH,IP经济(谷子经济);参股券商;西部大开发;家用电器;2026中报预增;沪股通,17,601086,6
002141.SZ,动物疫苗;广东自贸区;锂电池概念;粤港澳大湾区;创投;独角兽概念;PCB概念;横琴新区;消费电子概念,33,002141,9
002498.SZ,柔性直流输电;抽水蓄能;电力物联网;特高压;智能电网;风电;充电桩;核电;海工装备;数字经济;无人机;5G;氢能源;一带一路;燃料电池;深股通;融资融券,33,002498,17
600844.SH,煤化工概念;可降解塑料;西部大开发;股权转让(并购重组),17,600844,4
920522.BJ,超级电容;PET铜箔;宁德时代概念;锂电池概念;融资融券;固态电池;碳纤维;比亚迪概念;钠离子电池;专精特新,151,920522,10
920284.BJ,锂电池概念;人造肉;专精特新;宁德时代概念;融资融券;固态电池;新型工业化,151,920284,7
920339.BJ,一带一路;融资融券;人民币贬值受益,151,920339,3
300505.SZ,磷化工;化肥;西部大开发;固废处理;宠物经济;一带一路;人民币贬值受益;深股通;融资融券,33,300505,9
300677.SZ,养老概念;医疗器械概念;跨境电商;创投;智能医疗;人民币贬值受益;融资融券;深股通,33,300677,8
920790.BJ,人工智能;AI应用;手机游戏;数据要素;DeepSeek概念;人民币贬值受益;电力物联网;互联网金融;乡村振兴;智慧城市;水利;融资融券;储能;车联网(车路协同);云办公;数字乡村,151,920790,16
688146.SH,光刻机;中芯国际概念;国家大基金持股;中船系;氟化工概念;芯片概念;固态电池;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,17,688146,13
688766.SH,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,17,688766,9
300803.SZ,互联网金融;AI应用;参股券商;融资融券;深股通,33,300803,5
301061.SZ,养老概念;同花顺出海50;一带一路;人民币贬值受益;智能家居;深股通;融资融券,33,301061,7
300483.SZ,俄乌冲突概念;天然气;深股通;股权转让(并购重组),33,300483,4
300217.SZ,人形机器人;华为汽车;智能座舱;汽车热管理;比亚迪概念;传感器;机器人概念;新能源汽车;小米概念;光伏概念;家用电器;专精特新;军工;5G;储能;锂电池概念;固态电池;大飞机;海工装备;光热发电;芯片概念;核电;深股通;融资融券,33,300217,24
300622.SZ,IP经济(谷子经济);阿里巴巴概念;虚拟现实;粤港澳大湾区;华为概念;小米概念;眼科医疗;智能穿戴;消费电子概念;AI眼镜;深股通,33,300622,11
300875.SZ,军民融合;核污染防治;食品安全;京津冀一体化;核电;军工;高端装备;锂电池概念;专精特新;低空经济;机器人概念;无人机;融资融券,33,300875,13
920701.BJ,专精特新;智能穿戴;融资融券;小米概念;华为概念;消费电子概念,151,920701,6
002602.SZ,电子竞技;网络游戏;手机游戏;云游戏;NFT概念;IP经济(谷子经济);共同富裕示范区;同花顺出海50;虚拟数字人;元宇宙;AIGC概念;AI应用;长三角一体化;DeepSeek概念;脑机接口;人工智能;人民币贬值受益;腾讯概念;虚拟现实;数据安全;算力租赁;新能源汽车;比亚迪概念;华为概念;东数西算(算力);深股通;数据中心(AIDC);2026中报预增;融资融券;摘帽,33,002602,30
603444.SH,网络游戏;手机游戏;IP经济(谷子经济);福建自贸区;海峡两岸;沪股通;2026一季报预增;2026中报预增;融资融券,17,603444,9
920826.BJ,跨境电商;融资融券;预制菜;人民币贬值受益,151,920826,4
300408.SZ,共封装光学(CPO);光纤概念;消费电子概念;5G;小米概念;数据中心(AIDC);华为概念;燃料电池;深股通;融资融券,33,300408,10
300291.SZ,短剧游戏;快手概念;文化传媒概念;网红经济;IP经济(谷子经济);网络游戏;虚拟数字人;旅游概念;抖音概念(字节概念);AI应用;百度概念;腾讯概念;阿里巴巴概念;人工智能;华为概念;深股通,33,300291,16
002277.SZ,第三代半导体;NMN概念;芯片概念;机器人概念;农村电商;免税店;跨境电商;参股银行;乡村振兴;互联网金融;深股通;融资融券;证金持股;股权转让(并购重组),33,002277,14
301292.SZ,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,33,301292,8
301262.SZ,短剧游戏;文化传媒概念;IP经济(谷子经济);AIGC概念;在线教育;AI应用;抖音概念(字节概念);DeepSeek概念;腾讯概念;人工智能;数字经济;旅游概念;智慧政务;数字乡村;养老概念;数字孪生;语音技术;人脸识别;宠物经济;国企改革;虚拟现实;东数西算(算力);深股通;融资融券,33,301262,24
002582.SZ,预制菜;农业种植;IP经济(谷子经济);人造肉;网红经济;生态农业;啤酒概念;参股银行;旅游概念;乡村振兴;跨境电商;职业教育;高股息精选;新疆振兴;特色小镇;创投;智能物流;海峡两岸;深股通,33,002582,19
000802.SZ,文化传媒概念;IP经济(谷子经济);旅游概念,33,000802,3
300106.SZ,乳业;三胎概念;养老概念;乡村振兴;国企改革;新疆振兴;西部大开发;股权转让(并购重组),33,300106,8
688345.SH,钠离子电池;固态电池;锂电池概念;储能;两轮车;数据中心(AIDC);机器人概念;融资融券,17,688345,8
300587.SZ,锂电池概念;固态电池;专精特新;高铁;机器人概念;液冷服务器;融资融券;深股通,33,300587,8
300876.SZ,碳纤维;专精特新;融资融券,33,300876,3
300877.SZ,储能;创投;特斯拉概念;融资融券,33,300877,4
300673.SZ,宠物经济;人民币贬值受益,33,300673,2
301606.SZ,华为概念;储能;无线耳机;跨境电商;无线充电;消费电子概念;人民币贬值受益;苹果概念;深股通;融资融券,33,301606,10
920273.BJ,海峡两岸;乡村振兴;预制菜;专精特新;宠物经济;融资融券,151,920273,6
300771.SZ,智慧城市;人脸识别;物联网;换电概念;创投;智能医疗;智能物流;无人零售;机器人概念;无人驾驶;冷链物流,33,300771,11
300788.SZ,知识产权保护;AIGC概念;AI应用;IP经济(谷子经济);文化传媒概念;元宇宙;AI智能体;百度概念;数据要素;抖音概念(字节概念);职业教育;人工智能;DeepSeek概念;三胎概念;国企改革;深股通;中字头股票,33,300788,17
688129.SH,融资融券,17,688129,1
300656.SZ,汽车芯片;第三代半导体;芯片概念;传感器;光伏概念;华为概念;比亚迪概念;机器视觉;特高压;无人机;电子身份证;粤港澳大湾区;海峡两岸;储能;人工智能,33,300656,15
300568.SZ,钠离子电池;固态电池;锂电池概念;宁德时代概念;氢能源;储能;比亚迪概念;新能源汽车;机器人概念;DeepSeek概念;芯片概念;融资融券;深股通,33,300568,13
300462.SZ,独角兽概念;移动支付;人脸识别;ETC;车联网(车路协同);智慧城市;汽车热管理;ST板块;储能;充电桩;液冷服务器,33,300462,11
001311.SZ,一体化压铸;机器人概念;比亚迪概念;特斯拉概念;新能源汽车;减速器;深股通,33,001311,7
600415.SH,IP经济(谷子经济);网红经济;超级品牌;统一大市场;跨境电商;参股券商;虚拟数字人;AI应用;跨境支付(CIPS);阿里巴巴概念;DeepSeek概念;数字货币;数据要素;互联网金融;绿色电力;中俄贸易概念;人工智能;共同富裕示范区;国企改革;数字经济;移动支付;同花顺中特估100;一带一路;同花顺出海50;数据中心(AIDC);沪股通;融资融券;航运概念,17,600415,28
002043.SZ,共同富裕示范区;智能家居;深股通;融资融券,33,002043,4
600644.SH,绿色电力;虚拟电厂;天然气;地下管网;充电桩;污水处理;储能;乡村振兴;参股银行;西部大开发;光伏概念;沪股通;融资融券,17,600644,13
603969.SH,高铁;高端装备;光伏概念;水利;一带一路;储能;核电;创投;地下管网;雄安新区;风电;京津冀一体化;新疆振兴;水泥概念;绿色电力;沪股通;融资融券,17,603969,17
300992.SZ,空气能热泵;水利;中俄贸易概念;人民币贬值受益;液冷服务器;融资融券,33,300992,6
920110.BJ,融资融券;智能家居;横琴新区;专精特新,151,920110,4
920299.BJ,数据中心(AIDC);商业航天;智能电网;融资融券;特高压;阿里巴巴概念,151,920299,6
300573.SZ,眼科医疗;民营医院;创新药;智能医疗;医药电商;融资融券;深股通,33,300573,7
920267.BJ,粤港澳大湾区;海峡两岸;跨境电商;专精特新;MCU芯片;融资融券;智能家居;家用电器;芯片概念,151,920267,9
688485.SH,光纤概念;芯片概念;专精特新;京津冀一体化;融资融券,17,688485,5
600507.SH,特钢概念;化债概念(AMC概念);工业互联网;融资融券;沪股通;华为概念;宁德时代概念;新能源汽车,17,600507,8
603459.SH,共封装光学(CPO);PCB概念;注册制次新股;华为手机;存储芯片;MiniLED;富士康概念;汽车电子;智能座舱;消费电子概念;智能穿戴;芯片概念;小米概念;卫星导航;比亚迪概念;东数西算(算力);商业航天;无人驾驶;虚拟现实;华为概念;机器人概念;锂电池概念;一带一路;2026中报预增;新股与次新股;融资融券,17,603459,26
600638.SH,物业管理;租售同权;互联网金融;信托概念;国企改革;期货概念;2026中报预增,17,600638,7
300427.SZ,特高压;商业航天;军民融合;智能电网;电力物联网;军工;毫米波雷达;芯片概念;充电桩;专精特新;福建自贸区;风电;海峡两岸;区块链;绿色电力;深股通,33,300427,16
600326.SH,雅下水电概念;西部大开发;水利;一带一路;参股银行;国企改革;水泥概念;金属铜;小金属概念;绿色电力;同花顺中特估100;沪股通;融资融券,17,600326,13
920726.BJ,乡村振兴;超级品牌;融资融券,151,920726,3
301439.SZ,中俄贸易概念;一带一路;充电桩;海峡两岸;储能;智能家居;家用电器;高压快充;小米汽车;铜缆高速连接;新能源汽车;小米概念;比亚迪概念;消费电子概念;富士康概念;深股通;融资融券,33,301439,17
600388.SH,PPP概念;固废处理;国企改革;土壤修复;污水处理;绿色电力;海峡两岸;机器人概念;风电;储能;氢能源;华为概念;专精特新;钠离子电池;融资融券;沪股通,17,600388,16
301258.SZ,医疗器械概念;维生素;合成生物;医美概念;阿尔茨海默概念;创投;融资融券,33,301258,7
300270.SZ,光纤概念;智慧灯杆;卫星导航;机器视觉;东数西算(算力);无人驾驶;车联网(车路协同);人脸识别;华为概念;物联网;华为昇腾;安防;机器人概念;智慧城市;华为鲲鹏;百度概念;人工智能;工业互联网;共同富裕示范区;储能;冷链物流;多模态AI;股权转让(并购重组),33,300270,23
600302.SH,ST板块;人脸识别;西部大开发;物联网;国企改革;机器人概念,22,600302,6
688087.SH,可降解塑料;固废处理;碳中和;人民币贬值受益;沪股通;融资融券,17,688087,6
002857.SZ,电力物联网;储能;智能电网;虚拟电厂;机器人概念;数据中心(AIDC);养老概念;智能医疗,33,002857,8
603200.SH,钠离子电池;固态电池;锂电池概念;低空经济;腾讯概念;海工装备;消毒剂;华为概念;污水处理;数据中心(AIDC);风电;液冷服务器;沪股通,17,603200,13
920099.BJ,高端装备;PEEK材料;中俄贸易概念;环氧丙烷;一带一路;可降解塑料;专精特新;融资融券,151,920099,8
603355.SH,净水概念;家用电器;人民币贬值受益;机器人概念;新能源汽车;沪股通;融资融券,17,603355,7
920403.BJ,转基因;玉米;乡村振兴;融资融券;粮食概念;人工智能;农业种植,151,920403,7
603819.SH,安防;新能源汽车;风电;2026中报预增;股权转让(并购重组),17,603819,5
688306.SH,减速器;人形机器人;新型工业化;汽车热管理;华为汽车;机器人概念;无人驾驶;机器视觉;传感器;新能源汽车;脑机接口;AI智能体;人工智能;毫米波雷达;DeepSeek概念;汽车电子;共同富裕示范区;燃料电池;人民币贬值受益;氢能源;医疗器械概念;锂电池概念;固态电池;眼科医疗;沪股通;融资融券,17,688306,26
688681.SH,物联网;工业互联网;专精特新;电力物联网;智能电网;储能;充电桩;特高压;虚拟电厂;柔性直流输电;绿色电力;融资融券,17,688681,12
002207.SZ,页岩气;天然气;俄乌冲突概念;ST板块;新疆振兴;国企改革;西部大开发,33,002207,7
600475.SH,垃圾分类;PPP概念;碳交易;土壤修复;生物质能发电;信托概念;光伏建筑一体化;建筑节能;碳中和;乡村振兴;污水处理;固废处理;数字孪生;数字经济;智慧城市;绿色电力;一带一路;化债概念(AMC概念);氢能源;国企改革;抖音概念(字节概念);参股券商;储能;专精特新;数据中心(AIDC);华为概念;硅能源;光伏概念;沪股通;融资融券,17,600475,30
300125.SZ,ST板块;工业大麻;HJT电池;新型烟草(电子烟);烟草;TOPCON电池;光伏概念;绿色电力;芯片概念,33,300125,9
920252.BJ,锂电池概念;两轮车;专精特新;融资融券;储能,151,920252,5
603727.SH,俄乌冲突概念;天然气;京津冀一体化;中俄贸易概念;一带一路;锂电池概念;海工装备;融资融券,17,603727,8
603408.SH,养老概念;跨境电商;净水概念;福建自贸区;高股息精选;一带一路;人民币贬值受益;智能家居;海峡两岸;机器人概念;小米概念;芯片概念;沪股通,17,603408,13
