股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code,std_code
600238.SH,*ST椰岛,7.09,2.9027576197387543,涨停,1,0, 10:03:53, 10:03:53,海南自贸区+保健酒+海口国资,,,,22,600238,600238.0
600250.SH,南京商旅,12.3,-6.392694063926939,跌停,0,1,,,, 09:30:00, 09:34:30,重组终止+资金流出,17,600250,600250.0
600355.SH,*ST精伦,2.08,1.4634146341463536,涨停,1,0, 09:44:39, 10:17:21,超跌反弹+ST板块+机器人概念,,,,22,600355,600355.0
600376.SH,首开股份,5.63,2.177858439201454,涨停,1,0, 13:13:06, 13:13:06,房地产+间接持股宇树科技+北京国资+城市更新,,,,17,600376,600376.0
600487.SH,亨通光电,25.92,-0.8416220351950989,涨停,1,0, 09:40:29, 14:42:56,CPO+海缆+空芯光纤+算力中心,,,,17,600487,600487.0
600515.SH,海南机场,5.62,7.04761904761905,涨停,1,0, 10:01:10, 10:01:10,海南自贸区+机场运营+免税商业+海南国资,,,,17,600515,600515.0
600580.SH,卧龙电驱,43.81,0.0,涨停,1,0, 13:19:28, 14:35:40,人形机器人+机器人+电机+激励,,,,17,600580,600580.0
600599.SH,*ST熊猫,10.01,5.036726128016794,涨停,1,0, 09:30:00, 09:30:00,ST板块+烟花爆竹+北美市占9.3%+司法拍卖,,,,22,600599,600599.0
600608.SH,*ST沪科,3.65,2.5280898876404456,涨停,1,0, 09:30:45, 09:30:45,花卉转型+ST板块+昆明国资,,,,22,600608,600608.0
600693.SH,东百集团,19.33,3.148345784418356,涨停,1,0, 13:39:42, 13:43:37,零售板块+海峡两岸+首店经济+仓储物流,,,,17,600693,600693.0
600696.SH,*ST岩石,3.45,0.0,涨停,1,0, 13:54:19, 14:40:17,酱香型白酒+直播电商+定制酒+ST板块,,,,22,600696,600696.0
600730.SH,中国高科,12.89,-9.98603351955307,跌停,0,1,,,, 09:30:15, 09:30:15,复牌+资金流出+业绩下滑,17,600730,600730.0
600759.SH,洲际油气,2.99,2.047781569965872,涨停,1,0, 10:46:05, 14:35:23,海南自贸区+油气勘探+回购完成,,,,17,600759,600759.0
600800.SH,渤海化学,4.1,-9.890109890109894,跌停,0,1,,,, 09:30:00, 09:30:00,重组终止+复牌补跌+业绩亏损,17,600800,600800.0
601068.SH,中铝国际,5.53,0.0,涨停,1,0, 13:53:42, 13:53:42,电解铝中标+盐湖提锂+央企,,,,17,601068,601068.0
601106.SH,中国一重,4.2,-0.2375296912113963,涨停,2,0, 09:35:16, 09:59:17,可控核聚变+商业航天+重型装备+央企,,,,17,601106,601106.0
601118.SH,海南橡胶,6.3,3.618421052631575,涨停,1,0, 09:47:55, 09:55:40,海南自贸区+保险赔款+橡胶龙头+海南国资,,,,17,601118,601118.0
601212.SH,白银有色,5.96,4.561403508771926,涨停,1,0, 10:45:44, 10:45:44,铜铅锌金银+可控核聚变+甘肃国企+锂电材料,,,,17,601212,601212.0
601231.SH,环旭电子,28.99,0.0,涨停,1,0, 13:00:07, 13:00:07,光模块+AI加速卡+SiP模组+回购,,,,17,601231,601231.0
601869.SH,长飞光纤,124.95,-1.652892561983467,涨停,1,0, 09:38:48, 09:38:48,CPO+空芯光纤+H股增发+光纤光缆,,,,17,601869,601869.0
601888.SH,中国中免,92.67,1.7345482489845188,涨停,1,0, 10:34:36, 10:37:15,海南封关+免税店+央企,,,,17,601888,601888.0
601969.SH,海南矿业,12.0,4.6207497820400985,涨停,1,0, 10:06:06, 10:13:46,海南自贸区+铁矿石+锂矿+回购,,,,17,601969,601969.0
603069.SH,海汽集团,28.88,10.019047619047615,涨停,2,0, 09:30:15, 09:31:45,重组+无人驾驶+免税+海南国资,,,,17,603069,603069.0
603163.SH,圣晖集成,67.5,4.570100697134009,涨停,1,0, 09:56:19, 09:56:19,半导体设备+海外中标+洁净室工程+海峡两岸,,,,17,603163,603163.0
603268.SH,*ST松发,80.79,4.7859922178988485,涨停,1,0, 09:30:15, 10:00:48,船舶制造+VLCC大单+三季报增长+海工装备,,,,22,603268,603268.0
603300.SH,海南华铁,8.02,3.08483290488431,涨停,1,0, 10:21:17, 13:37:41,海南自贸+国资入主+设备租赁,,,,17,603300,603300.0
603344.SH,星德胜,35.49,10.01239925604465,涨停,1,0, 09:32:45, 09:32:45,机器人+汽车热管理+吸尘器电机+回购,,,,17,603344,603344.0
603380.SH,易德龙,39.71,1.4822386915410126,涨停,1,0, 09:36:16, 09:36:16,机器人+AI服务器+海外扩产+EMS龙头,,,,17,603380,603380.0
603458.SH,勘设股份,8.9,2.298850574712656,涨停,1,0, 13:24:29, 13:25:14,无人驾驶+工程设计+数据中心+智慧交通,,,,17,603458,603458.0
603535.SH,嘉诚国际,11.6,0.0862812769628972,涨停,1,0, 10:28:50, 10:28:50,海南自贸港+跨境电商+低空物流+出海,,,,17,603535,603535.0
603585.SH,苏利股份,19.3,-4.265873015873013,跌停,0,1,,,, 09:42:22, 09:54:55,异常波动+股东减持+短线回调,17,603585,603585.0
603618.SH,杭电股份,8.56,-0.5807200929152025,涨停,1,0, 10:12:07, 10:12:07,光纤光缆+铜箔试产+高压电缆,,,,17,603618,603618.0
603696.SH,安记食品,24.44,9.990999099910002,涨停,1,0, 14:38:32, 14:38:32,海峡两岸+调味品+三季报增长,,,,17,603696,603696.0
603828.SH,ST柯利达,8.79,4.270462633451951,涨停,1,0, 09:33:15, 10:31:17,股权转让+装配化装修+光伏建筑一体化+ST板块,,,,22,603828,603828.0
603829.SH,洛凯股份,27.29,-0.4377964246625355,跌停,0,1,,,, 09:39:33, 10:29:43,股东减持+业绩下滑,17,603829,603829.0
603843.SH,*ST正平,4.47,-4.690831556503212,涨停,1,0, 14:25:09, 14:32:21,赛马概念+智算服务+ST板块+金属锌, 13:06:02, 13:14:08,,22,603843,603843.0
603868.SH,飞科电器,36.76,0.7399287476020718,涨停,1,0, 14:17:17, 14:17:17,个护电器+电子商务+短剧营销+联营挂牌,,,,17,603868,603868.0
603928.SH,兴业股份,16.7,0.1799640071985457,涨停,1,0, 09:57:04, 10:09:58,光刻胶+铸造树脂+C919+业绩增长,,,,17,603928,603928.0
603929.SH,亚翔集成,102.0,3.5953686776355944,涨停,1,0, 13:25:44, 13:25:44,芯片洁净室+新加坡订单+海峡两岸+三季报增长,,,,17,603929,603929.0
603959.SH,百利科技,6.25,-0.3189792663476806,涨停,1,0, 10:23:45, 10:23:45,机器人+锂电产线+石化EPC+第一大股东变更,,,,17,603959,603959.0
603977.SH,国泰集团,15.59,-0.2559181062060199,涨停,2,0, 09:30:00, 09:30:00,民爆+小型固体火箭发动机+钽铌+江西国资,,,,17,603977,603977.0
605167.SH,利柏特,12.45,-1.581027667984198,涨停,1,0, 09:32:30, 09:32:30,核电+募投投产+工业模块,,,,17,605167,605167.0
605199.SH,ST葫芦娃,9.32,0.0,涨停,1,0, 10:54:57, 14:12:25,海南自贸区+儿科药+ST板块,,,,22,605199,605199.0
605358.SH,立昂微,37.5,2.1798365122615726,涨停,1,0, 09:54:40, 11:12:15,商业航天+VCSEL芯片+碳化硅+半导体硅片,,,,17,605358,605358.0
605377.SH,华旺科技,8.72,0.0,涨停,1,0, 09:50:48, 09:50:48,装饰原纸+80亿授信+高分红,,,,17,605377,605377.0
688668.SH,鼎通科技,120.54,1.362260343087794,涨停,1,0, 13:40:27, 14:50:53,224G液冷+订单饱和+铜缆高速连接+业绩高增,,,,17,688668,688668.0
920023.BJ,田野股份,6.0,1.522842639593906,涨停,1,0, 13:00:23, 13:50:13,海南自贸区+热带果汁+募投延期,,,,151,920023,
