股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
603878.SH,武进不锈,8.98,10.04901960784314,涨停,1,0, 13:51:40, 13:51:40,不锈钢管+核电+光热发电,,,,17,603878
002323.SZ,雅博股份,1.86,10.059171597633144,涨停,1,0, 13:05:27, 13:05:27,光伏建筑一体化+枣庄国资,,,,33,002323
002202.SZ,金风科技,29.58,10.003718854592776,涨停,1,0, 10:40:18, 10:40:18,商业航天+风电龙头+绿氢氨醇,,,,33,002202
000990.SZ,诚志股份,9.21,10.035842293906832,涨停,1,0, 14:04:27, 14:55:57,POE胶膜+国企改革+半导体显示材料,,,,33,000990
002569.SZ,*ST步森,15.71,5.013368983957219,涨停,2,0, 09:32:09, 14:55:30,ST板块+宝鸡国资+男装品牌,,,,33,002569
603261.SH,*ST立航,32.41,4.988662131519259,涨停,3,0, 14:39:58, 14:56:43,航空装备+C919配套,,,,22,603261
300986.SZ,志特新材,39.84,20.0,涨停,1,0, 09:36:27, 09:55:39,此前完成停牌核查+AI4S+铝模+一带一路,,,,33,300986
002231.SZ,*ST奥维,0.73,-5.194805194805199,跌停,0,11,,,, 09:25:00, 09:25:00,退市风险+连续跌停+市值低于5亿,33,002231
002088.SZ,鲁阳节能,12.87,10.0,涨停,1,0, 10:30:00, 10:30:00,隔热材料+陶瓷纤维+锂电池纤维纸+节能降碳,,,,33,002088
600293.SH,三峡新材,3.63,10.000000000000004,涨停,1,0, 09:35:44, 11:26:17,硅能源+电子玻璃+国企改革,,,,17,600293
603939.SH,益丰药房,24.81,10.022172949002208,涨停,1,0, 09:31:00, 13:58:54,连锁药房+政策利好+线上提速,,,,17,603939
002405.SZ,四维图新,11.24,9.980430528375729,涨停,1,0, 13:41:57, 13:41:57,智驾定点+商业航天+业绩预增,,,,33,002405
000820.SZ,*ST节能,4.24,4.950495049504955,涨停,2,0, 09:40:39, 10:29:36,储能中标+固废处理+ST板块,,,,33,000820
000592.SZ,平潭发展,10.78,9.999999999999984,涨停,1,0, 10:30:15, 10:38:51,福建自贸区+林木主业+菌草纤维板,,,,33,000592
001270.SZ,*ST铖昌,136.21,5.0030835646006855,涨停,2,0, 09:31:48, 09:37:12,商业航天+低轨卫星+T/R芯片,,,,33,001270
688516.SH,奥特维,90.01,19.997333688841486,涨停,1,0, 09:49:19, 10:45:19,太空光伏+光模块AOI+半导体封测+光伏设备,,,,17,688516
603200.SH,上海洗霸,88.98,10.001236246754857,涨停,1,0, 13:06:07, 13:34:34,固态电池+液冷服务器+低空经济,,,,17,603200
300391.SZ,*ST长药,0.92,19.480519480519483,涨停,4,0, 09:30:12, 09:33:51,退市风险+中药大健康+光伏设备,,,,33,300391
603095.SH,越剑智能,21.6,9.979633401222,涨停,2,0, 09:31:10, 09:39:28,纺织机械+高端装备,,,,17,603095
001203.SZ,大中矿业,33.15,9.986728599867279,涨停,1,0, 14:09:21, 14:09:21,碳酸锂涨价+锂矿放量+铁矿龙头,,,,33,001203
