股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002902.SZ,铭普光磁,29.65,3.635092624956306,涨停,1,0, 09:30:16, 09:30:16,AI算力+800G光模块+磁性元器件+新能源车载,,,,33,002902
002931.SZ,锋龙股份,60.0,-3.738167816460771,跌停,0,1,,,, 09:44:06, 11:27:49,优必选要约完成+利好兑现+复牌补跌,33,002931
002932.SZ,*ST明德,17.7,0.6825938566552958,涨停,1,0, 14:33:23, 14:33:23,ST摘帽博弈+拟收购必凯尔+体外诊断+回购,,,,33,002932
002977.SZ,*ST天箭,27.22,-1.1260443152924164,跌停,0,2,,,, 09:30:00, 09:30:00,退市风险警示+年报亏损+一季度下滑,33,002977
002990.SZ,盛视科技,49.71,2.0739219712525627,跌停,0,1,,,, 11:02:31, 13:42:46,业绩下滑+此前涨幅较大+板块回调,33,002990
003036.SZ,泰坦股份,37.1,0.4059539918809163,涨停,2,0, 09:30:16, 09:30:16,高端纺机+电子布纺织机+固态电池+纺织机器人,,,,33,003036
300029.SZ,*ST天龙,3.46,-19.907407407407412,涨停,1,0, 13:18:32, 13:36:04,ST板块+新能源EPC+风电项目,,,,33,300029
300582.SZ,英飞特,15.7,-0.19071837253656157,涨停,1,0, 10:37:54, 10:37:54,一季报增长+LED驱动电源+储能,,,,33,300582
301248.SZ,杰创智能,88.01,7.670663078052375,涨停,1,0, 10:24:19, 10:24:19,智算云服务+扭亏为盈+华为昇腾,,,,33,301248
301500.SZ,飞南资源,31.51,3.924802110817946,涨停,1,0, 09:30:00, 10:09:10,一季报暴增+新能源材料+危废资源化,,,,33,301500
600053.SH,九鼎投资,11.43,-9.999999999999996,跌停,0,1,,,, 09:30:00, 09:30:00,业绩下修+营收低于3亿+*ST风险,17,600053
600084.SH,中信尼雅,5.93,0.0,跌停,0,1,,,, 09:30:00, 09:30:00,*ST风险+年报预亏+营收低于3亿,17,600084
600126.SH,杭钢股份,9.11,-3.3934252386002153,跌停,0,1,,,, 10:07:18, 10:58:16,营收下滑+板块回调+资金流出+此前涨幅较大,17,600126
600152.SH,维科技术,14.55,2.033660589060315,涨停,2,0, 13:01:26, 13:22:44,钠电储能+高倍率电池扩产+锂电产业链,,,,17,600152
600193.SH,*ST创兴,2.17,0.0,跌停,0,7,,,, 09:30:00, 09:30:00,终止上市风险+审计保留意见+连续异常波动,22,600193
600238.SH,*ST椰岛,5.45,4.206500956022939,涨停,1,0, 13:04:38, 13:06:34,退市博弈+保健酒+海南国资,,,,22,600238
600246.SH,万通发展,10.66,-0.09372071227741131,涨停,1,0, 10:38:31, 10:38:31,PCIe5.0芯片+商业航天+科技转型+房地产,,,,17,600246
600289.SH,ST信通,5.63,-4.898648648648649,跌停,0,3,,,, 09:30:00, 09:30:00,业绩预亏+诉讼风险+年报披露前,22,600289
600302.SH,标准股份,9.48,-0.9404388714733527,跌停,0,1,,,, 10:46:40, 10:46:40,年报延期+独董督促+业绩预亏,17,600302
600338.SH,西藏珠峰,24.92,0.36246476037053327,涨停,2,0, 09:37:53, 10:20:43,盐湖提锂+业绩高增+资产聚焦,,,,17,600338
600346.SH,恒力石化,20.02,-5.118483412322283,跌停,0,1,,,, 09:30:00, 09:31:48,子公司被制裁+SDN清单,17,600346
600381.SH,*ST春天,3.02,-2.5806451612903247,跌停,0,1,,,, 09:30:00, 14:02:43,退市风险+业绩预亏+此前涨幅较大,22,600381
600396.SH,华电辽能,10.13,0.09881422924902732,涨停,1,0, 10:05:40, 10:05:40,火电+绿电+央企,,,,17,600396
600400.SH,红豆股份,2.43,0.0,涨停,1,0, 10:39:46, 10:39:46,机器人+男装+低价股,,,,17,600400
600418.SH,江淮汽车,49.03,0.18389865140989664,涨停,1,0, 13:02:24, 13:02:24,尊界200万新车+华为合作+安徽国资,,,,17,600418
600421.SH,*ST华嵘,4.29,-5.088495575221229,跌停,0,4,,,, 09:30:00, 09:30:00,业绩修正+退市风险+连续跌停,22,600421
600422.SH,昆药集团,9.52,-3.4482758620689644,跌停,0,1,,,, 09:30:00, 09:34:27,一季度亏损+营收下滑+转型阵痛,17,600422
600433.SH,冠豪高新,4.4,0.0,涨停,1,0, 09:37:53, 09:58:26,土地收储补偿+一季报增长+氢能碳纸+央企,,,,17,600433
600608.SH,*ST沪科,1.97,-4.830917874396129,跌停,0,2,,,, 09:30:00, 09:30:00,退市风险+立案调查+年报延期+营收不足,22,600608
600633.SH,浙数文化,13.08,-3.681885125184094,跌停,0,1,,,, 09:39:59, 14:55:26,算力板块回调+短线涨幅回吐+资金流出,17,600633
600636.SH,*ST国化,4.75,-5.0,跌停,0,1,,,, 09:30:00, 09:30:00,审计未定+退市风险+异常波动,22,600636
600637.SH,东方明珠,11.0,1.2891344383057144,涨停,1,0, 09:30:39, 09:30:39,超聚变IPO+AI应用+上海国资,,,,17,600637
600693.SH,东百集团,11.54,0.08673026886383163,涨停,1,0, 11:10:31, 11:10:31,一季报增长+首店经济+仓储物流ABS,,,,17,600693
600696.SH,*ST岩石,1.38,-4.827586206896556,涨停,7,0, 13:21:19, 14:00:09,退市博弈+酱香型白酒+市值低于5亿, 09:32:27, 09:37:53,,22,600696
600707.SH,彩虹股份,8.91,0.3378378378378306,涨停,1,0, 14:29:47, 14:50:42,玻璃基板+ITC胜诉+国企改革,,,,17,600707
600726.SH,华电能源,6.33,-0.7836990595611257,涨停,3,0, 13:13:28, 14:50:42,一季报增长+绿电转型+热电联产+央企, 09:31:19, 09:31:19,,17,600726
600735.SH,ST新华锦,7.42,4.950495049504945,涨停,1,0, 09:30:00, 09:30:00,资金占用清偿+复牌+石墨新材料,,,,22,600735
600736.SH,苏州高新,7.25,-5.228758169934645,跌停,0,1,,,, 09:31:19, 10:31:42,短线回调+联讯仪器持股比例较低,17,600736
600750.SH,华润江中,24.54,-1.5248796147672654,跌停,0,1,,,, 14:56:41, 14:56:41,Q1营收下滑+经营现金流大降+此前涨幅较大,17,600750
600810.SH,神马股份,6.98,-6.434316353887394,跌停,0,1,,,, 09:30:00, 09:30:00,信披立案+年报亏损,17,600810
600815.SH,厦工股份,4.33,1.4051522248243677,涨停,1,0, 10:26:29, 10:41:17,工程装备+雅鲁藏布江水电+厦门国资,,,,17,600815
600830.SH,香溢融通,9.54,0.0,涨停,1,0, 13:50:49, 13:56:24,一季报增长+AMC概念+烟草背景,,,,17,600830
600864.SH,哈投股份,6.22,-2.354788069073789,跌停,0,1,,,, 09:44:39, 13:42:30,一季度净利下滑+资金流出,17,600864
600965.SH,福成股份,4.23,-9.999999999999993,跌停,0,1,,,, 09:30:00, 09:30:00,审计非标+*ST风险,17,600965
601567.SH,三星电气,21.29,-4.486316733961418,跌停,0,1,,,, 09:30:00, 09:45:38,业绩下滑+资金流出,17,601567
603021.SH,ST华鹏,7.53,0.0,跌停,0,1,,,, 14:00:35, 14:10:53,业绩预亏+退市风险警示风险+此前20个交易日涨幅较大,22,603021
603095.SH,越剑智能,20.49,7.559055118110224,涨停,1,0, 11:28:37, 13:32:17,AI验布机+高端装备+提质增效,,,,17,603095
603097.SH,江苏华辰,26.4,-0.3021148036253846,跌停,0,2,,,, 09:34:55, 09:46:54,一季度净利降99%+年报净利降23%,17,603097
603110.SH,东方材料,20.87,6.154628687690747,涨停,1,0, 10:41:32, 14:50:42,算力租赁+PCB油墨+年报披露,,,,17,603110
603125.SH,常青科技,22.22,3.445065176908745,涨停,1,0, 09:34:27, 09:34:27,业绩大增+风电+光刻胶,,,,17,603125
603211.SH,晋拓股份,25.0,-1.5748031496062938,涨停,1,0, 13:09:15, 13:09:15,人形机器人+机器人零部件+年报增长,,,,17,603211
603228.SH,景旺电子,75.34,-0.013271400132701932,涨停,1,0, 09:47:45, 09:47:45,AI算力+汽车PCB+800G光模块,,,,17,603228
603272.SH,联翔股份,24.3,0.0,涨停,2,0, 09:32:27, 09:33:42,超跌反弹+墙布龙头+智能家居窗帘,,,,17,603272
603284.SH,林平发展,47.0,-3.0927835051546393,跌停,0,1,,,, 10:45:39, 11:26:19,次新回调+此前涨幅较大,17,603284
603318.SH,水发燃气,13.0,3.7509976057462144,涨停,4,0, 09:30:58, 14:16:08,氦气+燃气轮机掺氢+山东国资,,,,17,603318
603359.SH,东珠生态,4.55,-9.900990099009901,跌停,0,1,,,, 09:30:00, 09:30:00,业绩预亏+年报延期+触及退市风险警示标准,17,603359
603486.SH,科沃斯,69.58,2.6253687315634235,涨停,1,0, 09:37:25, 09:42:37,具身智能+海外高增+年报高增,,,,17,603486
603501.SH,豪威集团,106.95,2.2173372837618346,涨停,1,0, 11:00:16, 11:13:16,LCOS+光通信+AI终端,,,,17,603501
603557.SH,ST起步,4.01,3.08483290488431,涨停,1,0, 10:23:57, 13:03:12,ST板块+童装童鞋+三胎概念,,,,22,603557
603579.SH,荣泰健康,22.33,1.1322463768115942,涨停,1,0, 09:37:25, 09:37:25,理疗机器人+AI大模型+按摩椅+美团合作,,,,17,603579
603580.SH,*ST艾艾,20.0,1.3171225937183464,涨停,1,0, 11:28:37, 15:00:00,新能源电池配件+轻型输送带+退市博弈,,,,22,603580
603586.SH,金麒麟,16.0,-3.903903903903896,跌停,0,1,,,, 09:34:27, 09:50:30,一季报下降+主营产品销量减少+出口收入下滑,17,603586
603610.SH,麒盛科技,16.55,-0.9575104727707967,涨停,1,0, 11:22:02, 11:22:02,脑机接口+智能电动床+适老化补贴,,,,17,603610
603626.SH,科森科技,24.33,-0.16413623307346203,涨停,1,0, 13:08:11, 13:12:16,机器人+AI结构件+消费电子+储能,,,,17,603626
603657.SH,春光科技,28.41,0.21164021164020713,涨停,1,0, 09:38:25, 09:38:25,机器人订单+清洁电器+小米客户,,,,17,603657
603721.SH,*ST天择,23.16,0.08643042350907335,涨停,1,0, 13:29:21, 14:13:14,摘帽预期+扭亏+AI语料+长沙国资,,,,22,603721
603726.SH,朗迪集团,24.56,-0.24370430544273872,涨停,1,0, 10:05:09, 10:59:16,机器人关节模组+先进封装+空调风叶,,,,17,603726
603773.SH,沃格光电,66.9,4.319351317636068,涨停,1,0, 09:32:27, 09:41:52,玻璃基板+CPO+MicroLED+商业航天,,,,17,603773
603813.SH,*ST原尚,34.1,-2.5435838811088898,涨停,1,0, 13:12:36, 14:52:56,申请撤销退市风险警示+氢能物流+供应链服务,,,,22,603813
603828.SH,ST柯利达,4.8,0.0,跌停,0,1,,,, 09:30:00, 10:15:23,业绩预亏+此前立案调查+ST板块,22,603828
603931.SH,格林达,35.0,1.5375689004931858,涨停,1,0, 09:42:37, 09:42:37,半导体材料+光刻胶+显影液国产替代+客户拓展,,,,17,603931
603937.SH,丽岛新材,12.29,-1.4434643143544625,跌停,0,1,,,, 09:41:52, 14:31:42,年报亏损+简易增发,17,603937
605006.SH,山东玻纤,11.39,0.4409171075837805,涨停,1,0, 09:41:52, 09:41:52,玻纤涨价+风电纱+山东国资,,,,17,605006
605081.SH,*ST太和,5.29,-5.026929982046683,跌停,0,6,,,, 09:30:00, 09:30:00,被立案+终止上市风险,22,605081
605118.SH,力鼎光电,48.34,2.069256756756765,涨停,1,0, 09:44:06, 09:44:06,年报增长+机器人+无人机,,,,17,605118
605138.SH,盛泰集团,7.43,0.0,涨停,1,0, 09:30:16, 09:30:16,一季报高增+一带一路+智慧纺纱,,,,17,605138
605183.SH,确成股份,17.19,-2.7714932126696743,跌停,0,1,,,, 09:33:42, 09:57:14,一季报净利下滑,17,605183
605287.SH,德才股份,50.28,2.029220779220779,涨停,1,0, 10:24:19, 13:52:46,AI漫剧+城市更新+扭亏为盈,,,,17,605287
605289.SH,罗曼股份,148.0,4.012931337409522,涨停,1,0, 09:54:47, 09:58:26,AI算力+液冷服务器+年报扭亏,,,,17,605289
605336.SH,*ST帅电,17.36,5.021173623714448,涨停,2,0, 09:30:00, 09:30:00,退市保壳+集成灶+ST板块,,,,22,605336
688001.SH,华兴源创,59.8,-1.4177382129904377,涨停,1,0, 13:27:28, 13:27:28,拟控股普赛斯+半导体测试+人形机器人,,,,17,688001
688184.SH,ST帕瓦,12.62,3.5274815422477417,涨停,1,0, 10:09:25, 10:09:25,扭亏为盈+三元前驱体+钠电布局,,,,22,688184
688221.SH,前沿生物,22.8,0.2638522427440733,涨停,1,0, 09:34:27, 14:45:37,小核酸+GSK合作+首季盈利,,,,17,688221
688381.SH,帝奥微,34.97,-0.681624538483391,涨停,1,0, 11:13:01, 11:13:01,机器人芯片+模拟芯片+汽车电子,,,,17,688381
688530.SH,欧莱新材,50.0,8.225108225108219,涨停,1,0, 09:30:58, 09:34:27,一季度扭亏+半导体靶材+明月湖项目,,,,17,688530
688677.SH,海泰新光,122.2,2.8965981812057913,涨停,1,0, 09:36:03, 14:07:19,内窥镜+海外产能+养老金重仓,,,,17,688677
