name,code,open,涨停价,跌停价
山外山,688410,15.07,18.11,12.07
黑芝麻,716,6.26,6.91,5.65
国中水务,600187,2.53,2.76,2.26
西部创业,557,5.02,5.52,4.52
圣阳股份,2580,12.56,13.79,11.29
永安药业,2365,15.1,16.54,13.54
深康佳A,16,5.02,5.51,4.51
德尔股份,300473,30.15,36.02,24.02
亚联机械,1395,43.76,48.14,39.38
柳化股份,600423,3.76,4.13,3.38
北元集团,601568,3.75,4.13,3.38
华帝股份,2035,6.35,6.88,5.63
恒申新材,782,5.03,5.5,4.5
禾昌聚合,920089,20.09,26.0,14.0
宝丽迪,300905,32.31,38.99,25.99
德瑞锂电,920523,26.18,34.07,18.35
大东方,600327,4.99,5.49,4.49
罗普特,688619,13.65,16.45,10.97
康平科技,300907,29.92,35.88,23.92
望变电气,603191,15.07,16.42,13.44
满坤科技,301132,33.69,40.28,26.86
东方生物,688298,23.67,28.34,18.9
民和股份,2234,8.69,9.56,7.82
力佳科技,920237,23.46,30.6,16.48
湘财股份,600095,11.16,12.27,10.04
杉杉股份,600884,13.64,14.98,12.26
信通电子,1388,43.29,47.62,38.96
向日葵,300111,6.18,7.42,4.94
丹娜生物,920009,76.75,99.46,53.56
金禾实业,2597,20.9,23.02,18.84
奥佳华,2614,7.47,8.11,6.63
浩物股份,757,4.93,5.4,4.42
中电电机,603988,24.55,26.95,22.05
东瑞股份,1201,14.68,16.16,13.22
国光连锁,605188,19.74,21.51,17.6
乐心医疗,300562,13.49,16.13,10.75
多氟多,2407,33.61,37.61,30.77
同德化工,2360,4.88,5.37,4.39
和仁科技,300550,14.77,17.56,11.7
辉隆股份,2556,6.06,6.7,5.48
时代新材,600458,13.38,14.72,12.04
乔治白,2687,4.87,5.35,4.37
融捷股份,2192,52.18,57.4,46.96
信凯科技,1335,49.75,54.7,44.76
罗平锌电,2114,8.58,9.34,7.64
合金投资,633,7.33,8.0,6.54
青达环保,688501,0.0,31.98,21.32
苏美达,600710,10.87,11.99,9.81
南矿集团,1360,21.97,23.9,19.56
泉峰汽车,603982,8.51,9.28,7.6
阿为特,920693,39.64,51.55,27.77
海得控制,2184,13.15,14.52,11.88
思特威,688213,95.68,115.07,76.71
派诺科技,920375,13.33,17.13,9.23
旗滨集团,601636,6.0,6.58,5.38
海宁皮城,2344,4.8,5.26,4.3
恒星科技,2132,3.57,3.94,3.22
