股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
603037.SH,凯众股份,15.9,0.2522068095838646,涨停,1,0, 13:46:42, 14:32:58,拟收购拓盛+机器人+聚氨酯减震,,,,17,603037
603052.SH,可川科技,42.0,3.934669636228665,涨停,1,0, 11:09:54, 11:09:54,消费电子+光模块+固态电池,,,,17,603052
603057.SH,紫燕食品,23.21,1.088850174216028,涨停,1,0, 10:43:06, 10:44:06,回购注销+卤味龙头+预制菜,,,,17,603057
603125.SH,常青科技,20.59,9.871931696905024,涨停,1,0, 09:39:17, 09:39:17,光刻胶+风电+特种单体,,,,17,603125
603268.SH,*ST松发,96.0,3.8511466897447018,涨停,2,0, 09:43:47, 09:46:17,船舶制造+大单连签+三季报增长,,,,22,603268
603356.SH,华菱精工,15.59,-0.31969309462916057,涨停,1,0, 13:42:24, 13:42:24,风电+光伏支架+电梯配件,,,,17,603356
603377.SH,ST东时,4.17,5.037783375314854,涨停,1,0, 09:30:15, 09:30:15,预重整+驾驶培训+ST板块,,,,22,603377
603488.SH,展鹏科技,8.51,-2.183908045977006,涨停,1,0, 14:03:47, 14:08:17,军事仿真+电梯门系统+双主业,,,,17,603488
603516.SH,淳中科技,258.71,2.4107354920433752,涨停,1,0, 09:58:02, 10:31:36,液冷测试+N公司+ASIC芯片+显控系统,,,,17,603516
603598.SH,引力传媒,22.62,0.0,涨停,3,0, 09:35:32, 09:35:32,AI智能体+数字营销+出海+短剧,,,,17,603598
603650.SH,彤程新材,55.69,7.9891409734341625,涨停,1,0, 09:30:00, 09:30:00,光刻胶+国产替代+CMP抛光垫,,,,17,603650
603822.SH,ST嘉澳,116.91,5.002694449434159,涨停,2,0, 09:30:30, 09:30:30,生物航煤+出口许可+ST板块,,,,22,603822
603877.SH,太平鸟,16.3,-0.06131207847944826,涨停,1,0, 09:48:02, 11:26:16,控股股东增持+青年时尚+服装,,,,17,603877
605288.SH,凯迪股份,99.0,2.6013058348015394,涨停,1,0, 10:49:21, 10:49:21,线性驱动+机器人+新能源汽车,,,,17,605288
605303.SH,园林股份,19.84,1.8480492813141653,涨停,1,0, 09:40:17, 09:40:17,存储芯片+园林工程+拟收购华澜微,,,,17,605303
688037.SH,芯源微,200.0,4.827297028146134,涨停,1,0, 10:33:27, 10:33:27,光刻胶+拟调入中证500+存储芯片+化学清洗+北京国资,,,,17,688037
688125.SH,安达智能,180.0,5.832549388523041,涨停,1,0, 14:03:32, 14:03:32,半导体设备+AI服务器+人形机器人,,,,17,688125
688548.SH,广钢气体,18.3,0.993377483443707,涨停,1,0, 13:05:20, 14:36:18,半导体气体+商业航天+广州国资,,,,17,688548
688651.SH,盛邦安全,52.21,-3.4399852043647114,涨停,1,0, 14:02:47, 14:08:47,商业航天+卫星安全+网络安全,,,,17,688651
688662.SH,富信科技,63.8,3.35331281386684,涨停,1,0, 13:01:47, 13:47:43,Micro TEC+CPO+半导体,,,,17,688662
688710.SH,益诺思,54.69,-1.120954619417835,涨停,1,0, 10:09:02, 14:49:33,CRO+订单增长+产能释放+国资,,,,17,688710
688727.SH,恒坤新材,61.0,-1.7080244924266874,涨停,1,0, 10:48:51, 13:37:54,存储芯片+光刻胶+国产替代+三季报增长,,,,17,688727
688759.SH,必贝特,43.92,6.086956521739138,涨停,1,0, 09:49:17, 10:08:02,创新药+BEBT-908上市+小核酸平台,,,,17,688759
