股票代码,股票简称,最高价,收盘价,涨跌幅,成交额,涨停价,跌停价
600073,光明肉业,6.68,6.63,0.91,92548059.4,7.23,5.91
300905,宝丽迪,34.56,34.33,0.91,168072830.0,40.82,27.22
603032,德新科技,19.97,19.94,0.91,149962786.15,21.74,17.78
000880,潍柴重机,34.88,33.25,0.91,1767812100.0,36.25,29.66
688048,长光华芯,143.47,139.85,0.91,2603848692.02,166.31,110.87
920344,三元基因,25.69,25.53,0.91,56629025.43,32.89,17.71
603183,建研院,4.49,4.46,0.9,46131754.95,4.86,3.98
688303,大全能源,27.41,26.85,0.9,596442879.29,31.93,21.29
300732,设研院,7.85,7.84,0.9,61734966.0,9.32,6.22
605258,协和电子,32.56,32.49,0.9,86024208.84,35.42,28.98
301291,明阳电气,47.54,47.08,0.9,333521170.0,55.99,37.33
600917,重庆燃气,5.61,5.61,0.9,47438539.83,6.12,5.0
603069,海汽集团,25.06,24.7,0.9,431246106.05,26.93,22.03
002386,天原股份,5.68,5.62,0.9,223447630.0,6.13,5.01
603987,康德莱,9.02,9.0,0.9,62825185.0,9.81,8.03
000576,甘化科工,11.29,11.26,0.9,203237530.0,12.28,10.04
002327,富安娜,6.78,6.77,0.89,41970775.0,7.38,6.04
301228,实朴检测,40.0,39.5,0.89,180664330.0,46.98,31.32
002381,双箭股份,6.8,6.79,0.89,42593722.0,7.4,6.06
000088,盐田港,4.53,4.53,0.89,117469578.0,4.94,4.04
300484,蓝海华腾,20.4,20.4,0.89,170734160.0,24.26,16.18
000702,正虹科技,6.83,6.81,0.89,40803435.0,7.43,6.08
603686,福龙马,28.6,28.38,0.89,1804671195.98,30.94,25.32
000012,南玻A,4.55,4.55,0.89,106520346.0,4.96,4.06
300609,汇纳科技,45.5,44.41,0.89,420830940.0,52.82,35.22
002310,东方园林,2.28,2.28,0.88,172334350.0,2.49,2.03
000713,国投丰乐,6.84,6.84,0.88,82438960.0,7.46,6.1
300439,美康生物,10.29,10.28,0.88,49513440.0,12.23,8.15
600642,申能股份,8.03,8.0,0.88,169899739.26,8.72,7.14
603269,海鸥股份,14.01,13.72,0.88,246585834.13,14.96,12.24
603296,华勤技术,97.96,97.25,0.88,1520086368.26,106.04,86.76
000826,启迪环境,2.3,2.29,0.88,133743792.0,2.5,2.04
002101,广东鸿图,12.61,12.6,0.88,155934930.0,13.74,11.24
600496,精工钢构,4.65,4.6,0.88,244381038.09,5.02,4.1
300193,佳士科技,9.21,9.21,0.88,87439338.0,10.96,7.3
603318,水发燃气,6.91,6.91,0.88,79049046.46,7.54,6.17
002658,雪迪龙,9.24,9.22,0.88,149146720.0,10.05,8.23
601083,锦江航运,11.53,11.53,0.87,87183093.04,12.57,10.29
002371,北方华创,511.7,501.85,0.87,5639229600.0,547.25,447.75
002572,索菲亚,13.86,13.85,0.87,152846450.0,15.1,12.36
603728,鸣志电器,74.98,73.9,0.87,911798818.52,80.59,65.93
600581,八一钢铁,3.49,3.47,0.87,114496897.64,3.78,3.1
920003,中诚咨询,33.77,33.58,0.87,33214122.96,43.27,23.31
600805,悦达投资,5.8,5.79,0.87,137692720.56,6.31,5.17
603233,大参林,18.6,18.54,0.87,118960738.78,20.22,16.54
688526,科前生物,16.24,16.23,0.87,47179268.45,19.31,12.87
605333,沪光股份,32.66,32.47,0.87,389260194.67,35.41,28.97
601996,丰林集团,2.33,2.32,0.87,69553800.02,2.53,2.07
688022,瀚川智能,16.29,16.27,0.87,86679239.6,19.36,12.9
601678,滨化股份,4.68,4.65,0.87,271175074.15,5.07,4.15
688616,西力科技,12.87,12.8,0.87,34772905.22,15.23,10.15
603109,神驰机电,28.1,27.93,0.87,174106444.7,30.46,24.92
600212,绿能慧充,8.15,8.15,0.87,183017250.37,8.89,7.27
605318,法狮龙,60.98,60.62,0.87,231810167.0,66.11,54.09
603199,九华旅游,38.7,38.5,0.86,110478955.0,41.99,34.35
601117,中国化学,8.25,8.17,0.86,723231210.13,8.91,7.29
301309,万得凯,29.23,29.18,0.86,29138290.0,34.72,23.14
688163,赛伦生物,23.63,23.36,0.86,32829420.67,27.79,18.53
002358,森源电气,5.86,5.84,0.86,235302520.0,6.37,5.21
603885,吉祥航空,15.6,15.19,0.86,238314570.77,16.57,13.55
002210,飞马国际,3.54,3.51,0.86,436404160.0,3.83,3.13
605158,华达新材,8.21,8.2,0.86,31039472.1,8.94,7.32
001218,丽臣实业,23.64,23.47,0.86,41443954.0,25.6,20.94
002576,通达动力,17.67,17.64,0.86,92679685.0,19.24,15.74
601021,春秋航空,59.85,58.82,0.86,403565711.45,64.15,52.49
600455,博通股份,27.2,27.06,0.86,54396941.8,29.51,24.15
601326,秦港股份,3.54,3.53,0.86,93082703.55,3.85,3.15
002140,东华科技,11.93,11.77,0.86,128388716.0,12.84,10.5
300388,节能国祯,8.25,8.25,0.86,72053595.0,9.82,6.54
601113,华鼎股份,4.73,4.72,0.85,179848818.0,5.15,4.21
300099,尤洛卡,8.29,8.27,0.85,381611840.0,9.84,6.56
605133,嵘泰股份,35.96,35.45,0.85,416908001.16,38.67,31.64
603198,迎驾贡酒,40.3,40.18,0.85,269384789.33,43.82,35.86
600580,卧龙电驱,49.24,48.63,0.85,6207518642.99,53.04,43.4
