股票代码,涨停原因类别[20260408],code,market_code
600654.SH,算力中心+智慧安防+三季报暴增,600654,17
605289.SH,算力+液冷+AR/VR,605289,17
002634.SZ,TOPCon电池+无缝服装外销+预重整推进,002634,33
600228.SH,AI导购+电商零售+毛利率转正,600228,22
001337.SZ,金精矿+年报高增+四川国资,001337,33
600721.SH,金华国资入主+CRO+复杂制剂,600721,17
600381.SH,,600381,22
002380.SZ,工业AI+火电DCS+机器人,002380,33
603211.SH,机器人+特斯拉+铝合金压铸,603211,17
600777.SH,,600777,22
605162.SH,热电联产+储能+比亚迪供热+回购,605162,17
002663.SZ,广告营销+城市运营+华为项目+康养布局,002663,33
002213.SZ,存储芯片+锂矿资源+拟定增,002213,33
002181.SZ,AI营销+全运会IP+广州国资+年报增长,002181,33
601002.SH,高铁扣件+业绩大增+海峡两岸,601002,17
000892.SZ,AIGC短剧+影视制作+互动剧,000892,33
603629.SH,算力租赁+英伟达合作+年报预增,603629,17
603598.SH,AI营销+短剧出海+业绩预增,603598,17
920171.BJ,智慧城市+服务器订单+年报预增,920171,151
603315.SH,燃气轮机+核电铸件+水电转轮,603315,17
688630.SH,PCB高端化+先进封装+业绩高增,688630,17
600984.SH,一带一路+工程机械+煤矿智能开采+陕西国资,600984,17
603516.SH,液冷测试+芯片+显控系统,603516,17
002606.SZ,特高压+海外订单+江西二期,002606,33
300058.SZ,AI应用+出海营销+业绩预增,300058,33
002400.SZ,AI营销+出海营销+广东国资,002400,33
603822.SH,生物航煤+扭亏+出口白名单,603822,22
603083.SH,1.6T光模块+800G放量+CPO布局+北美扩产,603083,17
603881.SH,算力租赁+阿里+上海国资,603881,17
002478.SZ,HRSG满产（用于燃机）+特材投产+核电管材,002478,33
600815.SH,绿色装备+雅鲁藏布江水电+厦门国资,600815,17
603196.SH,锂电池重组+PAA粘结剂+服装+扭亏为盈,603196,17
002348.SZ,定增募资+固态电池（尚未投产）+潮玩玩具,002348,33
600186.SH,业绩预增+算力租赁+调味品,600186,17
002708.SZ,人形机器人+关节模组+黄山国资,002708,33
002484.SZ,算力+铝电解电容+人形机器人+浙江国资,002484,33
603595.SH,消费电子+富士康+股权转让,603595,22
600356.SH,烟标扩产+并购落地+黑龙江国资,600356,17
000811.SZ,液冷+核聚变+烟台国资,000811,33
002598.SZ,,002598,33
605318.SH,装配式建筑+AI子公司+亏损收窄,605318,17
600599.SH,烟花爆竹+退市博弈+业绩预盈,600599,22
300571.SZ,算力+提供担保,300571,33
000917.SZ,文化传媒+创投+湖南国资,000917,33
603175.SH,AI算力PCB+存储芯片+特斯拉,603175,17
688485.SH,第四代半导体+拟收购半导体+减振降噪,688485,17
002051.SZ,中东重建+一带一路+算力+央企,002051,33
001270.SZ,T/R芯片+商业航天+扭亏为盈+摘帽预期,001270,33
000889.SZ,算力销售+5G消息+短信通道,000889,33
600114.SH,人形机器人+MIM+算力,600114,17
002131.SZ,AI营销+液冷泵+扭亏为盈,002131,33
605258.SH,高频PCB+汽车电子+高分红,605258,17
002929.SZ,算力出海+AI智能体+通信管维,002929,33
000586.SZ,光纤+特种光缆+车载电子+定增推进,000586,33
600986.SH,AI营销+算力租赁+浙江国资,600986,17
603306.SH,800G光模块+CPO+收购恢复审核,603306,17
001287.SZ,存储芯片+英伟达+央企,001287,33
600126.SH,算力租赁+国资云+扭亏+浙江国资,600126,17
600105.SH,光通信+超导带材+可控核聚变+业绩预增,600105,17
002921.SZ,机器人+减速器+精密零件,002921,33
001267.SZ,CPO硅光模块+鄂州投产+园林工程,001267,33
603203.SH,先进封装+AI服务器+精密电子组装,603203,17
000978.SZ,AI文旅+低空经济+扭亏为盈+桂林国资,000978,33
002042.SZ,算力租赁+纺织+预计扭亏,002042,33
603272.SH,墙布龙头+智能家居+控股股东转让股份,603272,17
300209.SZ,服务器租赁+算力+跨境电商,300209,33
603538.SH,减肥药+益生菌产品+创新药+原料药,603538,17
603813.SH,退市博弈+氢能物流+电商物流,603813,22
002899.SZ,健身器材+航天员锻炼+AI眼镜,002899,33
000534.SZ,燃气轮机零部件+低空经济+微生态活菌,000534,33
000551.SZ,年报增长+商业航天+洁净环保+苏州国资,000551,33
002384.SZ,一季度预增+AI PCB+光芯片,002384,33
002361.SZ,商业航天+无人机+聚酯树脂+地方国资,002361,33
603328.SH,PCB+汽车电子+泰国工厂+国企改革,603328,17
603920.SH,PCB+人形机器人+佛山国资,603920,17
603777.SH,健康零食+IP经济+腾讯概念,603777,17
001389.SZ,算力服务器PCB+CPO+年报增长,001389,33
603045.SH,数据中心+电接触材料+业绩预增,603045,17
600641.SH,半导体设备+铋材料+定增35亿,600641,17
600238.SH,,600238,22
002217.SZ,算力租赁+电子纸+福建国资,002217,33
000919.SZ,医药制造+创新药+国企,000919,33
002512.SZ,商业航天+卫星通信+显示主板,002512,33
600301.SH,锡锑锌铟+战略金属+国企改革,600301,17
605081.SH,退市博弈+算力设备+水环境修复,605081,22
002449.SZ,定增过会+MicroLED+车载LED+广东国资,002449,33
603311.SH,新能源车+大飞机+空气过滤,603311,17
600875.SH,燃气轮机+储能+业绩增长+央企,600875,17
600581.SH,此前复牌+特钢+中亚出口+央企,600581,22
000727.SZ,AI显示+MicroLED+央企,000727,33
600193.SH,,600193,22
002828.SZ,,002828,33
002188.SZ,物业+养老+环杭区域,002188,33
002463.SZ,AI服务器PCB+68亿扩产+业绩高增,002463,33
002902.SZ,800G光模块+AI算力+车载磁性元器件,002902,33
603308.SH,燃气轮机+航空发动机+商业航天,603308,17
603843.SH,,603843,22
002421.SZ,AIoT平台+AI应用,002421,33
603138.SH,向量数据库+信创+国产替代,603138,17
600589.SH,算力租赁+IDC+东数西算,600589,17
002975.SZ,液冷服务器+AI服务器测试+年报增长,002975,33
002528.SZ,庭外重组+深圳国资+智慧城市+AI安防,002528,33
301232.SZ,商业航天+风电紧固件+扭亏为盈+回购,301232,33
003041.SZ,探迹科技入主+毛毯龙头,003041,33
000962.SZ,钽铌制品+商业航天+半导体靶材+定增扩产,000962,33
002916.SZ,PCB+AI算力+存储芯片+央企,002916,33
300679.SZ,高速电连接器+PCB+AI服务器+回购,300679,33
605287.SH,AI漫剧+城市更新+扭亏为盈,605287,17
