market_code,股票代码,涨停原因类别[20260427],code
33,301248.SZ,智算云服务+扭亏为盈+华为昇腾,301248
17,600965.SH,,600965
22,605336.SH,退市保壳+集成灶+ST板块,605336
17,600810.SH,,600810
33,000565.SZ,业绩大增+辐射制冷+航天涂料+重庆国资,000565
17,600126.SH,,600126
17,605138.SH,一季报高增+一带一路+智慧纺纱,605138
22,603721.SH,摘帽预期+扭亏+AI语料+长沙国资,603721
33,002289.SZ,IDC并购+算力租赁+液晶显示+间接持股盛合晶微,002289
22,600696.SH,退市博弈+酱香型白酒+市值低于5亿,600696
17,603125.SH,业绩大增+风电+光刻胶,603125
17,603773.SH,玻璃基板+CPO+MicroLED+商业航天,603773
17,603228.SH,AI算力+汽车PCB+800G光模块,603228
17,688677.SH,内窥镜+海外产能+养老金重仓,688677
33,002706.SZ,智算中心+核电+低压电器,002706
33,002581.SZ,,002581
33,300029.SZ,ST板块+新能源EPC+风电项目,300029
17,603272.SH,超跌反弹+墙布龙头+智能家居窗帘,603272
17,600633.SH,,600633
33,002134.SZ,一季报增长+PCB+玻璃芯基板+AI服务器,002134
22,603813.SH,申请撤销退市风险警示+氢能物流+供应链服务,603813
17,600396.SH,火电+绿电+央企,600396
33,002898.SZ,,002898
17,688530.SH,一季度扭亏+半导体靶材+明月湖项目,688530
17,600830.SH,一季报增长+AMC概念+烟草背景,600830
33,001234.SZ,,001234
22,600238.SH,退市博弈+保健酒+海南国资,600238
33,002217.SZ,算力租赁+电子纸+福建国资,002217
17,600400.SH,机器人+男装+低价股,600400
17,603937.SH,,603937
22,603580.SH,新能源电池配件+轻型输送带+退市博弈,603580
22,605081.SH,,605081
33,002808.SZ,,002808
17,605118.SH,年报增长+机器人+无人机,605118
17,688001.SH,拟控股普赛斯+半导体测试+人形机器人,688001
33,000925.SZ,算力租赁+商业航天+智慧交通,000925
17,603579.SH,理疗机器人+AI大模型+按摩椅+美团合作,603579
33,001220.SZ,,001220
33,002785.SZ,铀矿布局+锂资源+石材,002785
22,600193.SH,,600193
33,002058.SZ,铝塑膜+ST摘帽+固态电池,002058
33,002902.SZ,AI算力+800G光模块+磁性元器件+新能源车载,002902
33,000062.SZ,华为昇腾+分销龙头+存储芯片+一季报预增,000062
17,603931.SH,半导体材料+光刻胶+显影液国产替代+客户拓展,603931
33,001325.SZ,,001325
17,600864.SH,,600864
33,000056.SZ,功率半导体+第三代半导体+商业管理,000056
22,600289.SH,,600289
17,600346.SH,,600346
22,688184.SH,扭亏为盈+三元前驱体+钠电布局,688184
33,000716.SZ,,000716
17,603501.SH,LCOS+光通信+AI终端,603501
17,603486.SH,具身智能+海外高增+年报高增,603486
33,002528.SZ,,002528
22,603557.SH,ST板块+童装童鞋+三胎概念,603557
17,605287.SH,AI漫剧+城市更新+扭亏为盈,605287
33,002115.SZ,一季报增长+商业航天+5G中标+AI营销,002115
