market_code,涨停原因类别[20260224],股票代码,code
33,扭亏为盈+房地产去化+跨境物流转型,000668.SZ,000668
17,中药+大健康+青岛国资,600671.SH,600671
33,AI服务器+资产出售+原料药制剂一体化,002898.SZ,002898
17,空芯光纤+算力网络+光纤光缆,601869.SH,601869
33,亏损收窄+安消一体化+ST博弈,003004.SZ,003004
33,MLCC涨价+AI算力+广东国资,000636.SZ,000636
33,油气EPC+天津国资+油气服务,002554.SZ,002554
17,LNG+煤焦化链,601015.SH,601015
33,AI算力+第三方支付+扭亏为盈+摘帽预期,002647.SZ,002647
17,农药制剂+原药一体化+西部大开发,605033.SH,605033
17,油运周期+VLCC运价+央企,600026.SH,600026
33,磷矿自给+磷酸铁+合成氨项目,002539.SZ,002539
17,铌酸锂晶体+商业航天+光伏设备,600330.SH,600330
33,光耦合器+扭亏为盈+珠海国资,002047.SZ,002047
33,ST摘帽预期+LED封装+咖啡机出口,002005.SZ,002005
17,字节概念+数字体验+人形机器人+商业航天,603466.SH,603466
33,太空光伏+TOPCon+钙钛矿+光伏组件,002506.SZ,002506
17,VLCC油运+业绩预增+央企,601872.SH,601872
33,南方电网中标+输变电设备+河南国资,002358.SZ,002358
22,,603268.SH,603268
17,,603000.SH,603000
33,油气开采+海外权益+地缘冲突,002828.SZ,002828
17,光纤概念+光通信,603042.SH,603042
17,特高压+业绩预增+央企,600550.SH,600550
17,,603138.SH,603138
17,人形机器人+固态电池+锂电产线,603959.SH,603959
22,4亿合同+AI智算+ST保壳,600289.SH,600289
33,中标大单+地下管网+PCCP龙头,002457.SZ,002457
17,,603232.SH,603232
33,黄金+白银+并购扩张,000603.SZ,000603
17,,600977.SH,600977
17,玻纤涨价+电子布+股东增持,600176.SH,600176
17,油气开采+FPSO订单+南美市场,603727.SH,603727
33,参股算力+绿电储备+火电+河南国资,001896.SZ,001896
33,智慧城市+深圳国资+减亏+ST板块,002528.SZ,002528
33,PCB+AI算力+存储芯片+央企,002916.SZ,002916
17,,605287.SH,605287
