涨停原因类别[20260518],code,股票代码,market_code
民营医院+大健康+地产去化,600568,600568.SH,22
MiniLED车载背光+VR背光+减持终止,605218,605218.SH,17
ST投机+AI教育+国资背景,600730,600730.SH,22
物理AI+具身智能+算力租赁+AI应用,002354,002354.SZ,33
,002207,002207.SZ,33
存储芯片+AI智算+业绩扭亏,300302,300302.SZ,33
存算基地+武汉国资+供水,600769,600769.SH,17
存储芯片+长江产业控股+湖北国资,002654,002654.SZ,33
物理AI收入+具身智能平台+机器人概念+CAE软件,688507,688507.SH,17
AI子公司+AI智算+装配式建筑+亏损收窄,605318,605318.SH,17
淄博国资入主+葡萄酒+白兰地,603779,603779.SH,17
PCB铜箔+黄金采选+Q1业绩大增,002552,002552.SZ,33
氢氟酸+环氧丙烷龙头+股东增持,601678,601678.SH,17
商业航天+半导体洁净+玻璃微纤维,603601,603601.SH,17
建筑节能+重整预期+连续反弹,603378,603378.SH,22
铝基复材+商业航天+次新股+央企,688811,688811.SH,17
,600759,600759.SH,22
,605299,605299.SH,17
存储芯片+先进封装+央企,000021,000021.SZ,33
车载照明+车灯控制器+汽车电子,603303,603303.SH,17
,000677,000677.SZ,33
地产开发+城中村改造+深圳国资,000006,000006.SZ,33
铟靶材+一季度扭亏+摘帽预期,000711,000711.SZ,33
,002726,002726.SZ,33
,002858,002858.SZ,33
,600370,600370.SH,22
汽车拆解+物流+资产置换+上海国资,600676,600676.SH,17
,002395,002395.SZ,33
,301139,301139.SZ,33
,601010,601010.SH,22
,002717,002717.SZ,33
,300983,300983.SZ,33
,600491,600491.SH,22
智能家居+儿童柜+群核科技酷家乐+实控人变更,002853,002853.SZ,33
预制菜+肉牛养殖+ST博弈,600965,600965.SH,22
,605336,605336.SH,22
,600382,600382.SH,17
商业航天+新材料检测+双碳+央企,603060,603060.SH,17
,603721,603721.SH,22
,002918,002918.SZ,33
,603718,603718.SH,22
,002289,002289.SZ,33
,603203,603203.SH,17
重整申请+东数西算+央企,300212,300212.SZ,33
长鑫产业链+存储芯片+半导体洁净室,601133,601133.SH,17
,603389,603389.SH,22
,603773,603773.SH,17
商业航天+钢丝绳龙头+国企改革,600992,600992.SH,17
人形机器人+一体化压铸+增持,603358,603358.SH,17
,002581,002581.SZ,33
具身智能+商业航天+AI应用,603859,603859.SH,17
,002878,002878.SZ,33
消费电子+精密结构件+苹果+人形机器人规划,002635,002635.SZ,33
,600396,600396.SH,17
,600337,600337.SH,22
商业航天+可控核聚变+可转债受理,605123,605123.SH,17
摘帽申请+智能安防+军工信息化,003004,003004.SZ,33
风光火储+绿电转型+北京国资,600578,600578.SH,17
锂电池+储能并购,600847,600847.SH,17
广药入主+分子诊断+广州国资,002030,002030.SZ,33
海上风电注入+绿色电力+江苏国资,603693,603693.SH,17
广西国资+制糖+冷链物流,000911,000911.SZ,33
,002667,002667.SZ,33
年报扭亏+新能源电池配件+轻型输送带,603580,603580.SH,22
固态电池+锂电设备+光刻胶,301599,301599.SZ,33
AI算力+华为合作,603206,603206.SH,17
煤炭+航空发动机+C919+海南自贸区,000571,000571.SZ,33
,000078,000078.SZ,33
间接投资长鑫科技+合肥国资+房地产,002208,002208.SZ,33
环氧树脂涨价+减亏+央企,600500,600500.SH,17
,600208,600208.SH,17
Token工厂+昇腾集群+算力租赁,300657,300657.SZ,33
控制权变更+复牌+空气过滤,603311,603311.SH,17
创新药+儿科药+海南自贸区,605199,605199.SH,22
预重整+光伏硅片+机器人,603398,603398.SH,22
,600745,600745.SH,22
商业航天+AI算力+央企+行政处罚将落地,600850,600850.SH,17
,002081,002081.SZ,33
ST板块+床垫主业+经营正常,603008,603008.SH,22
,000826,000826.SZ,33
固态断路器+HVDC+商业航天,002927,002927.SZ,33
绿电+风光水协同+浙江国资,600032,600032.SH,17
液冷服务器+AIoT平台+AI应用+机器人概念,002421,002421.SZ,33
储能+电网设备+机器人,002121,002121.SZ,33
人形机器人+智能制造,002514,002514.SZ,33
,603959,603959.SH,22
,000056,000056.SZ,33
液冷并购+瓶盖龙头+北美客户,003018,003018.SZ,33
,000821,000821.SZ,33
,002199,002199.SZ,33
北交所次新+FPC装备+东山精密+业绩预增,920178,920178.BJ,151
钽铌制品+商业航天+半导体靶材+央企,000962,000962.SZ,33
光芯片+CPO+南孚电池+业绩增长,603031,603031.SH,17
,002650,002650.SZ,33
