market_code,code,股票代码,涨停原因类别[20260203]
17,603618,603618.SH,特高压+光通信+超薄铜箔
33,003035,003035.SZ,扭亏为盈+虚拟电厂+零碳园区+央企背景
33,000820,000820.SZ,
33,000711,000711.SZ,ITO靶材+金属铟+资产注入
17,688680,688680.SH,太空光伏+PDCLC调光膜
17,688516,688516.SH,太空光伏+光模块AOI+半导体封测
17,603095,603095.SH,纺织机械+高端装备+AI验布机
22,600355,600355.SH,
17,600785,600785.SH,股权转让+零售+黄金零售
33,002165,002165.SZ,环氧丙烷+技改试产+硬泡聚醚
17,600986,600986.SH,AI营销+算力租赁+GEO概念+浙江国资
33,000995,000995.SZ,白酒+区域强牌+控股股东增持
17,600266,600266.SH,商业航天+北京国资+房地产
17,603612,603612.SH,固态电池+预焙阳极+业绩预增
17,603718,603718.SH,
22,600696,600696.SH,
22,603389,603389.SH,
17,603773,603773.SH,CPO+商业航天+玻璃基板
33,002455,002455.SZ,锂电闭环+负极放量+石墨涨价
33,002581,002581.SZ,创新药+生物医药
33,000668,000668.SZ,扭亏为盈+房地产去化+跨境物流转型
17,603429,603429.SH,
22,603813,603813.SH,
33,000534,000534.SZ,燃气轮机出口+低空经济+高温合金
17,603051,603051.SH,太空光伏+人形机器人+电子皮肤
33,002898,002898.SZ,AI服务器+原料药制剂一体化
33,002361,002361.SZ,商业航天+无人机+聚酯树脂+地方国企
17,605123,605123.SH,可转债+商业航天+可控核聚变
17,603920,603920.SH,人形机器人+PCB概念+数据中心+佛山国资
22,600238,600238.SH,
17,600683,600683.SH,京津冀规划+北京国资+TOD轨道物业
22,603580,603580.SH,
33,002922,002922.SZ,拟H股上市+变压器+数据中心
17,600590,600590.SH,数据中心电源+扭亏为盈+军工装备
33,000736,000736.SZ,
33,002808,002808.SZ,
33,002865,002865.SZ,太空光伏+TOPCon电池+外销
17,600330,600330.SH,铌酸锂晶体+光通信/CPO+商业航天
33,000608,000608.SZ,控制权变更+商业地产+摘星预期
33,002785,002785.SZ,铀矿+锂资源+石材
33,000039,000039.SZ,商业航天+数据中心+海工装备
33,002058,002058.SZ,固态电池+铝塑膜+汽车检具
17,603285,603285.SH,回购完成+锂电材料+环保助剂
33,002364,002364.SZ,HVDC+智算中心+算力
22,603843,603843.SH,智算服务+赛马概念+有色金属
17,603172,603172.SH,分散染料涨价+聚酰亚胺+越南子公司
33,000821,000821.SZ,钙钛矿设备+锂电订单新高+北美突破
33,301362,301362.SZ,PCB钻针+LED照明+一带一路
33,000962,000962.SZ,定增过审+商业航天+央企
17,603031,603031.SH,商业航天+CPO+南孚电池+业绩预增
22,603557,603557.SH,电解铝+童装童鞋+ST板块
