涨停原因类别[20260506],code,股票代码,market_code
功率半导体+陶瓷管壳+北交所次新,920181,920181.BJ,151
算力租赁+IDC+东数西算,600589,600589.SH,17
,300396,300396.SZ,33
,600182,600182.SH,17
AI医疗+体检龙头+章建平新进,002044,002044.SZ,33
,600734,600734.SH,22
FCBGA载板+半导体转型+国资背景,002989,002989.SZ,33
,600080,600080.SH,22
碳酸锂+石英晶体+申请撤销退市风险警,002199,002199.SZ,33
铜箔+PCB+陕西国资+次新股,688813,688813.SH,17
圆柱电池+人形机器人+马来西亚产能,002245,002245.SZ,33
算电协同+东数西算+扭亏为盈+央企,000815,000815.SZ,33
探迹科技入主+要约收购完成+毛毯龙头,003041,003041.SZ,33
蒙电入苏+绿电+央企,601991,601991.SH,17
童装童鞋+三胎概念+ST板块+复牌,603557,603557.SH,22
一季度扭亏为盈+房地产+北京国资,000402,000402.SZ,33
