code,涨停原因类别[20260525],market_code,股票代码
300868,AI穿戴+新材料+ODM/OEM+并购控股,33,300868.SZ
002056,磁性材料+机器人+AI算力+光伏,33,002056.SZ
000995,白酒+区域强牌+增持完成,33,000995.SZ
603919,白酒+全国化扩张+高端产品升级,17,603919.SH
603203,先进封装+TCB设备+光模块+AI芯片,17,603203.SH
601666,煤炭开采加工+主焦煤+河南国资,17,601666.SH
603272,ST博弈+流通盘小+墙布,22,603272.SH
300939,液晶显示+电子纸+机器人,33,300939.SZ
000926,城中村改造+武汉地产+金属制品+碳中和,33,000926.SZ
600396,绿电+火电+央企,17,600396.SH
000510,石英砂+钽锡钨铌+栗木矿复产+氯碱龙头,33,000510.SZ
603517,ST摘帽预期+卤味龙头+冷链物流,22,603517.SH
600310,绿电扩张+海上风电+广西国资,17,600310.SH
002718,实控人变更+集成吊顶+智能家居,33,002718.SZ
600578,风光火储+绿电转型+北京国资,17,600578.SH
000636,MLCC涨价+AI算力+商业航天+广东国资,33,000636.SZ
002185,30亿扩产+存储芯片+先进封装,33,002185.SZ
002667,控制权拟变更+锂矿+ST反弹,33,002667.SZ
300275,矿山机器人+矿山安全大模型+分红,33,300275.SZ
002407,,33,002407.SZ
600539,机器视觉+收购利珀科技+AI应用+锂电订单,17,600539.SH
002856,国资背景+ST摘帽预期+建筑装饰,33,002856.SZ
600969,电力+赞比亚光伏+低空经济+郴州国资,17,600969.SH
600584,先进封装+CPO+央企,17,600584.SH
688001,半导体测试+人形机器人+苹果订单,17,688001.SH
000518,地天板+摘帽+生物医药+园林绿化,33,000518.SZ
600745,80亿诉讼+实控人增持+半导体IDM,22,600745.SH
002851,英伟达AI电源+算力基础设施+数据中心电源,33,002851.SZ
603008,,22,603008.SH
605168,,17,605168.SH
002927,固态断路器+HVDC+数据中心,33,002927.SZ
002421,液冷服务器+AIoT平台+机器人概念+AI应用,33,002421.SZ
600162,广州项目+大湾区住宅+家居商贸,17,600162.SH
603730,人形机器人+特斯拉+遮阳板龙头+北美扩产,17,603730.SH
000676,,33,000676.SZ
002514,人形机器人+智能制造+亏损收窄,33,002514.SZ
603990,康养陪伴机器人+AI医疗+低空救援+国企改革,17,603990.SH
000509,拟定增+PCB钻针+CCER+湖北国资,33,000509.SZ
603956,机器人巡检+河图AI+液冷+智慧水务,17,603956.SH
000056,退市博弈+债务化解+功率半导体,33,000056.SZ
600889,重组完成+商业航天+滚珠丝杠+国企,22,600889.SH
002432,参与投资月之暗面+参与投资沐曦+AI医疗+家用检测,33,002432.SZ
002947,精密结构件+算力服务器+AI终端+消费电子,33,002947.SZ
002199,碳酸锂+石英晶体+申请撤销退市风险警,33,002199.SZ
002975,AI服务器测试+MLCC设备+液冷,33,002975.SZ
