股票代码,code,涨停原因类别[20260507],market_code
600818.SH,600818,,22
600735.SH,600735,,22
002317.SZ,002317,创新药+流感+RAY1225,33
002951.SZ,002951,间接投资光纤公司+储能电站+超级电容,33
002175.SZ,002175,,33
600678.SH,600678,,22
603598.SH,603598,AI营销+短剧出海+业绩增长,17
603688.SH,603688,半导体石英+光纤材料+高纯石英砂,17
603315.SH,603315,燃气轮机+核电铸件+算力租赁,17
002824.SZ,002824,折叠屏+新能源汽车电池结构件+业绩高增,33
603459.SH,603459,PCB扩产+1.6T光模块+存储芯片,17
600084.SH,600084,,22
000066.SZ,000066,CPU+AI服务器电源+央企,33
002198.SZ,002198,,33
000697.SZ,000697,摘帽+航空发动机+无人机+四川国资,33
600537.SH,600537,预重整协议+TOPCon电池+ST板块,22
688069.SH,688069,股份转让+湖泊生态医院+扭亏为盈,17
603938.SH,603938,光纤材料+存储芯片+电子特气,17
600107.SH,600107,ST保壳+储能出售+服装扭亏,22
600673.SH,600673,算力大单+液冷+制冷剂涨价,17
605006.SH,605006,玻纤涨价+风电纱+山东国资,17
603278.SH,603278,人形机器人+腱绳+商业航天+胎圈钢丝,17
600815.SH,600815,电动装载机+矿山装备+工程机械+厦门国资,17
600243.SH,600243,申请撤销退市风险警示+电梯配件+天然气,22
605218.SH,605218,MiniLED车载背光+定增落地,17
002323.SZ,002323,,33
600730.SH,600730,集成电路+国资背景+ST板块,22
002436.SZ,002436,FCBGA封装基板+算力芯片+存储芯片+回购,33
603895.SH,603895,人形机器人+固态电池+锂电池装备,17
301171.SZ,301171,AI营销+出海服务+H股上市,33
603318.SH,603318,,17
002207.SZ,002207,ST板块+油气服务+新疆国资,33
601718.SH,601718,,22
600130.SH,600130,摘帽+参股华大北斗+汽车电子+消费电子,17
000010.SZ,000010,,33
603922.SH,603922,,22
002552.SZ,002552,PCB铜箔+黄金采选+Q1业绩大增,33
603997.SH,603997,乘用车座椅+特斯拉概念+海外订单,17
600610.SH,600610,季戊四醇+扭亏+中字头,17
603378.SH,603378,,22
603618.SH,603618,光纤涨价+特高压+锂电铜箔+一季报增长,17
300819.SZ,300819,人形机器人+固态电池+超细纤维,33
600736.SH,600736,参股联讯仪器+商业航天+产业园运营+苏州,17
600759.SH,600759,,22
000823.SZ,000823,PCB+算力+国资,33
600707.SH,600707,玻璃基板+ITC胜诉+国企改革,17
000677.SZ,000677,,33
000711.SZ,000711,铟靶材+固危废资源化+一季度扭亏,33
002051.SZ,002051,中东重建+国际工程+算力+一带一路,33
002183.SZ,002183,AI算力+存储芯片+深圳国资+出海,33
002726.SZ,002726,,33
001270.SZ,001270,摘帽+T/R芯片+商业航天,33
600284.SH,600284,算力+基建中标+上海国资,17
600370.SH,600370,,22
000720.SZ,000720,光纤+电缆+实控人中国华能+央企,33
603095.SH,603095,AI验布机+高端装备+纺织机械,17
000889.SZ,000889,算力租赁+通信运维+5G消息+亏损收窄,33
920152.BJ,920152,储能电池订单+铝基铅炭+湿法冶金,151
601996.SH,601996,林业+人造板+碳中和,17
605158.SH,605158,热镀锌板+南通项目+一带一路,17
002915.SZ,002915,PEEK材料+人形机器人+钠电池,33
002655.SZ,002655,增持+车载声学+MEMS芯片,33
002930.SZ,002930,算力+石化仓储+交割资质,33
605258.SH,605258,PCB概念+汽车电子+高分红,17
603002.SH,603002,PCB+覆铜板+环氧树脂+英伟达链,17
601010.SH,601010,,22
600936.SH,600936,重大资产置换完成+智慧交通+机器人+广西国资,17
000070.SZ,000070,光纤光缆+CPO+算力租赁+深圳国资,33
002929.SZ,002929,算力+AI智能体+通信网络管维,33
000700.SZ,000700,人形机器人+订单落地+保险杠龙头,33
600491.SH,600491,,22
000752.SZ,000752,,33
300868.SZ,300868,AI穿戴+新材料+ODM/OEM,33
600965.SH,600965,,22
603306.SH,603306,800G光模块+CPO,17
002102.SZ,002102,,33
002031.SZ,002031,人形机器人+RV减速器+XT减速器,33
300052.SZ,300052,算力+游戏+摘帽,33
002885.SZ,002885,电源类产品+磁性元器件+数据中心+储能,33
300430.SZ,300430,,33
002289.SZ,002289,摘帽申请+一季报暴增+IDC并表+算力租赁,33
002698.SZ,002698,人形机器人+智能制造,33
002581.SZ,002581,,33
603272.SH,603272,,22
000668.SZ,000668,摘帽预期+跨境物流转型+房地产去化,33
603538.SH,603538,,17
600396.SH,600396,绿电+氢能+央企,17
603158.SH,603158,液冷服务器+新能源车热管理+一季报增长,17
600337.SH,600337,,22
002384.SZ,002384,光模块+AI PCB+业绩高增,33
002298.SZ,002298,算电协同+储能+智能输配电,33
003004.SZ,003004,摘帽申请+安消一体化+智能安防,33
000967.SZ,000967,算力租赁+智慧环卫+机器人+转债提前赎回,33
603045.SH,603045,风光储能+数据中心+电接触材料+业绩大增,17
002217.SZ,002217,算力租赁+电子纸+福建国资,33
002667.SZ,002667,,33
603580.SH,603580,年报扭亏+轻型输送带+新能源电池配件,22
002647.SZ,002647,AI算力+第三方支付+摘帽,33
603636.SH,603636,算力租赁+AI政务+华为合作,17
600539.SH,600539,并购重组+机器视觉+锂电订单,17
000078.SZ,000078,,33
600187.SH,600187,,22
301000.SZ,301000,人形机器人+PEEK材料+精密注塑+新能源汽车,33
002047.SZ,002047,光耦合器+珠海国资+建筑装饰+摘帽申请,33
603398.SH,603398,预重整+光伏硅片+ST板块,22
600745.SH,600745,,22
002194.SZ,002194,6G预研+商业航天+射频滤波器龙头,33
002058.SZ,002058,铝塑膜+固态电池+摘帽预期,33
002081.SZ,002081,半导体洁净室+海外EPC+城市更新,33
603008.SH,603008,,22
000826.SZ,000826,预重整+数字环卫,33
002664.SZ,002664,人形机器人+电机定转子+低空经济,33
603738.SH,603738,625MHz晶振+光模块+人形机器人,17
600476.SH,600476,一季报扭亏+智慧物流+车联网+央企,22
605168.SH,605168,算力租赁+英伟达合作+AI营销,17
605598.SH,605598,商业航天+钙钛矿电池+一带一路,17
603931.SH,603931,半导体材料+光刻胶+显影液国产替代+客户拓展,17
603067.SH,603067,铬盐龙头+储能+锂电池,17
002109.SZ,002109,,33
603843.SH,603843,,22
002757.SZ,002757,算力+家具智造,33
000639.SZ,000639,,33
002514.SZ,002514,,33
000509.SZ,000509,显示器+工业母机+CCER+湖北国资,33
000056.SZ,000056,,33
002729.SZ,002729,储能熔断器+光伏+风电,33
002350.SZ,002350,电网设备+储能出海+中标大单,33
600080.SH,600080,,22
603226.SH,603226,智能家居+木地板+控制权转让,17
688167.SH,688167,光通信+CPO+微光学,17
300807.SZ,300807,拟收购芬能+复牌+工业自动化,33
003041.SZ,003041,探迹科技入主+要约收购完成+毛毯龙头,33
601991.SH,601991,蒙电入苏+绿电+央企,17
603557.SH,603557,童装童鞋+三胎概念+ST板块+复牌,22
600522.SH,600522,光纤涨价+算力基建+储能扩产,17
