code,股票代码,market_code,涨停原因类别[20260513]
603922,603922.SH,22,超跌反弹+汽车零部件+控制权不稳
603290,603290.SH,17,IGBT+AI电源+车规级SiC+低空飞行器
603378,603378.SH,22,ST反弹+涂装业务+重整预期
002569,002569.SZ,33,控制权变更+扭亏+男装品牌+宝鸡国资
603261,603261.SH,22,低空经济+无人机+航空装备
600759,600759.SH,22,
600530,600530.SH,17,保健品+宠物新品+益生菌+养老护理
600707,600707.SH,17,玻璃基板+ITC胜诉+国企改革
603063,603063.SH,17,储能+风电设备+氢能
000677,000677.SZ,33,
603936,603936.SH,17,800G光模块+AI算力+AMB陶瓷衬板
000711,000711.SZ,33,铟靶材+一季度扭亏+摘帽预期
688187,688187.SH,17,H股回购+功率半导体+智能电网大功率模块
002183,002183.SZ,33,AI算力+存储芯片+深圳国资+出海
002211,002211.SZ,33,有机硅+一季度扭亏+ST摘帽预期
688003,688003.SH,17,PCB业务+半导体检测+人形机器人
002703,002703.SZ,33,线控转向+无人驾驶+定点车企
603120,603120.SH,17,催化材料+芯片+光刻胶
603535,603535.SH,17,海南自贸港+低空物流+跨境电商
002938,002938.SZ,33,PCB龙头+AI服务器+人形机器人+淮安HD园区动工
600370,600370.SH,22,
000720,000720.SZ,33,光纤+电缆+实控人中国华能+央企
000889,000889.SZ,33,算力租赁+5G消息+通信运维+亏损收窄
605158,605158.SH,17,热镀锌板+南通项目+一带一路
301139,301139.SZ,33,
601010,601010.SH,22,
002929,002929.SZ,33,算力租赁+Token工厂+通信网络管维
920469,920469.BJ,151,机器人+PEEK材料+改性塑料
603069,603069.SH,17,免税重组+海南国资+客运龙头
600965,600965.SH,22,整改计划+ST博弈+预制菜
603679,603679.SH,17,低空经济+华为超充+智慧路灯+储能
603023,603023.SH,17,乘用车拓展+精密金属零部件+重大资产重组+国企改革
688625,688625.SH,17,覆铜板材料+成核剂+国产替代+业绩高增
002629,002629.SZ,33,油服工程+储能电站+光伏EPC
002885,002885.SZ,33,电源类产品+磁性元器件+数据中心+储能
002918,002918.SZ,33,先进陶瓷布局+建筑陶瓷+地产链
603203,603203.SH,17,先进封装+TCB设备+光模块+AI芯片
003001,003001.SZ,33,核电中标+可控核聚变+岩土工程
603272,603272.SH,22,ST板块+墙布+流通盘小
002782,002782.SZ,33,电源产品+机器人+墨西哥扩产
600396,600396.SH,17,绿电+火电+央企
600337,600337.SH,22,拟收购万德溙+铜缆高速连接+重整预期+回购延期
603838,603838.SH,22,锆钛矿+陶瓷+摘帽预期
300959,300959.SZ,33,股东转让+短剧分销+移动信息服务
600578,600578.SH,17,风光火储+绿电转型+北京国资
300965,300965.SZ,33,拟收购神导科技+复牌+军工导航
002667,002667.SZ,33,
002290,002290.SZ,33,增资CPU+家电复合材料+年报增长
002512,002512.SZ,33,卫星通信+商业航天+一季报扭亏
002922,002922.SZ,33,数据中心变压器+北美订单+海外产能
002454,002454.SZ,33,储能热管理+宁德时代+墨西哥扩产+汽车热管理
000078,000078.SZ,33,
002856,002856.SZ,33,国资背景+建筑装饰+ST摘帽预期
603070,603070.SH,17,数据中心+电气机柜+储能+沙特设厂
002208,002208.SZ,33,间接持有长鑫科技+房地产+合肥国资
002842,002842.SZ,33,钨全产业链+光伏钨丝+一季报大增
600500,600500.SH,17,环氧树脂涨价+减亏+央企
603093,603093.SH,17,期货经纪+境外清算+一季报高增
000925,000925.SZ,33,磷化铟+算力租赁+商业航天
003007,003007.SZ,33,算力租赁+商业航天+OSS
002658,002658.SZ,33,碳监测+CCER系统过审+商业航天
600745,600745.SH,22,
000993,000993.SZ,33,绿色电力+福建国资
002851,002851.SZ,33,英伟达AI电源+算力基础设施+储能
000880,000880.SZ,33,发电机组+数据中心+一季报增长
688323,688323.SH,17,PI薄膜+AI服务器上游+商业航天+国产替代
603285,603285.SH,17,产品涨价+锂电材料+环保助剂
605168,605168.SH,17,算力租赁+英伟达合作+AI营销
002364,002364.SZ,33,数据中心电源+HVDC+宁德时代入股
600737,600737.SH,17,药用糖+食糖龙头+央企
603843,603843.SH,22,
000639,000639.SZ,33,玉米油+境外重整+ST反弹
002514,002514.SZ,33,人形机器人+光伏+智能制造
600482,600482.SH,17,燃气轮机+船用柴油机+央企
002199,002199.SZ,33,碳酸锂+石英晶体+申请撤销退市风险警
300210,300210.SZ,33,算力合同+公路养护+机器人
001223,001223.SZ,33,PI膜+锂电隔膜设备+机器人
002528,002528.SZ,33,庭外重组+深圳国资+智慧城市+AI安防
002375,002375.SZ,33,装配式建筑+建筑节能+3D打印
601991,601991.SH,17,蒙电入苏+绿电直供+央企
