股票代码,涨停原因类别[20260323],market_code,code
605199.SH,,22,605199
300385.SZ,重整协议+复牌+常州国资,33,300385
600193.SH,,22,600193
600988.SH,,17,600988
002058.SZ,,33,002058
002194.SZ,,33,002194
002627.SZ,,33,002627
603008.SH,,17,603008
002689.SZ,,33,002689
600032.SH,绿电+氢能+浙江国资,17,600032
603843.SH,算力租赁+重整预期+基建转型,22,603843
000656.SZ,,33,000656
603829.SH,,17,603829
000020.SZ,,33,000020
000509.SZ,,33,000509
000903.SZ,,33,000903
600289.SH,,22,600289
605058.SH,,17,605058
000603.SZ,,33,000603
002316.SZ,,33,002316
603727.SH,FPSO南美大单+油气开采及服务+圭亚那项目,17,603727
601999.SH,,17,601999
600222.SH,,17,600222
603687.SH,拟投GPU+钙钛矿设备+参股曲速科技+纸包装,17,603687
605287.SH,,17,605287
