涨停原因类别[20260129],market_code,股票代码,code
实控人公开信+退市风险+数字云服务,33,300344.SZ,300344
,33,002883.SZ,002883
存储芯片+机器人+业绩预增+收购立功,33,300975.SZ,300975
白酒+清香龙头+山西国资,17,600809.SH,600809
油气服务+新疆国资+定增推进,33,002207.SZ,002207
业绩预盈+股权转让终止+风电模具,22,600421.SH,600421
,33,002277.SZ,002277
,33,002231.SZ,002231
AI4S+混凝土外加剂+雅下水电,17,603916.SH,603916
油气开采+哈萨克斯坦油田+海南自贸区,17,600759.SH,600759
白酒+徽酒龙头+生态洞藏,17,603198.SH,603198
油气+北美巨头合作+射孔技术,33,300164.SZ,300164
房地产经纪+租售同权+三季报增长,33,000560.SZ,000560
白酒+高端浓香+梁朝伟代言,17,600779.SH,600779
ITO靶材+有色金属+金属铟+资产注入,33,000711.SZ,000711
扭亏为盈+深圳国资+房地产,33,000029.SZ,000029
白酒+分红+悦己消费+国企,33,000568.SZ,000568
,33,001270.SZ,001270
,22,600355.SH,600355
赛马概念+文旅转型+广州国资,33,002678.SZ,002678
年报预增+新能源转型+央企回购,33,000554.SZ,000554
黄金+零售+股权转让,17,600785.SH,600785
分散染料+宇树科技+创新药,17,603980.SH,603980
染料龙头+涨价+年报预增,33,002440.SZ,002440
白酒+国缘V3+国企改革,17,603369.SH,603369
AI营销+GEO概念+浙江国资,17,600986.SH,600986
甲醇+风电+国企改革,17,600722.SH,600722
白酒+区域强牌+控股股东增持,33,000995.SZ,000995
拟收购特福国际+非洲建材+陶瓷机械+复牌,17,600499.SH,600499
白酒+高端产品增长+全国化布局,17,603919.SH,603919
化工+脂肪醇+PVC+回购进展,17,600273.SH,600273
青稞酒+出海,33,002646.SZ,002646
业绩预增+电池铝箔+电解铝,17,603876.SH,603876
安哥拉电解铝+热电联产+境外投资,33,001376.SZ,001376
酱香型白酒+退市风险+直播电商,22,600696.SH,600696
磷酸铁锂+锂电闭环+精细化工,33,002455.SZ,002455
黄金销售+培育钻石+央企,17,600916.SH,600916
,17,600119.SH,600119
,33,002898.SZ,002898
,33,000510.SZ,000510
,33,003004.SZ,003004
年报预增+再生铝+汽车拆解,17,601388.SH,601388
,33,002030.SZ,002030
,17,603678.SH,603678
无人巴士+越南产能+业绩预增,33,002970.SZ,002970
AI营销+字节生态+智驾营销,33,300781.SZ,300781
,33,002047.SZ,002047
,22,600193.SH,600193
IP经济+绿色地产+数字文旅,33,000863.SZ,000863
,33,002689.SZ,002689
,22,603843.SH,603843
天然气+西部大开发+前三季度业绩同比扭亏,33,002259.SZ,002259
房地产+上海国资+回购,17,600649.SH,600649
商业地产+物业管理+大消费+央企,33,000031.SZ,000031
分散染料涨价+聚酰亚胺+越南子公司,17,603172.SH,603172
,33,002214.SZ,002214
农药+农业股联动+光气资源,17,603599.SH,603599
,33,002199.SZ,002199
,33,002528.SZ,002528
,17,603090.SH,603090
