涨停原因类别[20260430],股票代码,code,market_code
一季报增长+钠电材料+硅碳负极,002591.SZ,002591,33
,002620.SZ,002620,33
,002630.SZ,002630,33
预重整推进+无缝服装主业+ST板块,002634.SZ,002634,33
一季报净利扭亏+跨境电商+母婴奶粉,002640.SZ,002640,33
一季报大增+稀土回收+汽车拆解,002645.SZ,002645,33
港机出海+GPU芯片+一季报增长,002685.SZ,002685,33
,002691.SZ,002691,33
,002726.SZ,002726,33
,002731.SZ,002731,33
一季报增长+高分红+内衣主业,002763.SZ,002763,33
铀矿布局+锂资源+石材,002785.SZ,002785,33
业绩扭亏+磷酸铁锂+固态电池,002805.SZ,002805,33
,002808.SZ,002808,33
一季报大增+光伏钨丝+钨全产业链,002842.SZ,002842,33
ST更名+国资背景+建筑装饰,002856.SZ,002856,33
定增获批+人形机器人+低空经济+智能座舱,002870.SZ,002870,33
,002898.SZ,002898,33
算力+AI智能体+通信网络管维,002929.SZ,002929,33
商业航天+军工电子+固态发射机+ST板块,002977.SZ,002977,33
半导体转型+FCBGA载板+国资背景,002989.SZ,002989,33
算力采购+人形机器人+智慧口岸,002990.SZ,002990,33
,300068.SZ,300068,33
定增审核通过+人形机器人+液冷+数控机床,300083.SZ,300083,33
,300212.SZ,300212,33
,300594.SZ,300594,33
光通信+机器人+光电集成封测,300632.SZ,300632,33
人形机器人+一季报增长+商业航天+越南建厂,300885.SZ,300885,33
锂电池+热水服务+拟购科冠聚合物股权+国资背景,600052.SH,600052,17
,600053.SH,600053,22
,600080.SH,600080,22
,600084.SH,600084,22
体育产业+一季报减亏+央企,600158.SH,600158,17
,600180.SH,600180,22
拟并购先导电科+半导体靶材+衢州国资,600208.SH,600208,17
,600239.SH,600239,22
PCIe5.0芯片+商业航天+科技转型+房地产,600246.SH,600246,17
资产出售+物业管理+天津国资,600322.SH,600322,17
,600370.SH,600370,22
电子特气+氢能+储能+特高压+央企,600379.SH,600379,17
申请摘帽+酒水高增+虫草龙头,600381.SH,600381,22
养老机器人+男装+扭亏为盈,600400.SH,600400,17
氢能碳纸+土地补偿+一季报增长+央企,600433.SH,600433,17
一季报扭亏+智慧物流+车联网+央企,600476.SH,600476,22
,600537.SH,600537,22
一季报增长+棉籽蛋白+棉花+兵团国资,600540.SH,600540,17
,600545.SH,600545,17
量子科技+医药+园区+上海国资,600624.SH,600624,22
,600678.SH,600678,22
国家电投入主+碳酸锶+硫磺+30万吨天青石项目,600714.SH,600714,17
集成电路+国资背景+ST板块,600730.SH,600730,22
,600734.SH,600734,22
,600735.SH,600735,22
,600759.SH,600759,22
,600818.SH,600818,22
,600821.SH,600821,17
,601010.SH,601010,22
一季报增长+百货零售+IP经济+参股券商,601086.SH,601086,17
扭亏为盈+核电装备+央企,601106.SH,601106,17
控股股东增持+会展+北京国资+养老,601588.SH,601588,17
,601717.SH,601717,17
,603008.SH,603008,22
一季报扭亏+AI智慧建造+先进光源+建筑装饰,603030.SH,603030,17
一季报大增+数据中心+风光储能+电接触材料,603045.SH,603045,17
AI验布机+高端装备+纺织机械,603095.SH,603095,17
,603113.SH,603113,17
一季报增长+云母材料+人形机器人+泰国产能,603119.SH,603119,17
一季报增利+商业航天+焊接切割+机器人,603131.SH,603131,17
一季报扭亏+汽车零部件+高压泵量产+飞行汽车定点,603178.SH,603178,17
业绩增长+10转4派3+新能源汽车零部件,603190.SH,603190,17
*ST+墙布+流通盘小,603272.SH,603272,22
,603359.SH,603359,22
半导体设备+工业杀菌剂+减持终止+回购,603360.SH,603360,17
电子雷管+芯片概念+低空经济+分红,603375.SH,603375,17
申请撤销退市风险警示+锆钛选矿+家居业务,603389.SH,603389,22
预重整+光伏硅片+ST板块,603398.SH,603398,22
锂盐产能扩张+一季度扭亏+固态电池材料,603399.SH,603399,17
,603516.SH,603516,17
ST摘帽预期+通信工程+扭亏为盈,603559.SH,603559,22
年报扭亏+轻型输送带+新能源电池配件,603580.SH,603580,22
拟投GPU+钙钛矿设备+纸包装,603687.SH,603687,17
一季报增长+绿氢工程+煤气化+央企,603698.SH,603698,17
一季报扭亏+零食量贩+线下茶饮,603711.SH,603711,17
生猪养殖+红曲业务+猪肉概念+绿色电力,603717.SH,603717,17
一季报增长+机器人关节+先进封装+空调风叶,603726.SH,603726,17
,603729.SH,603729,22
控制权变更+光伏建筑一体化+装配化装修,603828.SH,603828,22
算力租赁+重整预期+ST板块,603843.SH,603843,22
机器人+电磁线+新能源汽车,603897.SH,603897,17
,603922.SH,603922,22
电池铝箔+扭亏为盈+锂电池概念,603937.SH,603937,17
,603959.SH,603959,22
业绩增长+体育产业+人造草坪,605099.SH,605099,17
一季报增长+可控核聚变+商业航天,605123.SH,605123,17
一季报增长+海缆扩产+商业航天,605222.SH,605222,17
一季报增长+体育产业+健身器材,605299.SH,605299,17
一季报高增+MLCC镍粉+扩产640吨,605376.SH,605376,17
业绩高增+固态电池+海外订单,688155.SH,688155,17
一季报大增+AI芯片+算力需求,688256.SH,688256,17
具身智能+CPO+机器视觉+一季报高增,688400.SH,688400,17
,688496.SH,688496,22
AI算力订单+半导体IP+Chiplet,688521.SH,688521,17
一季报增长+拟收购菲莱测试+半导体检测,688531.SH,688531,17
一季报扭亏+Micro LED+芯片设计+封装测试,688699.SH,688699,17
一季报增长+先进封装+果链+北交所次新股,920125.BJ,920125,151
