股票代码,code,market_code,涨停原因类别[20260519]
603316.SH,603316,17,存储芯片+定增扩产+业绩暴增
000016.SZ,000016,33,华润保壳+半导体+PCB+央企
600379.SH,600379,17,
603999.SH,603999,17,AIGC+文创产品+甘肃国资
002082.SZ,002082,33,
002592.SZ,002592,33,股权激励达成+汽车热管理+新能源客户
600381.SH,600381,22,
002620.SZ,002620,33,
002181.SZ,002181,33,
600353.SH,600353,17,光刻机+氮化铝+可控核聚变+电力设备
002988.SZ,002988,33,机器人材料+铝型材+汽车轻量化+商业航天
600863.SH,600863,17,新能源装机+煤电联营+央企
600481.SH,600481,17,光伏+液冷服务器+氢能装备
600452.SH,600452,17,电力+配电网节能+央企
002175.SZ,002175,33,
600678.SH,600678,22,
000669.SZ,000669,33,重整协议+实控人变更+天然气+ST
002691.SZ,002691,33,机器人+煤矿装备+ST板块
002246.SZ,002246,33,硝化棉+商业航天+军工+央企
600506.SH,600506,17,控制权变更+液冷+储能+央企
605288.SH,605288,17,机器人+线性驱动+智能家居
300152.SZ,300152,33,氢能燃烧+亏损收窄+ST摘帽预期
688126.SH,688126,17,300mm硅片+存储芯片+并购重组
000910.SZ,000910,33,电池箔+铝板带+地板龙头+分红到账
603822.SH,603822,22,生物航煤+环保增塑剂+扭亏
603083.SH,603083,17,800G/1.6T光模块+订单旺盛+扩产
000417.SZ,000417,33,间接投资长鑫科技+合肥国资+区域零售
603938.SH,603938,17,存储上游+光纤材料+硅产品
600537.SH,600537,22,预重整推进+TOPCon电池+ST博弈
600758.SH,600758,17,电力+煤炭+国企
600903.SH,600903,17,页岩气收购+天然气+贵州国资
002272.SZ,002272,33,液冷服务器+定增扩产+风电装备
600243.SH,600243,22,
605218.SH,605218,17,MiniLED车载背光+VR背光+减持终止
600186.SH,600186,17,算力到货+味精龙头+业绩高增
002178.SZ,002178,33,AI医疗+智慧城市+数字能源
002323.SZ,002323,33,BIPV+储能+枣庄国资
002484.SZ,002484,33,AI服务器+超级电容+浙江国资
300616.SZ,300616,33,AI设计+机器人+海外扩张
002207.SZ,002207,33,新疆国资+油气服务+转型预期
601718.SH,601718,22,军需品+央企+ST摘帽预期
000811.SZ,000811,33,液冷订单+拟收购+国企
300658.SZ,300658,33,
603779.SH,603779,17,淄博国资入主+葡萄酒+白兰地
002552.SZ,002552,33,PCB铜箔+黄金采选+Q1业绩大增
603108.SH,603108,17,AI医疗+华为合作+杭州国资+出海
600759.SH,600759,22,
605299.SH,605299,17,
001326.SZ,001326,33,植物照明+机器人+充电桩+LED灯具
000677.SZ,000677,33,
605376.SH,605376,17,MLCC镍粉+扩产640吨+光伏+一季报高增
600370.SH,600370,22,
301120.SZ,301120,33,固态变压器+储能+数据中心+机器人
600246.SH,600246,17,PCIe5.0芯片+商业航天+科技转型
301139.SZ,301139,33,
600936.SH,600936,17,AI应用+智慧交通+机器人概念+广西国资
600491.SH,600491,22,ST超跌反弹+零碳园区+基建总包
600831.SH,600831,17,算力租赁+广电5G+陕西国资
000586.SZ,000586,33,光纤+特种光缆+定增推进
600965.SH,600965,22,预制菜+肉牛养殖+ST整改
601222.SH,601222,17,算电协同布局+中标国网+储能签约+回购注销
000026.SZ,000026,33,拟收购长空齿轮+激光器零部件+精密制造+央企
603178.SH,603178,17,机器人关节驱动+飞行汽车+泵类龙头
002289.SZ,002289,33,
603389.SH,603389,22,
688182.SH,688182,17,HTCC陶瓷封装+商业航天+5G-A滤波器
002581.SZ,002581,33,
688610.SH,688610,17,PCB检测+机器人视觉+业绩高增
603272.SH,603272,22,ST板块+墙布+流通盘小
002782.SZ,002782,33,电源产品+机器人+墨西哥扩产
603163.SH,603163,17,中标3.36亿+半导体洁净室+东南亚订单
002281.SZ,002281,33,1.6T光模块+CPO+央企
300634.SZ,300634,33,AI企业50强+算力+智算中心
600310.SH,600310,17,绿电扩张+海上风电+广西国资
688360.SH,688360,17,人形机器人+具身智能+直线关节模组
000636.SZ,000636,33,MLCC涨价+AI算力+商业航天+广东国资
688419.SH,688419,17,半导体封装设备+存储芯片+出口龙头
002667.SZ,002667,33,
603580.SH,603580,22,
002512.SZ,002512,33,卫星通信+商业航天+一季报扭亏
603636.SH,603636,17,算力租赁+Token工厂+AI政务+华为合作
603206.SH,603206,17,AI算力+华为合作+训推一体机
600539.SH,600539,17,
000078.SZ,000078,33,
002856.SZ,002856,33,国资背景+建筑装饰+ST摘帽预期
000600.SZ,000600,33,火电盈利+定增获批+河北国资
002208.SZ,002208,33,间接投资长鑫科技+地产开发+合肥国资
603466.SH,603466,17,AI体验+人形机器人+数字展馆
600208.SH,600208,17,
300657.SZ,300657,33,Token工厂+昇腾集群+算力租赁
603311.SH,603311,17,控制权变更+昨日复牌+空气过滤
600745.SH,600745,22,
601929.SH,601929,17,AI应用+算力+阿里云合作+国企改革
600850.SH,600850,17,AI算力+商业航天+央企+行政处罚将落地
002845.SZ,002845,33,芯片封测+车载模组
603008.SH,603008,22,AI床垫+脑机接口+ST重整
000899.SZ,000899,33,火电+绿电+江西国资
603067.SH,603067,17,铬盐龙头+储能+锂电池
002421.SZ,002421,33,液冷服务器+机器人概念+AIoT平台+AI应用
000639.SZ,000639,33,玉米油+流拍+ST反弹
002514.SZ,002514,33,人形机器人+智能制造+亏损收窄
603959.SH,603959,22,钾电产线+锂电装备+ST重组
000903.SZ,000903,33,无人智驾+发动机+昆明国资
000821.SZ,000821,33,钙钛矿设备+机器人+回购
600734.SH,600734,22,中标+智算中心+福建国资
605358.SH,605358,17,硅片订单饱满+VCSEL芯片+人形机器人
605488.SH,605488,17,人形机器人+柔性传感器+定增扩产
600021.SH,600021,17,电力+海上风电+央企
603727.SH,603727,17,FPSO大单+油气模块+南美市场
002893.SZ,002893,33,智慧供热+综合能源+北京国资
001896.SZ,001896,33,参股算力+火电+绿电储备+河南国资
002375.SZ,002375,33,洁净室拓展+装配式建筑+建筑节能+3D打印
