涨停原因类别[20260511],market_code,code,股票代码
摘帽预期+跨境物流+房地产去化,33,000668,000668.SZ
家居五金+独角兽基地+国产替代+次新股,33,001221,001221.SZ
,17,603538,603538.SH
绿电+央企+火电,17,600396,600396.SH
CPO+算力光模块+央企,33,002281,002281.SZ
拟收购万德溙+铜缆高速连接+重整预期+回购延期,22,600337,600337.SH
摘帽申请+安消一体化+智能安防,33,003004,003004.SZ
实控人变更+集成吊顶+智能家居,33,002718,002718.SZ
稀土永磁+人形机器人+AI散热+铜加工龙头,17,601609,601609.SH
算力服务器PCB+泰国产能释放+一季度高增,33,001389,001389.SZ
风光储能+数据中心+电接触材料+业绩大增,17,603045,603045.SH
汉坦病毒检测+分子诊断+广州国资,33,002030,002030.SZ
MLCC涨价+AI算力+商业航天+广东国资,33,000636,000636.SZ
,33,002667,002667.SZ
年报扭亏+轻型输送带+新能源电池配件,22,603580,603580.SH
TOD轨道物业+拟剥离地产+北京国资,17,600683,600683.SH
卫星通信+商业航天+一季报扭亏,33,002512,002512.SZ
猪肉+预重整+销量增长,33,002124,002124.SZ
稀土永磁+钐铁氮+冰箱门封,17,603150,603150.SH
太空光伏+TOPCon电池+外销,33,002865,002865.SZ
,33,000078,000078.SZ
国资背景+建筑装饰+ST摘帽预期,33,002856,002856.SZ
铌酸锂量产+光模块+商业航天,17,600330,600330.SH
商业航天+AI算力+高管增持+央企,33,002179,002179.SZ
先进封装+存储封测+CPO+央企,17,600584,600584.SH
创新药+帕拉米韦+湖南国资,17,688189,688189.SH
预重整+光伏硅片+ST板块,22,603398,603398.SH
先进封装+果链+一季报增长+北交所次新股,151,920125,920125.BJ
,22,600745,600745.SH
控制权变更+苹果授权+抖音电商,33,300736,300736.SZ
,22,603008,603008.SH
存储芯片+华为昇腾+分销龙头+一季报增长,33,000062,000062.SZ
光模块+625MHz晶振+人形机器人,17,603738,603738.SH
,33,002109,002109.SZ
人形机器人+光伏+智能制造,33,002514,002514.SZ
固态电池+锂电产线+庭外重组+ST板块,22,603959,603959.SH
数字教育+AI教材+出版+央企,17,601858,601858.SH
ST板块+智算中心+AI应用+福建国资,22,600734,600734.SH
碳酸锂+石英晶体+申请撤销退市风险警,33,002199,002199.SZ
,22,600080,600080.SH
液冷服务器+AI服务器测试+存储芯片+半导体设备,33,002975,002975.SZ
房地产+物业服务+上海国资,17,600748,600748.SH
减盐酱油+ST摘帽预期+一季度扭亏,33,002650,002650.SZ
蒙电入苏+绿电+央企,17,601991,601991.SH
童装童鞋+三胎概念+ST板块+复牌,22,603557,603557.SH
