code,股票代码,涨停原因类别[20260508],market_code
002997,002997.SZ,机器人+海外订单+轻量化,33
002865,002865.SZ,太空光伏+TOPCon电池+外销,33
600892,600892.SH,短剧+游戏+唐山国资+一季度营收增长,22
000078,000078.SZ,,33
600187,600187.SH,,22
000036,000036.SZ,盐湖提锂+收购修订+地产开发,33
600391,600391.SH,长江发动机+燃气轮机+外贸订单+央企,17
002397,002397.SZ,高端家纺+C2M+三胎概念+业绩增长,33
603311,603311.SH,新能源车+大飞机+空气过滤,17
001333,001333.SZ,聚酯树脂+15万吨扩产+全球供应,33
600745,600745.SH,,22
603373,603373.SH,安全服务+低空安防+无人机+国企改革,17
603008,603008.SH,,22
000863,000863.SZ,协议转让+绿色地产+数字文旅,33
002902,002902.SZ,800G光模块+AI算力+磁性元器件+新能源车载,33
000826,000826.SZ,预重整+数字环卫+ST板块,33
603738,603738.SH,625MHz晶振+光模块+人形机器人,17
600476,600476.SH,一季报扭亏+智慧物流+车联网+央企,22
002109,002109.SZ,,33
603843,603843.SH,算力租赁+重整预期+ST板块,22
002259,002259.SZ,天然气+LNG重卡+摘帽,33
002514,002514.SZ,,33
000020,000020.SZ,,33
603959,603959.SH,固态电池+锂电产线+庭外重组+ST板块,22
600589,600589.SH,算力租赁+IDC+东数西算,17
600734,600734.SH,ST板块+智算中心+AI应用+福建国资,22
600080,600080.SH,,22
002474,002474.SZ,AI政务+信创政务+数据要素,33
605358,605358.SH,VCSEL芯片+应用于光通信+人形机器人+业绩扭亏,17
002199,002199.SZ,碳酸锂+石英晶体+申请撤销退市风险警,33
002520,002520.SZ,人形机器人+数控磨床+高端机床,33
605086,605086.SH,高岭土龙头+提锂中试+紫金入股+福建国资,17
600748,600748.SH,房地产+物业服务+上海国资,17
600222,600222.SH,创新药CRO+中药制剂+江西国资入主+回购注销,17
301028,301028.SZ,空压机+真空泵+绿色制造+国产替代,33
601991,601991.SH,蒙电入苏+绿电+央企,17
002132,002132.SZ,机器人腱绳+有机硅+特高压+金属制品,33
300283,300283.SZ,铜箔扩产+锂电铜箔+芯片引线框架+一季报扭亏,33
