code,market_code,股票代码,涨停原因类别[20260623]
600818,22,600818.SH,控制权或变更+永久自行车+高空风能
000632,33,000632.SZ,跨境电商+福州国资+盘活资产
600489,17,600489.SH,
002374,33,002374.SZ,防伪瓶盖+资产剥离+化债预期
605303,17,605303.SH,
603669,17,603669.SH,创新药+阿尔茨海默+一季报扭亏
600506,17,600506.SH,液冷服务器+控制权拟变更+央企
002549,33,002549.SZ,电子特气+氦气+宜章项目试产+五氟化锑
002897,33,002897.SZ,
002167,33,002167.SZ,锆材料+产品涨价+固态电池+定增扩产
600172,17,600172.SH,培育钻石+金刚石散热+资产划转
300721,33,300721.SZ,湿电子化学品+HPPO技术+环氧丙烷+拟建新项目
603021,22,603021.SH,日用玻璃+跨境电商+退市风险警示
002198,33,002198.SZ,ST整改+创新药+中成药
002125,33,002125.SZ,
600367,17,600367.SH,
002830,33,002830.SZ,家装龙头+成立AI公司+高送转
002648,33,002648.SZ,业绩预增+液冷冷却液+新材料
603938,17,603938.SH,高纯四氯化硅涨价+光纤材料+存储芯片
603159,17,603159.SH,
301211,33,301211.SZ,布洛芬+原料药+制剂
600243,22,600243.SH,天然气+摘帽预期+一季报营收增长
603335,17,603335.SH,收购半导体+汽车轮毂+股份转让
600843,17,600843.SH,纺织产业合作+碳纤维运动飞机+缝制机器人
002453,33,002453.SZ,光刻胶基材+精细化工+收购莱恩光电
002323,33,002323.SZ,拟中标储能项目+实控人拟变更+BIPV+建筑光伏
603595,22,603595.SH,一季报增长+碳化硅+消费电子
002484,33,002484.SZ,
603318,17,603318.SH,AI数据中心燃气轮机+氦气+国企
002741,33,002741.SZ,
600851,17,600851.SH,参股长江证券+创新药+医药制造
002420,33,002420.SZ,人形机器人+滁州国资入主+汽车结构件
002976,33,002976.SZ,高送转+光通信散热+空气悬架+汽车零部件
300149,33,300149.SZ,AI制药+创新药+CRO
000823,33,000823.SZ,
300665,33,300665.SZ,控制权变更+新能源材料+防腐涂料+军工
605167,17,605167.SH,可转债强赎+核电模块+工业模块
601168,17,601168.SH,
600707,17,600707.SH,玻璃基板封装+基板玻璃+显示面板+咸阳国资
000711,33,000711.SZ,
002584,33,002584.SZ,PCB用化学试剂+磷化工+氢氟酸
002068,33,002068.SZ,超级电容+超导电炭黑+炭黑龙头+国企改革
002726,33,002726.SZ,下修转股价博弈+猪肉+预制菜+ST板块
002211,33,002211.SZ,高温硅橡胶+一季报扭亏
603630,17,603630.SH,洗护+医美概念+跳水队合作+一季度增长
600370,22,600370.SH,
605580,17,605580.SH,培育钻石+CVD金刚石+热电联产+业绩增长
600470,17,600470.SH,磷化工+产品涨价+精制磷酸
603002,17,603002.SH,
002717,33,002717.SZ,面值退市博弈+ST板块+中山国资
000070,33,000070.SZ,MPO光连接器+CPO+光纤光缆+深圳国资
920662,151,920662.BJ,液冷服务器+数据中心+维谛技术
600965,22,600965.SH,ST整改+预制菜+肉牛养殖
605336,22,605336.SH,集成灶+退市博弈+ST板块
002031,33,002031.SZ,人形机器人+XT减速器+轮胎模具
002962,33,002962.SZ,玻璃晶圆+光学光电子+AR/VR光学元件
002687,33,002687.SZ,职业装+校服+通勤服拓展
000783,33,000783.SZ,券商+科创投资+高分红填权+一季报增长
002921,33,002921.SZ,机器人+精密机械+汽车零部件
603718,22,603718.SH,氧化锆+收购并表+口腔修复+ST板块
002289,33,002289.SZ,摘帽申请+IDC并表+算力租赁+液冷布局
688291,17,688291.SH,激光通信+激光控制系统+收购萨米特+一季报增长
603272,22,603272.SH,
603429,22,603429.SH,
600119,22,600119.SH,上海国资+现代物流+ST摘帽预期
000551,33,000551.SZ,商业航天+洁净环保+国网中标+一季报增长
600337,22,600337.SH,预重整+解除司法冻结+拟收购万德溙光电+ST板块
000042,33,000042.SZ,地产开发+物业服务+粤港澳大湾区
603863,17,603863.SH,造纸+业绩减亏+粤港澳大湾区
601869,17,601869.SH,空芯光纤+AI算力光纤+业绩高增
600423,22,600423.SH,电子级双氧水+芯片概念+一季报增长+柳州国资
002038,33,002038.SZ,创新药+硝酸甘油喷雾剂+化学制药
001257,33,001257.SZ,
002871,33,002871.SZ,液冷阀门+高出口占比+分红实施
603177,17,603177.SH,
603116,17,603116.SH,AI设计+时尚鞋履+IP经济
000566,33,000566.SZ,创新药+海南自贸区+国企改革
002217,33,002217.SZ,
600400,17,600400.SH,问询函澄清+养老机器人+男装
600238,22,600238.SH,摘帽预期+保健酒+一季报增长+海南国资
603580,22,603580.SH,
603122,17,603122.SH,AI医疗+猴痘概念+海峡两岸
600301,17,600301.SH,
000571,33,000571.SZ,聚焦煤炭主业+拟退出牛肉产业+C919供应商+海南自贸区
002370,33,002370.SZ,光动力疗法+创新药+仿制药
600892,22,600892.SH,短剧+申请撤销退市风险警示+唐山国资
600187,22,600187.SH,中标1.97亿项目+股份回购+扭亏为盈+PPP概念
002047,33,002047.SZ,光耦合器+股权转让获批+摘帽
605118,17,605118.SH,AI机器视觉+低空经济+物流机器人
603466,17,603466.SH,具身智能+AI+体验经济+坏账追回
002672,33,002672.SZ,稀贵金属+危废资源化+氟化工+广东国资
002378,33,002378.SZ,
001206,33,001206.SZ,宠物卫生用品+产品提价+出口
600793,17,600793.SH,与五粮液续签协议+生物基新材料+醋酸纤维素+竹浆造纸
001279,33,001279.SZ,电子陶瓷+印刷版材+铝期货套保
300167,33,300167.SZ,算力租赁+软件外包+ST板块
605369,17,605369.SH,医疗耗材+外销+一季报增长
605069,17,605069.SH,智谱AI+水务机器狗+生态水利
600881,17,600881.SH,创新药+东北证券出售+长春国资
600988,17,600988.SH,
300085,33,300085.SZ,开盘啦实控人任董事长+金融科技
002902,33,002902.SZ,
002514,33,002514.SZ,
603959,22,603959.SH,
000056,33,000056.SZ,债务化解+功率半导体+亏损收窄
002859,33,002859.SZ,
600080,22,600080.SH,骨科中药+创新药+一季报增长
000603,33,000603.SZ,
