股票代码,code,涨停原因类别[20260407],market_code
600810.SH,600810,尼龙66+回购+河南国资,17
000695.SZ,000695,固态电池+负极材料+绿电降本,33
600791.SH,600791,地产+京津冀+北京国资,17
000912.SZ,000912,化肥+电子化学品+国企,33
002274.SZ,002274,煤化工+氢能源,33
603421.SH,603421,智能电网+液流储能+南网恢复,17
600075.SH,600075,PVC涨价+烧碱涨价+兵团国资,17
603255.SH,603255,POE投产+光伏封装+机器人材料,17
002025.SZ,002025,商业航天+军工电子+光模块+央企,33
600696.SH,600696,,22
601133.SH,601133,半导体洁净室+存储芯片+海外扩张,17
603813.SH,603813,退市博弈+氢能物流+电商物流,22
603968.SH,603968,精细化工+境外营收高+减亏,17
605018.SH,605018,人形机器人+行星丝杠+飞行汽车,17
603838.SH,603838,摘帽预期+锆钛矿+陶瓷,22
600423.SH,600423,双氧水扩产+电子级双氧水+国企改革,17
603353.SH,603353,成品油+拟控股奎芯+芯片概念,17
601388.SH,601388,铝价上涨+再生铝龙头+汽车拆解,17
301373.SZ,301373,球形硅微粉+纳米二氧化硅+人形机器人,33
600238.SH,600238,,22
000919.SZ,000919,医药制造+创新药+国企,33
688345.SH,688345,固态电池+两轮换电+业绩扭亏,17
002047.SZ,002047,,33
600063.SH,600063,PVA光学膜+PVA纤维+定增募资+国企改革,17
600850.SH,600850,,17
600193.SH,600193,,22
000062.SZ,000062,存储芯片+华为昇腾+电子分销,33
600250.SH,600250,南京国资+旅游+IP经济+商贸,17
603042.SH,603042,光通信+光纤概念+芯片投资,17
603843.SH,603843,,22
002109.SZ,002109,甲醇涨价+煤化工+陕西国资,33
002092.SZ,002092,氯碱化工+甲醇投产+PVC涨价+新疆国资,33
603260.SH,603260,有机硅+碳化硅+定增热电,17
002528.SZ,002528,庭外重组+深圳国资+智慧城市,33
603687.SH,603687,拟投GPU+钙钛矿设备+参股曲速科技+纸包装,17
002650.SZ,002650,减盐酱油+ST摘帽预期+无实控人,33
603090.SH,603090,液冷服务器+风电装备+氢能源+年报增长,17
002788.SZ,002788,中药饮片+医药分销+海峡两岸,33
603557.SH,603557,,22
002132.SZ,002132,有机硅+人形机器人+特高压,33
