market_code,股票代码,涨停原因类别[20260703],code
17,603178.SH,机器人关节驱动+飞行汽车+泵类龙头,603178
33,301596.SZ,人形机器人+谐波减速机+电磁制动器,301596
17,600184.SH,,600184
33,002434.SZ,人形机器人+谐波减速器+汽车零部件,002434
33,002377.SZ,改性沥青+回购完成+扭亏为盈,002377
22,603272.SH,,603272
33,001317.SZ,物流+跨境电商+小米汽车,001317
33,002635.SZ,收购苏州志烽51%股权+光模块+消费电子,002635
17,603051.SH,电子皮肤+人形机器人+太空光伏+股权激励,603051
151,920510.BJ,人形机器人+谐波减速器+拟收购唯实深蓝,920510
33,002217.SZ,控股股东增持+电子纸+福建国资,002217
22,600238.SH,ST摘帽+保健酒+一季报扭亏+海南国资,600238
33,002667.SZ,ST板块+碳酸锂+钨锡铅锌矿,002667
17,603580.SH,摘帽+新能源电池配件+轻型输送带,603580
17,600160.SH,,600160
33,002407.SZ,,002407
33,000078.SZ,摘帽预期+miRNA肿瘤早筛+医药全产业链,000078
22,600187.SH,增持+污水处理+股份回购,600187
33,002856.SZ,,002856
33,002072.SZ,煤炭贸易+控制权变更预期+资产注入预期,002072
33,002005.SZ,一季报扭亏+LED封装+ST摘帽+小家电,002005
33,002842.SZ,,002842
17,600391.SH,长江系列发动机+燃气轮机+外贸订单+央企,600391
17,603466.SH,债务重组+具身智能+AI体验经济+数字展示,603466
17,600793.SH,子公司购买资产+醋酸纤维素+竹基新材料+宜宾国资,600793
22,605199.SH,创新药+ST摘帽预期+儿科药,605199
33,002981.SZ,机器人概念+电声产品+AI眼镜,002981
33,300985.SZ,算力+车载LNG供气系统+氢能,300985
17,600988.SH,黄金+紫金矿业入主,600988
33,002715.SZ,黄金概念+汽车零部件+气门,002715
33,002664.SZ,人形机器人+低空经济+新能源驱动电机,002664
33,000826.SZ,,000826
17,603713.SH,股权激励+半导体物流+化工供应链,603713
33,000656.SZ,摘帽+地产开发+不动产综合运营,000656
33,002109.SZ,子公司复产+股东增持+煤化工+陕西国资,002109
17,603730.SH,人形机器人+特斯拉+遮阳板龙头+北美扩产,603730
