股票代码,market_code,code,涨停原因类别[20260630]
301165.SZ,33,301165,交换机+CPO+字节供应商+福建国资
000938.SZ,33,000938,国产算力+CPO硅光数据中心交换机+董事长变更
002009.SZ,33,002009,机器人+优必选合作+锂电循环扭亏
603211.SH,17,603211,人形机器人+机器人零部件+铝合金压铸
000004.SZ,37,000004,退市整理期+移动安全+减亏
300290.SZ,33,300290,
002903.SZ,33,002903,机器人+半导体+数控机床
002628.SZ,33,002628,机器人+萤石矿+一季报扭亏
603991.SH,17,603991,半导体引线框架+一季报增长+资产重组
603061.SH,17,603061,半导体测试设备+可转债募资+通富微电合作
002586.SZ,33,002586,中标8.82亿元+水利建设+国企改革
600735.SH,22,600735,资产注入+石墨新材料+发制品出口
002833.SZ,33,002833,机器人概念+家具装备+海外渠道扩张
002747.SZ,33,002747,人形机器人+工业机器人出货量第一+一季报增长
002615.SZ,33,002615,增持+杯壶龙头+华为星闪
002175.SZ,33,002175,控制权变更+复牌+碳基新材料+智能制造
605133.SH,17,605133,人形机器人+行星滚柱丝杠+股权激励
600783.SH,17,600783,参股蓝箭航天+创投+山东国资
300540.SZ,33,300540,商业航天+氦气+空分装置中标+业绩增长
688355.SH,17,688355,半导体设备+机器人+商业航天
002897.SZ,33,002897,高速连接器+共封装光学CPO+华为链+回购注销
002849.SZ,33,002849,智慧能源基地+智能燃气表+星闪
002167.SZ,33,002167,锆产品涨价+氧化锆供给缺口+固态电池
002360.SZ,33,002360,债务重整+招募重整投资人+民爆一体化
002119.SZ,33,002119,半导体封装材料+引线框架满产+回购
300503.SZ,33,300503,机器人+商业航天+PCB主轴
603459.SH,17,603459,投建高阶HDI+1.6T光模块+HDI龙头
301607.SZ,33,301607,第三代半导体+车载高压电源
603377.SH,22,603377,
603222.SH,17,603222,创新药+医疗器械+海南自贸区
600846.SH,17,600846,城市更新+建设工程+上海国资
002518.SZ,33,002518,液冷服务器+数据中心电源+储能
002830.SZ,33,002830,成立AI公司+家装龙头+高送转
600537.SH,22,600537,预重整+签订投资协议+光伏组件
000595.SZ,33,000595,
603335.SH,17,603335,存储芯片+收购半导体+汽车轮毂
605111.SH,17,605111,功率半导体+人形机器人+MOSFET+先进封装
600568.SH,22,600568,股权转让+大健康+房地产
603366.SH,17,603366,储能+光储充一体化+厨电+一季报营收增长
603607.SH,17,603607,激光全息+IP卡牌+烟草防伪+分红
603236.SH,17,603236,卫星通信+物联网模组+机器人
603595.SH,22,603595,
300044.SZ,33,300044,重整进展+机器人+无人机
600113.SH,17,600113,农批市场+国企+预制菜
000811.SZ,33,000811,数据中心液冷+拟收购整合+权益分派+烟台国资
601882.SH,17,601882,工业母机+进口替代+一季报增长
300545.SZ,33,300545,先进封装+UTG折叠屏贴合+京东方订单+AMOLED
603983.SH,17,603983,重组胶原蛋白+新品发布+大单品
688220.SH,17,688220,ASIC定制+蜂窝基带+利空落地
002396.SZ,33,002396,数据中心+交换机+中标外交部语音通信项目+回购注销
002654.SZ,33,002654,存储芯片+长江产业集团
002036.SZ,33,002036,光学器件+机器视觉+车载光学
002202.SZ,33,002202,参股蓝箭航天+风电+一季报增长
603922.SH,22,603922,
603290.SH,17,603290,功率半导体+GaN+低空经济
002569.SZ,33,002569,控制权变更+男装品牌+ST板块
002472.SZ,33,002472,人形机器人+减速器+新能源齿轮
000766.SZ,33,000766,
603005.SH,17,603005,TSV先进封装+分拆上市+车规CIS
600707.SH,17,600707,玻璃基板+芯片封装+显示面板
000820.SZ,33,000820,申请撤销退市风险+储能+再生铜+冶金工程
000711.SZ,33,000711,ITO靶材投产+铟资源循环+ST板块
002726.SZ,33,002726,
600601.SH,17,600601,AI算力PCB+光模块+减持完成+珠海国资
603120.SH,17,603120,光刻胶+半导体清洗+季铵化合物
600370.SH,22,600370,瓶级聚酯切片+司法拍卖暂缓+业绩扭亏
001358.SZ,33,001358,电子化学品+光刻胶+一季报增长
600378.SH,17,600378,六氟化钨+氟化工+PCB概念+央企
688728.SH,17,688728,显示驱动芯片+5000万像素CIS+CMOS图像传感器
603019.SH,17,603019,算力国家队+液冷+可转债获批
001229.SZ,33,001229,AI视觉+边缘计算+光纤KVMS+商业航天
002717.SZ,33,002717,面值退市博弈+生态文旅+中山国资
002929.SZ,33,002929,国产算力+Token工厂
002738.SZ,33,002738,锂盐+铜矿+股权激励
600491.SH,22,600491,
300087.SZ,33,300087,
300270.SZ,33,300270,能源智算+债权转让+一季报扭亏
605336.SH,22,605336,
000970.SZ,33,000970,人形机器人+轴向磁通电机+稀土永磁+中科院
000026.SZ,33,000026,激光器+机器人+收购长空齿轮+央企
002402.SZ,33,002402,机器人+商业航天+参股摩尔线程+智能控制器
600791.SH,17,600791,
002921.SZ,33,002921,机器人+精密制造+智能制造
603985.SH,17,603985,算力+风电+国企
600184.SH,17,600184,光通信材料+防务业务扭亏+央企
300321.SZ,33,300321,超细纤维合成革+控制权变更预期+国企
603125.SH,17,603125,光刻胶原料+风电+券商看好+一季报增长
002600.SZ,33,002600,人形机器人+AI服务器液冷+H股上市调入港股通
603272.SH,22,603272,协议转让进展+装修业务拓展+ST板块
603429.SH,22,603429,
003009.SZ,33,003009,商业航天+小型制导火箭+央企+一季报扭亏
000012.SZ,33,000012,电子玻璃+光伏玻璃+节能玻璃
605018.SH,17,605018,人形机器人+飞行汽车+汽车金属结构件
001314.SZ,33,001314,AI PC+AI眼镜+先进封装+一季报增长
300980.SZ,33,300980,人形机器人+电子皮肤+聚烯烃发泡
002955.SZ,33,002955,AI教育+奇瑞产业链+股份回购
000017.SZ,33,000017,黄金珠宝+黄金概念+两轮车
000829.SZ,33,000829,智能终端销售+抖音电商+深圳国资
603078.SH,17,603078,G5级湿电子化学品+存储芯片+上海国资拟入主
000967.SZ,33,000967,算力租赁+智慧清洁机器人+一季报增长+承诺不减持
000636.SZ,33,000636,
002053.SZ,33,002053,风电+压缩空气储能
600641.SH,17,600641,铋材料+离子注入机+半导体设备
000566.SZ,33,000566,创新药+脑机接口+海南自贸区+国企
002217.SZ,33,002217,
002667.SZ,33,002667,
002290.SZ,33,002290,CPU增资+定增算力+家电复合材料
002779.SZ,33,002779,机器人+智能割草机+一季度营收增长
300563.SZ,33,300563,高速铜缆+商业航天+射频同轴电缆
002407.SZ,33,002407,半导体级氢氟酸涨价+六氟磷酸锂+大圆柱电池
002808.SZ,37,002808,退市复核+OPC感光鼓+光伏
002856.SZ,33,002856,庭外重组+*ST+建筑装饰+佛山国资
300269.SZ,33,300269,LED显示+商业航天+回购注销
002208.SZ,33,002208,间接投资长鑫科技+房地产+合肥国资
688502.SH,17,688502,半导体检测+光刻机+AR/VR检测+精密光学
600391.SH,17,600391,长江系列发动机+燃气轮机+外贸订单+央企
002638.SZ,33,002638,LED照明+车路云协同+储能
300020.SZ,33,300020,智慧城市+医疗AI+央企合作
600745.SH,22,600745,
600363.SH,17,600363,可控核聚变+高温超导+商业航天
000620.SZ,33,000620,存储芯片+封装测试+资产剥离
603130.SH,17,603130,革基布龙头+入股商业卫星+定增过会
605208.SH,17,605208,机器人零部件+一体化压铸
002446.SZ,33,002446,商业航天+6G+回购
000826.SZ,33,000826,预重整+数字环卫+无人环卫
002902.SZ,33,002902,铜铁共烧电感+800G光模块+CPO
688048.SH,17,688048,光通信芯片+高功率激光芯片+可控核聚变
603212.SH,17,603212,先进封装+半导体材料
001237.SZ,33,001237,制冰机龙头+欧洲市场+产品矩阵拓展
600737.SH,17,600737,药用糖+食糖全产业链+央企
603067.SH,17,603067,可转债获批+铬化学品+SOFC+溅射靶材
002514.SZ,33,002514,共享充电宝+澄清机器人传闻+精密钣金+退市风险警示
000801.SZ,33,000801,低空经济+商业航天+回购增持
300518.SZ,33,300518,直播电商+锂矿
000056.SZ,33,000056,债务化解预期+功率半导体+亏损收窄
603662.SH,17,603662,人形机器人+六维力传感器+传感器森林
300671.SZ,33,300671,中报预增+存储芯片+LED涨价
000821.SZ,33,000821,钙钛矿设备+机器人+回购分红
301045.SZ,33,301045,导光板+TAC膜+产品升级
000603.SZ,33,000603,中报预增+白银+贵金属涨价+技改产能释放
600819.SH,17,600819,TCO玻璃+汽车减反射玻璃+上海国资
603226.SH,17,603226,智能家居+木地板+控制权变更
002587.SZ,33,002587,AI视讯+XR拍摄+LED电影屏
603928.SH,17,603928,半导体光刻胶+硅碳负极+一季报增长
002528.SZ,33,002528,
002650.SZ,33,002650,资产收回+调味品+一季度扭亏+ST摘帽预期
603557.SH,22,603557,
