code,涨停原因类别[20260303],market_code,股票代码
600759,油气开采+哈萨克斯坦油田,17,600759.SH
300164,油气+北美巨头合作+射孔技术,33,300164.SZ
600108,玉米种子+土地流转+甘肃国资,17,600108.SH
300839,特种油+液冷算力+国资入主,33,300839.SZ
001270,,33,001270.SZ
600028,油价飙升+炼油龙头+氢能突破+央企,17,600028.SH
000407,燃气并购+天然气+PE管道,33,000407.SZ
600355,,22,600355.SH
601231,,17,601231.SH
000554,油气+新能源转型+央企回购,33,000554.SZ
000908,,33,000908.SZ
600470,,17,600470.SH
601083,航运+上海国资+东南亚航线扩张,17,601083.SH
002165,,33,002165.SZ
600722,甲醇+风电项目+河北国资,17,600722.SH
000301,石油化工+光伏材料,33,000301.SZ
920014,天然气+中俄合作+氢能,151,920014.BJ
002629,油服工程+光伏EPC+改性材料,33,002629.SZ
600753,,22,600753.SH
600968,地缘冲突+油气服务+央企背景,17,600968.SH
603389,,22,603389.SH
002455,,33,002455.SZ
603859,,17,603859.SH
000668,,33,000668.SZ
603429,,17,603429.SH
603163,,17,603163.SH
002151,,33,002151.SZ
000534,,33,000534.SZ
600635,天然气+创投+业绩预增,17,600635.SH
603838,,22,603838.SH
002361,,33,002361.SZ
603353,成品油+铜官油库+拟收购奎芯+超快充,17,603353.SH
300332,天然气+神安线+回购,33,300332.SZ
001209,,33,001209.SZ
605123,,17,605123.SH
603920,,17,603920.SH
920260,天然气设备+中东订单+专精特新,151,920260.BJ
920088,油服+新疆油田,151,920088.BJ
002519,,33,002519.SZ
000636,,33,000636.SZ
600343,,17,600343.SH
601615,,17,601615.SH
002554,油气EPC+天津国资+油气服务,33,002554.SZ
601015,甲醇涨价+天然气+煤焦化链,17,601015.SH
603580,,22,603580.SH
002512,,33,002512.SZ
600026,VLCC运价飙升+油运龙头+央企,17,600026.SH
600590,,17,600590.SH
605081,,22,605081.SH
002808,ST板块+OPC感光鼓+新能源转型,33,002808.SZ
601866,VLCC油轮+集装箱制造+央企回购,17,601866.SH
001299,燃气+西部大开发+综合能源转型,33,001299.SZ
920158,电脱设备+中东扩张+氢能装备+油气涨价,151,920158.BJ
002506,光伏组件+储能系统+TOPCon,33,002506.SZ
601872,VLCC油运+地缘溢价+央企,17,601872.SH
600688,石油化工+航运+央企,17,600688.SH
002058,,33,002058.SZ
002828,油气开采+海外权益,33,002828.SZ
600403,煤炭开采+河南国资重组,17,600403.SH
002364,,33,002364.SZ
603843,,22,603843.SH
600589,,17,600589.SH
002562,,33,002562.SZ
002350,光储充+配电设备+中标,33,002350.SZ
000603,,33,000603.SZ
603727,油气开采+FPSO订单+南美市场,17,603727.SH
301158,油气装备+订单饱满+海外收入,33,301158.SZ
601139,天然气涨价+燃气+电力+国企,17,601139.SH
002115,,33,002115.SZ
