股票代码,code,涨停原因类别[20260702],market_code
600753.SH,600753,撤销退市风险警示+液化石油气贸易+改性塑料+一季报扭亏,22
603897.SH,603897,机器人概念+电磁线+年报增长,17
002652.SZ,002652,半导体洁净室+有机涂层板+中芯国际,33
002581.SZ,002581,创新药+神经生长因子+*ST,33
001317.SZ,001317,物流+跨境电商+小米汽车,33
603538.SH,603538,制剂一体化+减肥药+机器人+定增,17
600119.SH,600119,ST板块+上海国资+现代物流,22
603163.SH,603163,,17
600396.SH,600396,,17
002384.SZ,002384,,33
301008.SZ,301008,人形机器人+家电零部件+汽车零部件,33
600423.SH,600423,电子级双氧水+芯片概念+一季报增长+柳州国资,22
603135.SH,603135,机器人+商业航天+海外订单,17
600490.SH,600490,黄金+铜+业绩增长,17
000636.SZ,000636,,33
000566.SZ,000566,创新药+脑机接口+海南自贸区+国企,33
000698.SZ,000698,PVC糊树脂+化工+央企+ST板块,33
002217.SZ,002217,,33
920221.BJ,920221,减速器+重大资产重组+液冷,151
002856.SZ,002856,庭外重组+ST板块+建筑装饰+佛山国资,33
600584.SH,600584,,17
600793.SH,600793,子公司购买资产+醋酸纤维素+竹基新材料+宜宾国资,17
003030.SZ,003030,预制菜+魔芋+人造肉+豆制品,33
000951.SZ,000951,新能源重卡+重卡出口+山东国资,33
300071.SZ,300071,AI应用+数字营销+FlinkAI平台,33
600182.SH,600182,轮胎+股改+一季报增长,17
001378.SZ,001378,功能性BOPP薄膜+锂电池+一季报增长,33
002559.SZ,002559,参股半导体检测公司+海力士+工业母机+机器人,33
605488.SH,605488,电子皮肤+供货优必选+人形机器人,17
603928.SH,603928,半导体光刻胶概念+CVD硅碳负极+一季报增长,17
001223.SZ,001223,,33
000988.SZ,000988,,33
603789.SH,603789,控制权变更+光伏储能+农业机械,22
000506.SZ,000506,黄金+一季报扭亏+国企,33
603416.SH,603416,人形机器人+PLC龙头+业绩增长,17
002258.SZ,002258,精草铵膦+草铵膦涨价+股份转让+央企,33
600156.SH,600156,算力租赁+数据中心+拟收购易信科技+湖南国资,17
600563.SH,600563,,17
603359.SH,603359,ST板块+生态修复+退市风险警示,22
002580.SZ,002580,算力+液冷储能+电池+山东国资,33
605060.SH,605060,,17
603778.SH,603778,光伏+异质结+诉讼利空落地,17
600082.SH,600082,ST板块+园区运营+天津国资,22
002998.SZ,002998,2026中报预增+再生涤纶+产品价格修复,33
600180.SH,600180,庭外重组+海外煤炭+供应链管理,22
603790.SH,603790,参股PEEK+染助一体化+一季报增长,17
000838.SZ,000838,重整+房地产,33
603559.SH,603559,摘帽+一季报扭亏+通信技术服务,17
000576.SZ,000576,参股锴威特半导体+光电成像+非晶合金+军工,33
002029.SZ,002029,男装夹克+投资机器人及半导体+房产运营,33
600545.SH,600545,,17
603926.SH,603926,机器人零部件+汽车传动+即将减持,17
002522.SZ,002522,,33
605289.SH,605289,,17
605020.SH,605020,制冷剂涨价+高端氟材料+氟化工,17
002592.SZ,002592,液冷技术储备+新能源汽车热管理+ST板块,33
603286.SH,603286,人形机器人+电子皮肤+北美工厂+传感器,17
603061.SH,603061,,17
002586.SZ,002586,中标8.82亿元+水利建设+国企改革,33
603828.SH,603828,ST板块+控制权变更+光伏建筑一体化,22
300695.SZ,300695,人形机器人+轮毂轴承+可转债,33
002620.SZ,002620,预重整+光伏建筑一体化+ST板块,33
002431.SZ,002431,ST板块+积极化解相关风险+农田建设+河南国资,33
000632.SZ,000632,跨境电商+福州国资+盘活资产,33
002458.SZ,002458,中报预增+白羽肉鸡+种猪放量,33
000892.SZ,000892,互动影游+短剧+AI应用,33
603273.SH,603273,机器人概念+海外大单+股权激励,17
603629.SH,603629,,17
603377.SH,603377,ST板块+预重整+实控人变更+智能驾培,22
603759.SH,603759,光伏银浆+通威合作+环保水务,17
002979.SZ,002979,2026中报预增+人形机器人+灵巧手,33
600449.SH,600449,算力租赁+水泥+央企,17
603021.SH,603021,ST板块+日用玻璃+跨境电商,22
600667.SH,600667,,17
603822.SH,603822,生物航煤+环保增塑剂+ST板块,22
300163.SZ,300163,建筑节能+扭亏为盈+利空落地,33
000972.SZ,000972,番茄制品+摘帽+国企改革,33
002798.SZ,002798,服务器资产收购+智能家居设计+瓷砖卫浴,33
600237.SH,600237,,17
605006.SH,605006,,17
600815.SH,600815,新能源矿卡+盾构机+工程机械+厦门国资,17
600243.SH,600243,摘帽预期+天然气+减速器,22
000536.SZ,000536,出售半导体资产+诉讼进展+车载显示+福建国资,33
601678.SH,601678,H股招股+电子级氢氟酸+环氧丙烷,17
603458.SH,603458,,17
603261.SH,603261,航空装备+低空经济+摘帽,17
603137.SH,603137,拟收购存储公司+复牌+建筑幕墙,17
002122.SZ,002122,人形机器人+数据服务+ST摘帽+战略投资,33
603005.SH,603005,,17
600624.SH,600624,量子科技+医药+上海国资+ST板块,22
605055.SH,605055,机器人概念+智慧工厂+印染,17
000820.SZ,000820,储能+再生铜+申请撤销退市风险警示,33
000711.SZ,000711,ITO靶材投产+铟资源循环+ST板块,33
000592.SZ,000592,海峡两岸+林业+林板一体化,33
605376.SH,605376,,17
002726.SZ,002726,ST板块+下修转股价+猪肉,33
603638.SH,603638,人形机器人+丝杠导轨+工业母机,17
002584.SZ,002584,PCB用化学试剂+氢氟酸+磷化工,33
600630.SH,600630,纺织服装+上海国资+一季报增长,17
000908.SZ,000908,石药入主+创新药+中药+一季报扭亏,33
000700.SZ,000700,人形机器人+保险杠龙头+金融资产出售,33
002826.SZ,002826,米格列醇片+设立AI公司+获大额补助,33
300740.SZ,300740,高奢美妆+拼多多概念+毛发医疗,33
600105.SH,600105,,17
603337.SH,603337,人形机器人+AI数字成套+缝制机械,17
600184.SH,600184,,17
603272.SH,603272,GPU模组贸易+装修业务拓展+ST板块,22
003026.SZ,003026,,33
603429.SH,603429,拟购慧聚药业+固态电池+烟标,22
002281.SZ,002281,,33
603517.SH,603517,ST板块+休闲食品+股票期权激励,22
002596.SZ,002596,海南自贸区+商品混凝土+封关红利,33
600641.SH,600641,拟收购先导微电子+离子注入机+铋材料,17
002667.SZ,002667,一季报扭亏+碳酸锂+钨锡铅锌矿,33
603580.SH,603580,摘帽+新能源电池配件+轻型输送带,17
002512.SZ,002512,控股权变更+卫星通信+一季报扭亏,33
002808.SZ,002808,退市复核+OPC感光鼓+光伏,37
000078.SZ,000078,摘帽预期+miRNA肿瘤早筛+医药全产业链,33
002005.SZ,002005,一季报扭亏+LED封装+ST摘帽+小家电,33
002842.SZ,002842,钨全产业链+光伏钨丝+定增过会,33
605199.SH,605199,创新药+ST摘帽预期+儿科药,22
600581.SH,600581,资产剥离+定增+中亚钢铁+央企,22
600988.SH,600988,黄金+紫金矿业入主,17
002463.SZ,002463,,33
603738.SH,603738,,17
002689.SZ,002689,ST板块+旧梯改造+海外布局+一季报增长,33
000656.SZ,000656,摘帽+地产开发+不动产综合运营,33
002109.SZ,002109,子公司复产+股东增持+煤化工+陕西国资,33
000639.SZ,000639,高管增持+玉米油龙头+资产剥离+ST板块,33
000821.SZ,000821,钙钛矿设备+机器人+回购+ST板块,33
002859.SZ,002859,,33
605358.SH,605358,,17
001319.SZ,001319,机器人+汽车零部件+回购,33
002392.SZ,002392,国产AI芯片+硅碳负极+耐火材料+定增,33
603557.SH,603557,铝业转型+三胎概念+ST板块,22
