股票代码,code,market_code,涨停原因类别[20260720]
002466.SZ,002466,33,
002036.SZ,002036,33,CPO光学器件+车载光学+机器视觉+江西国资拟入主
603779.SH,603779,17,淄博国资入主+葡萄酒+无注入算力计划
600203.SH,600203,17,
603378.SH,603378,22,
000677.SZ,000677,33,
002240.SZ,002240,33,
603120.SH,603120,17,
605588.SH,605588,17,
600246.SH,600246,17,
603002.SH,603002,17,
601010.SH,601010,22,
002192.SZ,002192,33,
300868.SZ,300868,33,
603306.SH,603306,17,
600644.SH,600644,17,电力+天然气+新型储能
600126.SH,600126,17,算力租赁+中报扭亏+北京诚通+浙江国资
301092.SZ,301092,33,
002921.SZ,002921,33,
002885.SZ,002885,33,
001267.SZ,001267,33,
603933.SH,603933,17,
003001.SZ,003001,33,
002723.SZ,002723,33,
301217.SZ,301217,33,
002134.SZ,002134,33,
603538.SH,603538,17,
603163.SH,603163,17,
600396.SH,600396,17,绿色电力+火力发电+央企
002384.SZ,002384,33,
000510.SZ,000510,33,
002718.SZ,002718,33,
600578.SH,600578,17,定增+风光火储一体化+火电+北京国资
600985.SH,600985,17,煤炭+煤化工+高股息+安徽国资
001389.SZ,001389,33,
000636.SZ,000636,33,
002185.SZ,002185,33,
300515.SZ,300515,33,半年报预增+煤炭检测仪器+无人化智能装备+机器人概念
002290.SZ,002290,33,
301042.SZ,301042,33,
600539.SH,600539,17,
001300.SZ,001300,33,
002856.SZ,002856,33,
688359.SH,688359,17,
688057.SH,688057,17,机器人概念+水环境治理+FMBR工艺
002851.SZ,002851,33,
605069.SH,605069,17,
603285.SH,603285,17,
600032.SH,600032,17,绿色电力+海上风电+绿证交易+国企改革
300368.SZ,300368,33,金融机具+服务器出租+并购重组+邯郸国资
002514.SZ,002514,33,
003018.SZ,003018,33,
002350.SZ,002350,33,
001395.SZ,001395,33,
605228.SH,605228,17,
603201.SH,603201,17,
603186.SH,603186,17,
603031.SH,603031,17,
601026.SH,601026,17,风电材料+丙烯酸+新能源车
601991.SH,601991,17,超超临界火电+定增募资+央企
688096.SH,688096,17,
002957.SZ,002957,33,
002739.SZ,002739,33,
600746.SH,600746,17,醋酸+煤化工+中报预增+镇江国资
301276.SZ,301276,33,
603903.SH,603903,17,
000988.SZ,000988,33,
002579.SZ,002579,33,
002963.SZ,002963,33,
600236.SH,600236,17,水电高增+绿色电力+央企
603800.SH,603800,17,
603657.SH,603657,17,
002235.SZ,002235,33,
688308.SH,688308,17,
603823.SH,603823,17,光刻胶颜料+PEEK材料+有机颜料龙头
603313.SH,603313,17,
600110.SH,600110,17,
603038.SH,603038,17,
603015.SH,603015,17,
600288.SH,600288,17,
603256.SH,603256,17,
002636.SZ,002636,33,
002768.SZ,002768,33,
600397.SH,600397,17,
600770.SH,600770,17,
002631.SZ,002631,33,
603262.SH,603262,17,
000691.SZ,000691,33,
002694.SZ,002694,33,
605186.SH,605186,17,
001288.SZ,001288,33,机器人+华为合作+输送机械+一带一路
000037.SZ,000037,33,电力+中报扭亏+综合能源服务
002677.SZ,002677,33,
600488.SH,600488,17,
603989.SH,603989,17,
000609.SZ,000609,33,
603725.SH,603725,17,
600379.SH,600379,17,
301190.SZ,301190,33,中报预增+氯代吡啶+染料中间体
002980.SZ,002980,33,
603324.SH,603324,17,
603211.SH,603211,17,
600381.SH,600381,22,
600121.SH,600121,17,煤炭+算力+国企改革
603991.SH,603991,17,
002993.SZ,002993,33,
002620.SZ,002620,33,
920305.BJ,920305,151,
002326.SZ,002326,33,
002303.SZ,002303,33,
600821.SH,600821,17,回购+算力租赁+绿电+天津国资
605133.SH,605133,17,
603669.SH,603669,17,
605288.SH,605288,17,
002167.SZ,002167,33,
002119.SZ,002119,33,
001258.SZ,001258,33,风电光伏+定增获批+半年报预增+新疆国资
688669.SH,688669,17,
603021.SH,603021,22,
002866.SZ,002866,33,AI PC键盘+PCB概念+定增扩产+钠离子电池
600667.SH,600667,17,
600367.SH,600367,17,
002830.SZ,002830,33,
001309.SZ,001309,33,
600797.SH,600797,17,算力租赁+阿里合作+AI应用
000935.SZ,000935,33,
300534.SZ,300534,33,中药独家品种+医疗器械+甘肃国资
605006.SH,605006,17,
600673.SH,600673,17,
603610.SH,603610,17,脑机接口+智能电动床+AI睡眠智能体
002436.SZ,002436,33,
603595.SH,603595,22,
002767.SZ,002767,33,
600769.SH,600769,17,
002632.SZ,002632,33,
002552.SZ,002552,33,
603261.SH,603261,17,
603435.SH,603435,17,
600756.SH,600756,17,AI政务+浪潮系联动+山东国资
603063.SH,603063,17,
603936.SH,603936,17,
002726.SZ,002726,33,
001270.SZ,001270,33,
605376.SH,605376,17,
002428.SZ,002428,33,
000539.SZ,000539,33,电力+算力租赁+广东国资
000889.SZ,000889,33,算力销售+通信网络维护+追索款项确认+中报预计扭亏
603011.SH,603011,17,
600378.SH,600378,17,
002655.SZ,002655,33,
002440.SZ,002440,33,染料+氟化工+化工新材料+中报预增
605090.SH,605090,17,
600722.SH,600722,17,甲醇+风电+河北国资
002853.SZ,002853,33,
603650.SH,603650,17,
002056.SZ,002056,33,
603679.SH,603679,17,
001287.SZ,001287,33,
603203.SH,603203,17,
002815.SZ,002815,33,
601133.SH,601133,17,
603773.SH,603773,17,
603272.SH,603272,22,
000668.SZ,000668,33,
002281.SZ,002281,33,
001314.SZ,001314,33,
603051.SH,603051,17,
603838.SH,603838,22,
603078.SH,603078,17,
003004.SZ,003004,33,
000722.SZ,000722,33,水力发电+中报预增+资产重组+湖南国资
603777.SH,603777,17,
688020.SH,688020,17,
603045.SH,603045,17,
603177.SH,603177,17,
603678.SH,603678,17,
600641.SH,600641,17,
603976.SH,603976,17,
600267.SH,600267,17,创新药+宠物药+中报预增+国企改革
002407.SZ,002407,33,
002695.SZ,002695,33,
000078.SZ,000078,33,
000600.SZ,000600,33,火电+储能+定增+河北国资
002208.SZ,002208,33,
603398.SH,603398,22,
002463.SZ,002463,33,
600403.SH,600403,17,煤炭+中报减亏+河南国资
603738.SH,603738,17,
603931.SH,603931,17,
603690.SH,603690,17,
002364.SZ,002364,33,
600162.SH,600162,17,
603843.SH,603843,22,
603155.SH,603155,17,
002859.SZ,002859,33,
600289.SH,600289,22,
601001.SH,601001,17,煤炭+国企改革+优质资产注入
002992.SZ,002992,33,复合铜箔+固态电池+LED背光源
605358.SH,605358,17,
002199.SZ,002199,33,
002975.SZ,002975,33,
000815.SZ,000815,33,算力租赁+东数西算+中国诚通旗下
603727.SH,603727,17,油气开发+FPSO模块+海工装备
000920.SZ,000920,33,
603090.SH,603090,17,
002788.SZ,002788,33,
