code,所属概念,market_code,所属概念数量,股票代码
603606,海工装备;风电;柔性直流输电;高端装备;工业互联网;参股券商;沪股通;融资融券,17,8,603606.SH
600487,光纤概念;F5G概念;共封装光学(CPO);特高压;柔性直流输电;太赫兹;液冷服务器;6G概念;5G;海工装备;智能电网;风电;芯片概念;数据中心;长三角一体化;量子科技;新能源汽车;一带一路;军工;小米汽车;无人驾驶;水利;华为概念;机器人概念;人形机器人;创投;智慧城市;网络安全;DeepSeek概念;沪股通;融资融券,17,31,600487.SH
600446,互联网金融;互联网保险;区块链;华为鲲鹏;数据要素;AI智能体;信创;数字经济;DeepSeek概念;独角兽概念;智慧城市;虚拟数字人;人工智能;腾讯概念;华为概念;AI应用;沪股通;融资融券,17,18,600446.SH
600184,国产航母;光纤概念;军民融合;军工;机器视觉;AI眼镜;机器人概念;专精特新;人形机器人;央企国企改革;回购增持再贷款概念;国企改革;共封装光学(CPO);沪股通;融资融券,17,15,600184.SH
002256,光伏建筑一体化;盐湖提锂;绿色电力;储能;碳中和;锂电池概念;AI手机;化肥;深股通;染料;融资融券,33,11,002256.SZ
605588,OLED;富士康概念;芯片概念;消费电子概念;柔性屏(折叠屏);苹果概念;华为手机;小米概念;华为概念,17,9,605588.SH
002384,共封装光学(CPO);同花顺果指数;PCB概念;2026一季报预增;苹果概念;5G;消费电子概念;数据中心;MiniLED;芯片概念;高压快充;小米概念;新能源汽车;特斯拉概念;华为概念;人形机器人;机器人概念;深股通;人民币贬值受益;长三角一体化;智能穿戴;AI手机;融资融券,33,23,002384.SZ
600641,存储芯片;OLED;第三代半导体;芯片概念;TOPCON电池;光伏概念;小金属概念;创投;沪股通;股权转让(并购重组);融资融券,17,11,600641.SH
002428,光纤概念;小金属概念;第三代半导体;商业航天;芯片概念;卫星导航;氟化工概念;军工;光伏概念;华为概念;西部大开发;深股通;融资融券,33,13,002428.SZ
603773,MicroLED概念;MiniLED;共封装光学(CPO);先进封装;柔性屏(折叠屏);光刻机;OLED;PET铜箔;存储芯片;钙钛矿电池;6G概念;汽车电子;消费电子概念;芯片概念;商业航天;智能穿戴;卫星导航;小米概念;华为概念;锂电池概念;沪股通,17,21,603773.SH
002796,共封装光学(CPO);6G概念;5G;军工;储能;一带一路;医疗器械概念;融资融券,33,8,002796.SZ
603906,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;磷化工;储能;燃料电池;比亚迪概念;氢能源;新能源汽车;无人机;一带一路;数字经济;数据中心;液冷服务器;融资融券;沪股通,17,18,603906.SH
600330,PCB概念;第三代半导体;先进封装;5G;OLED;商业航天;毫米波雷达;芯片概念;汽车电子;卫星导航;无线充电;AI眼镜;数据中心;量子科技;光伏概念;军工;智能穿戴;高端装备;新能源汽车;储能;充电桩;锂电池概念;长三角一体化;创投;智能物流;固废处理;乡村振兴;融资融券;MicroLED概念;沪股通,17,30,600330.SH
600869,超导概念;光纤概念;铜缆高速连接;可控核聚变;PET铜箔;商业航天;芯片概念;柔性直流输电;特高压;液冷服务器;核电;海工装备;高端装备;光伏概念;军工;无人机;智能电网;数据中心;雅下水电概念;军民融合;特斯拉概念;新能源汽车;人形机器人;固态电池;充电桩;低空经济;华为概念;东数西算(算力);机器人概念;宁德时代概念;储能;风电;锂电池概念;回购增持再贷款概念;智慧城市;独角兽概念;西部大开发;人工智能;DeepSeek概念;阿里巴巴概念;钠离子电池;参股银行;沪股通;融资融券,17,44,600869.SH
603496,华为昇腾;云计算;华为鲲鹏;数据安全;信创;算力租赁;网络安全;国产操作系统;东数西算(算力);鸿蒙概念;DeepSeek概念;人工智能;智慧城市;数字孪生;智能医疗;数据中心;华为概念;AI应用;物联网;5G;军民融合;军工;工业互联网;液冷服务器;新型工业化;智能电网;创投;机器人概念;专精特新;光伏概念;融资融券;沪股通,17,32,603496.SH
002588,化肥;磷化工;生态农业;玉米;农村电商;锂电池概念;乡村振兴;数字乡村;深股通;融资融券,33,10,002588.SZ
002201,高铁;商业航天;风电;创投;2025年报预增;比亚迪概念;深股通;融资融券,33,8,002201.SZ
600815,军工;福建自贸区;地下管网;国企改革;高端装备;海峡两岸;职业教育;智能物流;中俄贸易概念;沪股通,17,10,600815.SH
603903,污水处理;PPP概念;雄安新区;京津冀一体化;氢能源;股权转让(并购重组),17,6,603903.SH
600736,大飞机;建筑节能;商业航天;水利;军工;航空发动机;新型城镇化;低空经济;创投;卫星导航;军民融合;医疗器械概念;工业母机;地下管网;污水处理;风电;华为概念;固废处理;净水概念;储能;乡村振兴;国企改革;特色小镇;芯片概念;参股银行;旅游概念;虚拟电厂;绿色电力;冰雪产业;华为数字能源;证金持股;沪股通;融资融券,17,33,600736.SH
002443,核电;石墨烯;氢能源;水利;回购增持再贷款概念;新型城镇化;国企改革;地下管网;天然气,33,9,002443.SZ
600126,算力租赁;国资云;东数西算(算力);阿里巴巴概念;DeepSeek概念;智慧城市;数字经济;数据中心;汽车拆解概念;特钢概念;比亚迪概念;国企改革;绿色电力;沪股通;融资融券,17,15,600126.SH
600396,超超临界发电;碳交易;绿色电力;碳中和;风电;国企改革;氢能源;央企国企改革;海工装备,17,9,600396.SH
