market_code,所属概念,股票代码,code,所属概念数量
33,页岩气;核电;数据中心;同花顺出海50;海工装备;高端装备;天然气;一带一路;储能;中俄贸易概念;回购增持再贷款概念;污水处理;锂电池概念;动力电池回收;土壤修复;深股通;融资融券,002353.SZ,002353,17
17,汽车芯片;芯片概念;第三代半导体;专精特新;无人机;充电桩;智能电网;融资融券,688693.SH,688693,8
17,特高压;国企改革,603016.SH,603016,2
151,融资融券;食品安全;专精特新;猪肉,920970.BJ,920970,4
17,俄乌冲突概念;氟化工概念;光刻机;中芯国际概念;光刻胶;氢能源;存储芯片;第三代半导体;芯片概念;核电;粤港澳大湾区;专精特新;沪股通;融资融券,688268.SH,688268,14
17,动物疫苗;禽流感;维生素;流感;宠物经济;乡村振兴;国企改革;参股保险;央企国企改革;2025年报预增;赛马概念;沪股通;中字头股票;融资融券,600195.SH,600195,14
33,ERP概念;新型城镇化;数据确权;华为概念;AIGC概念;股权转让(并购重组),300668.SZ,300668,6
33,共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;3D打印;量子科技;2025年报预增;海工装备;商业航天;无人驾驶;卫星导航;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,300620.SZ,300620,19
33,同花顺果指数;华为手机;AI眼镜;苹果概念;汽车电子;智能座舱;智能穿戴;AI手机;消费电子概念;小米概念;比亚迪概念;华为汽车;人形机器人;机器人概念;长安汽车概念;储能;华为概念;人民币贬值受益;安防;虚拟现实;元宇宙;深股通;融资融券,002273.SZ,002273,23
33,海峡两岸;三胎概念;人民币贬值受益;福建自贸区;股权转让(并购重组),300658.SZ,300658,5
33,创新药;仿制药一致性评价;辅助生殖;肝炎概念;基因测序;医药电商;福建自贸区;海峡两岸;融资融券;深股通,300436.SZ,300436,10
33,农机;中俄贸易概念;机器人概念;工业大麻;农村电商;一带一路;乡村振兴;低空经济;氢能源;西部大开发,300022.SZ,300022,10
17,国企改革;京津冀一体化,600791.SH,600791,2
17,细胞免疫治疗;重组蛋白;减肥药;创新药;仿制药一致性评价;流感;合成生物;创投;沪股通;融资融券,688166.SH,688166,10
33,合成生物;医药电商;宠物经济;创新药;融资融券,300871.SZ,300871,5
17,白酒概念;沪股通;融资融券,603198.SH,603198,3
17,家用电器;人民币贬值受益;一带一路;跨境电商;海峡两岸;智能物流;传感器;福建自贸区;智能家居;新型工业化;机器人概念;毫米波雷达;安防;物联网;华为概念;人工智能;鸿蒙概念;沪股通,605365.SH,605365,18
17,航运概念;央企国企改革;回购增持再贷款概念;国企改革;人民币贬值受益;沪股通;融资融券,601975.SH,601975,7
17,减肥药;CRO概念;肝炎概念;辅助生殖;流感;合成生物;宠物经济;人民币贬值受益;沪股通;融资融券,603538.SH,603538,10
33,牙科医疗;跨境电商;华为概念;NFT概念;人民币贬值受益;智能穿戴;特高压;消费电子概念;柔性直流输电;参股银行;股权转让(并购重组),001216.SZ,001216,11
