code,所属概念,所属概念数量,market_code,股票代码
300828,医疗器械概念;汽车热管理;光伏概念;机器人概念;新能源汽车;比亚迪概念;充电桩;储能;数据中心;京津冀一体化;一带一路;5G;风电;液冷服务器;国企改革;股权转让(并购重组),16,33,300828.SZ
300502,共封装光学(CPO);5G;中国AI 50;芯片概念;深股通;数据中心;2025年报预增;人民币贬值受益;西部大开发;融资融券,10,33,300502.SZ
300475,存储芯片;芯片概念;2025年报预增;数据中心;人民币贬值受益;抖音概念(字节概念);腾讯概念;阿里巴巴概念;粤港澳大湾区;家用电器;深股通;融资融券,12,33,300475.SZ
301382,云办公;云计算;云游戏;华为鲲鹏;AI智能体;AIGC概念;智慧政务;数据安全;阿里巴巴概念;抖音概念(字节概念);数据要素;腾讯概念;蚂蚁集团概念;鸿蒙概念;元宇宙;DeepSeek概念;东数西算(算力);人工智能;互联网金融;数字经济;智慧城市;华为概念;AI应用;物联网;5G;粤港澳大湾区;智能家居;回购增持再贷款概念;华为手机;深股通;融资融券,31,33,301382.SZ
688385,MCU芯片;汽车芯片;芯片概念;英伟达概念;人工智能;东数西算(算力);存储芯片;无线充电;融资融券;沪股通,10,17,688385.SH
301012,算力租赁;东数西算(算力);数据中心;储能;光伏概念;专精特新;股权转让(并购重组);融资融券,8,33,301012.SZ
300846,智谱AI;算力租赁;华为昇腾;云游戏;云计算;数据安全;东数西算(算力);快手概念;网络安全;信创;智慧政务;国产操作系统;小红书概念;AI智能体;百度概念;AIGC概念;虚拟数字人;数据中心;数据要素;在线教育;车联网(车路协同);商业航天;DeepSeek概念;华为概念;人工智能;芯片概念;无人驾驶;专精特新;京津冀一体化;创投;一带一路;融资融券;深股通,33,33,300846.SZ
688021,氢能源;燃料电池;专精特新;融资融券,4,17,688021.SH
300895,算力租赁;数据安全;云计算;网络安全;数据确权;抖音概念(字节概念);阿里巴巴概念;东数西算(算力);国资云;量子科技;数据要素;电力物联网;DeepSeek概念;数据中心;华为概念;数字经济;数字孪生;物联网;核电;京津冀一体化;国企改革;深股通;融资融券,23,33,300895.SZ
002323,HJT电池;数字乡村;光伏概念;智慧城市;光伏建筑一体化;储能;一带一路;绿色电力;国企改革;融资融券,10,33,002323.SZ
600468,柔性直流输电;可控核聚变;核电;智能电网;海工装备;风电;超导概念;军工;军民融合;储能;氢能源;一带一路;京津冀一体化;国企改革;沪股通,15,17,600468.SH
603687,数字水印;ChatGPT概念;数字孪生;工业互联网;AIGC概念;DeepSeek概念;人工智能;烟草;物联网;共同富裕示范区;钙钛矿电池;光伏概念;锂电池概念,13,17,603687.SH
603189,元宇宙;人脸识别;虚拟现实;国产操作系统;鸿蒙概念;在线教育;虚拟数字人;智慧政务;阿里巴巴概念;多模态AI;华为欧拉;华为鲲鹏;信创;AIGC概念;腾讯概念;安防;AI智能体;云计算;云办公;空间计算;人工智能;华为概念;数字孪生;MR(混合现实);物联网;智慧城市;数字乡村;低空经济;创投;上海自贸区;乡村振兴;沪股通,32,17,603189.SH
603615,可降解塑料;三胎概念;福建自贸区;沪股通,4,17,603615.SH
002339,特高压;智能电网;电力物联网;虚拟电厂;高压快充;光伏概念;风电;充电桩;核电;换电概念;储能;新能源汽车;动力电池回收;绿色电力;工业互联网;机器人概念;水利;碳中和;物联网;华为概念;数字孪生;车联网(车路协同);智慧城市;网络安全;数字经济;人工智能;新型城镇化;地下管网;养老概念;天然气;融资融券,31,33,002339.SZ
000815,国资云;云计算;东数西算(算力);数据中心;绿色电力;央企国企改革;国企改革;西部大开发;深股通;融资融券,10,33,000815.SZ
600602,算力租赁;云计算;信创;东数西算(算力);智慧政务;国资云;腾讯概念;阿里巴巴概念;AI智能体;区块链;数据要素;数据中心;DeepSeek概念;智慧城市;华为概念;人工智能;数字经济;物联网;数字孪生;液冷服务器;职业教育;智能医疗;军工;食品安全;PPP概念;上海国企改革;国企改革;沪股通;融资融券,29,17,600602.SH
603618,特高压;光纤概念;抽水蓄能;智能电网;风电;光伏概念;储能;石墨烯;PET铜箔;5G;新能源汽车;锂电池概念;共同富裕示范区;沪股通;融资融券,15,17,603618.SH
000037,固废处理;储能;粤港澳大湾区;核电;2025年报预增,5,33,000037.SZ
000048,人形机器人;养鸡;猪肉;机器人概念;粤港澳大湾区;物业管理;乡村振兴;IP经济(谷子经济);文化传媒概念;融资融券;深股通,11,33,000048.SZ
603220,算力租赁;东数西算(算力);华为昇腾;智慧政务;数据中心;AI智能体;智慧城市;DeepSeek概念;车联网(车路协同);华为概念;人工智能;6G概念;5G;卫星导航;共享单车;低空经济;充电桩;F5G概念;储能;光纤概念;共封装光学(CPO);光伏概念;新能源汽车;AI应用;一带一路;锂电池概念;沪股通;融资融券,28,17,603220.SH
603168,眼科医疗;民营医院;仿制药一致性评价;医药电商;三胎概念;流感;养老概念,7,17,603168.SH
603098,绿色电力;光伏建筑一体化;建筑节能;光伏概念;储能;土壤修复;装配式建筑;一带一路;专精特新;腾讯概念;沪股通;融资融券,12,17,603098.SH
605058,PCB概念;汽车电子;共封装光学(CPO);5G;毫米波雷达;新能源汽车;数据中心;智能家居;智能物流;工业互联网;储能;东数西算(算力);一带一路;商业航天,14,17,605058.SH
603016,特高压;国企改革,2,17,603016.SH
603757,液冷服务器;新能源汽车;空气能热泵;储能;燃料电池;数据中心;高端装备;专精特新;氢能源;核电;海工装备;商业航天;沪股通;水利,14,17,603757.SH
