所属概念,market_code,所属概念数量,股票代码,code
PCB概念;工业母机;2025年报预增;专精特新;光伏概念;航空发动机;人形机器人;机器人概念;商业航天;融资融券,17,10,688308.SH,688308
PCB概念;毫米波雷达;卫星导航;芯片概念;5G;消费电子概念;专精特新;无人驾驶;华为概念;储能;融资融券,33,11,300936.SZ,300936
中芯国际概念;光刻机;芯片概念;PM2.5;沪股通;融资融券,17,6,688376.SH,688376
光伏概念;专精特新;融资融券,33,3,301373.SZ,301373
跨境电商;AI智能体;IP经济(谷子经济);DeepSeek概念;露营经济;NFT概念;家用电器;物联网;2025年报预增;超级品牌;融资融券,33,11,301055.SZ,301055
PCB概念;苹果概念;5G;芯片概念;消费电子概念;专精特新;传感器;机器视觉;粤港澳大湾区;人工智能;融资融券,17,11,688312.SH,688312
抽水蓄能;核电;光热发电;可控核聚变;风电;超超临界发电;光伏概念;高端装备;储能;新能源汽车;工业互联网;燃料电池;雅下水电概念;氢能源;人工智能;央企国企改革;DeepSeek概念;ChatGPT概念;国企改革;西部大开发;乡村振兴;沪股通;融资融券,17,23,600875.SH,600875
PCB概念;汽车电子;MiniLED;锂电池概念;融资融券,33,5,301176.SZ,301176
医疗器械概念;专精特新;智能医疗;沪股通;融资融券,17,5,688351.SH,688351
创新药;沪股通;融资融券,17,3,688192.SH,688192
稀土永磁;消费电子概念;数据中心;专精特新;新能源汽车;光伏概念;深股通,33,7,300835.SZ,300835
算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;人工智能;DeepSeek概念;AIGC概念;家用电器;深股通;融资融券,33,10,300911.SZ,300911
重组蛋白;创新药;智能医疗;回购增持再贷款概念;沪股通;融资融券,17,6,688062.SH,688062
存储芯片;OLED;MicroLED概念;芯片概念;专精特新;机器人概念;粤港澳大湾区;东数西算(算力);沪股通;融资融券,17,10,688627.SH,688627
旅游概念;上海国企改革;国企改革;人工智能;沪股通;融资融券,17,6,600754.SH,600754
专精特新;DeepSeek概念;回购增持再贷款概念;沪股通;融资融券,17,5,688046.SH,688046
CRO概念;创新药;智能医疗;人工智能;人民币贬值受益;融资融券;深股通,33,7,300759.SZ,300759
细胞免疫治疗;重组蛋白;创新药;辅助生殖;眼科医疗;深股通;融资融券,33,7,300204.SZ,300204
减肥药;创新药;生物疫苗;维生素;回购增持再贷款概念;融资融券;深股通,33,7,300765.SZ,300765
MCU芯片;汽车芯片;MiniLED;存储芯片;先进封装;WiFi 6;第三代半导体;芯片概念;无线耳机;5G;毫米波雷达;新型烟草(电子烟);智能家居;专精特新;海峡两岸;粤港澳大湾区;深股通;融资融券,33,18,300671.SZ,300671
流感;创新药;禽流感;仿制药一致性评价;专精特新;国企改革;沪股通;股权转让(并购重组),17,8,600513.SH,600513
旅游概念;国企改革;京津冀一体化;人工智能;阿里巴巴概念;沪股通;融资融券,17,7,600258.SH,600258
虚拟电厂;华为数字能源;碳交易;抽水蓄能;生物质能发电;绿色电力;智能电网;风电;碳中和;换电概念;光伏概念;充电桩;储能;算力租赁;数据中心;水利;高压快充;东数西算(算力);蚂蚁集团概念;数字经济;区块链;华为概念;百度概念;锂电池概念;动力电池回收;英伟达概念;宁德时代概念;长三角一体化;新能源汽车;融资融券;深股通,33,31,002015.SZ,002015
锂电池概念;虚拟数字人;三胎概念;股权转让(并购重组),17,4,603196.SH,603196
液冷服务器;ST板块;汽车热管理;移动支付;ETC;储能;人脸识别;车联网(车路协同);充电桩;独角兽概念;智慧城市,33,11,300462.SZ,300462
毫米波雷达;人形机器人;小米汽车;碳纤维;无人机;比亚迪概念;新能源汽车;特斯拉概念;长安汽车概念;华为汽车;百度概念;融资融券,33,12,301133.SZ,301133
长三角一体化;新型烟草(电子烟);无线充电;新型工业化;比亚迪概念;苹果概念;消费电子概念;无线耳机;汽车电子,33,9,300461.SZ,300461
沪股通;融资融券,17,2,688656.SH,688656
