market_code,所属概念,所属概念数量,股票代码,code
33,军工信息化;军民融合;成飞概念;卫星导航;商业航天;空间计算;核污染防治;军工;AI智能体;数字孪生;无人机;数字经济;DeepSeek概念;京津冀一体化;文化传媒概念;元宇宙;人工智能;腾讯概念;MR(混合现实);核电;手机游戏;网络游戏;虚拟现实;机器人概念;AI应用;融资融券,26,301302.SZ,301302
17,共封装光学(CPO);芯片概念;消费电子概念;OLED;传感器;专精特新;宁德时代概念;新能源汽车;固态电池;锂电池概念;沪股通,11,603052.SH,603052
17,福建自贸区;海峡两岸;PPP概念;垃圾分类;污水处理;固废处理;绿色电力;国企改革,8,603817.SH,603817
17,煤炭概念;煤化工概念;氢能源;碳中和,4,600408.SH,600408
17,煤炭概念;煤化工概念;同花顺中特估100;中字头股票;证金持股;绿色电力;央企国企改革;同花顺漂亮100;国企改革;沪股通;融资融券,11,601088.SH,601088
22,ST板块;医疗器械概念;三胎概念;机器人概念;光伏概念;TOPCON电池;人工智能;IP经济(谷子经济);区块链,9,603398.SH,603398
17,光伏概念;绿色电力;储能;专精特新;人工智能;芯片概念;共同富裕示范区;人民币贬值受益;沪股通;融资融券,10,688348.SH,688348
33,物联网;人工智能;机器视觉;华为概念;鸿蒙概念;DeepSeek概念;无人驾驶;机器人概念;工业互联网;专精特新;5G;芯片概念;卫星导航;商业航天;融资融券,15,301195.SZ,301195
33,光伏概念;储能;充电桩;一带一路;粤港澳大湾区;注册制次新股;人民币贬值受益;深股通;新股与次新股;融资融券,10,301658.SZ,301658
17,知识产权保护;文化传媒概念;在线教育;国资云;数据要素;DeepSeek概念;智能医疗;数字经济;中字头股票;国企改革;芯片概念;同花顺中特估100;沪股通;融资融券,14,601858.SH,601858
33,CRO概念;减肥药;阿尔茨海默概念;人民币贬值受益;专精特新;2025年报预增;氟化工概念;氢能源;融资融券,9,301509.SZ,301509
17,铜缆高速连接;液冷服务器;5G;毫米波雷达;6G概念;比亚迪概念;高压快充;数据中心;新能源汽车;专精特新;人形机器人;特斯拉概念;2025年报预增;光伏概念;机器人概念;充电桩;储能;军工;换电概念;商业航天;卫星导航;飞行汽车(eVTOL);军民融合;低空经济;医疗器械概念;沪股通;融资融券,27,688800.SH,688800
33,碳交易;碳中和;建筑节能;京津冀一体化;国企改革,5,002893.SZ,002893
33,新型工业化;机器人概念;共同富裕示范区;高端装备;锂电池概念;参股银行;固态电池,7,003036.SZ,003036
33,共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;5G;数据中心;芯片概念;消费电子概念;高压快充;小米概念;人形机器人;MiniLED;新能源汽车;特斯拉概念;华为概念;机器人概念;深股通;人民币贬值受益;长三角一体化;融资融券,20,002384.SZ,002384
33,托育服务;三胎概念;职业教育;在线教育;文化传媒概念;股权转让(并购重组),6,300329.SZ,300329
33,富士康概念;共封装光学(CPO);液冷服务器;PCB概念;华为海思概念股;苹果概念;华为手机;柔性屏(折叠屏);芯片概念;数据中心;消费电子概念;人形机器人;华为数字能源;比亚迪概念;无人机;新型工业化;新能源汽车;华为汽车;军工;华为概念;高端装备;机器人概念;无人驾驶;虚拟现实;粤港澳大湾区;人工智能;深股通;融资融券,28,301128.SZ,301128
33,数字货币;电子身份证;数据确权;财税数字化;知识产权保护;华为鲲鹏;鸿蒙概念;智慧政务;数据安全;信创;网络安全;区块链;云计算;DRG/DIP;互联网金融;阿里巴巴概念;在线教育;车联网(车路协同);数字经济;星闪概念;东数西算(算力);量子科技;华为概念;京津冀一体化;芯片概念;雄安新区;国企改革;股权转让(并购重组);融资融券;深股通,30,300579.SZ,300579
17,煤炭概念;证金持股;国企改革;同花顺漂亮100;沪股通;融资融券;西部大开发,7,601225.SH,601225
17,特高压;国企改革,2,603016.SH,603016
17,绿色电力;风电;国企改革;新疆振兴;储能;央企国企改革;京津冀一体化;沪股通;融资融券,9,601016.SH,601016
17,天然气;高股息精选;回购增持再贷款概念;DeepSeek概念;沪股通,5,605368.SH,605368
33,俄乌冲突概念;天然气;央企国企改革;国企改革;融资融券;氢能源;2025三季报预增;充电桩,8,000554.SZ,000554
17,量子科技;虚拟现实;安防;网络安全;机器视觉;物联网;智慧灯杆;智慧城市;专精特新;信创;军工;人工智能;人脸识别;多模态AI;机器人概念;福建自贸区;海峡两岸;智能医疗;海工装备;土壤修复;AI应用;融资融券,22,688619.SH,688619
33,染料;算力租赁;东数西算(算力);AI智能体,4,300798.SZ,300798
33,锂电池概念;深股通;融资融券,3,300641.SZ,300641
17,生物质能发电;绿色电力;医疗废物处理;国企改革;固废处理;垃圾分类;沪股通,7,601330.SH,601330
33,PEEK材料;华为汽车;人形机器人;小米汽车;新能源汽车;比亚迪概念;小米概念;机器人概念;人民币贬值受益;无人驾驶;2025年报预增;储能;融资融券,13,301022.SZ,301022
33,黄金概念;锂电池概念;三胎概念;IP经济(谷子经济);ST板块,5,002731.SZ,002731
17,煤炭概念;煤化工概念;同花顺漂亮100;小金属概念;国企改革;沪股通;融资融券;风电;参股银行,9,600188.SH,600188
17,煤炭概念;中字头股票;煤化工概念;同花顺中特估100;化肥;证金持股;央企国企改革;国企改革;沪股通;融资融券;乡村振兴,11,601898.SH,601898
33,AI应用;家庭医生;DRG/DIP;托育服务;福建自贸区;Web3.0;智能医疗;移动支付;蚂蚁集团概念;数字水印;数据要素;养老概念;智慧政务;智慧城市;数据确权;数字经济;在线教育;数据安全;ChatGPT概念;AIGC概念;腾讯概念;人脸识别;海峡两岸;DeepSeek概念;区块链;信创;ST板块;华为鲲鹏;人工智能;华为概念;参股保险;机器视觉;国企改革,33,300096.SZ,300096
