股票代码,所属概念,code,所属概念数量,market_code
002430.SZ,可控核聚变;氢能源;商业航天;煤化工概念;高端装备;一带一路;天然气;超导概念;高压氧舱;国企改革;储能;回购增持再贷款概念;芯片概念;存储芯片;深股通;融资融券,002430,16,33
688106.SH,俄乌冲突概念;天然气;氢能源;中芯国际概念;光伏概念;可控核聚变;碳中和;存储芯片;固态电池;第三代半导体;商业航天;燃料电池;核电;锂电池概念;冷链物流;回购增持再贷款概念;芯片概念;专精特新;长三角一体化;沪股通;融资融券,688106,21,17
688552.SH,军民融合;军工信息化;军工;低空经济;央企国企改革;专精特新;国企改革;沪股通;融资融券,688552,9,17
601908.SH,硅能源;光伏概念;绿色电力;风电;高端装备;第三代半导体;京津冀一体化;专精特新;芯片概念;沪股通;融资融券,601908,11,17
001203.SZ,固态电池;小金属概念;金属铅;金属锌;锂电池概念;金属回收;储能;绿色电力;回购增持再贷款概念;参股银行;西部大开发;乡村振兴;创投;旅游概念;职业教育;深股通,001203,16,33
600976.SH,流感;创新药;三胎概念;融资融券;沪股通,600976,5,17
000572.SZ,海南自贸区;自由贸易港;网约车;车联网(车路协同);参股银行;乡村振兴;无人驾驶;中俄贸易概念;燃料电池;碳中和;新能源汽车;百度概念;氢能源;充电桩;人民币贬值受益;绿色电力;融资融券;深股通,000572,18,33
300994.SZ,三胎概念;跨境电商;体育产业;中俄贸易概念;人民币贬值受益;两轮车;融资融券,300994,7,33
600136.SH,物业管理;ST板块;文化传媒概念;国企改革,600136,4,22
600355.SH,ST板块;新型工业化;机器人概念;OLED;电子身份证;国产操作系统;充电桩;工业互联网;机器视觉;人工智能;智能电网;物联网;语音技术;人脸识别;在线教育,600355,15,22
301306.SZ,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券,301306,10,33
300720.SZ,机器人概念;物联网;股权转让(并购重组),300720,3,33
603377.SH,ST板块;虚拟现实;职业教育;人工智能,603377,4,22
600107.SH,ST板块;医药电商;储能;天然气,600107,4,22
603843.SH,赛马概念;ST板块;特色小镇;PPP概念;固废处理;盐湖提锂;光伏概念;地下管网;新型城镇化;算力租赁;充电桩;东数西算(算力);西部大开发;旅游概念;水利;一带一路;雅下水电概念;乡村振兴;智慧政务;小金属概念;金属铜;金属锌,603843,22,22
000990.SZ,煤化工概念;NMN概念;POE胶膜;人造肉;工业大麻;氢能源;碳中和;合成生物;国企改革;燃料电池;OLED;民营医院;医美概念;小米概念;深股通;融资融券,000990,16,33
688819.SH,钠离子电池;固态电池;锂电池概念;两轮车;石墨烯;燃料电池;氢能源;新能源汽车;储能;绿色电力;无人机;工业互联网;数据中心;融资融券;沪股通,688819,15,17
002620.SZ,ST板块;光伏概念;建筑节能;新型城镇化;装配式建筑;光伏建筑一体化;ERP概念;绿色电力,002620,8,33
000638.SZ,军民融合;生物疫苗;民营医院;重组蛋白;肝炎概念;玉米;粮食概念;京津冀一体化;ST板块,000638,9,33
